call_id,account_id,agent_id,department,started_at,duration_minutes,wait_minutes,recording_ref
CL00089,AC0087,A044,Sales,2026-06-24 16:00:00,14,1.7,recording://CL00089
CL00090,AC0072,A013,Support,2025-10-23 18:00:00,7,1.0,recording://CL00090
CL00091,AC0124,A004,Support,2025-09-29 15:00:00,13,2.0,recording://CL00091
CL00092,AC0140,A033,Support,2026-04-26 16:00:00,18,1.4,recording://CL00092
CL00093,AC0064,A020,Support,2025-12-18 17:00:00,9,3.5,recording://CL00093
CL00094,AC0099,A049,Sales,2026-08-04 13:00:00,22,1.4,recording://CL00094
CL00095,AC0049,A038,Support,2025-12-08 11:00:00,20,2.0,recording://CL00095
CL00096,AC0134,A051,Sales,2025-10-11 18:00:00,2,2.1,recording://CL00096
CL00097,AC0121,A007,Support,2026-04-04 19:00:00,13,1.4,recording://CL00097
CL00098,AC0041,A040,Sales,2026-02-02 16:00:00,14,2.7,recording://CL00098
CL00099,AC0058,A022,Support,2025-09-29 17:00:00,16,3.4,recording://CL00099
CL00100,AC0132,A005,Support,2026-07-02 18:00:00,41,3.4,recording://CL00100
CL00101,AC0053,A046,Sales,2025-10-21 08:00:00,13,3.6,recording://CL00101
CL00102,AC0090,A042,Sales,2026-07-06 18:00:00,6,1.6,recording://CL00102
CL00103,AC0008,A052,Sales,2025-09-02 12:00:00,18,0.4,recording://CL00103
CL00104,AC0003,A055,Sales,2025-10-21 16:00:00,18,1.9,recording://CL00104
CL00105,AC0142,A050,Sales,2025-10-05 18:00:00,21,1.7,recording://CL00105
CL00106,AC0057,A022,Support,2026-01-26 18:00:00,16,2.7,recording://CL00106
CL00107,AC0032,A030,Support,2025-09-18 10:00:00,47,2.1,recording://CL00107
CL00108,AC0005,A025,Support,2025-12-11 16:00:00,6,2.2,recording://CL00108
CL00109,AC0060,A052,Sales,2026-01-24 10:00:00,15,2.3,recording://CL00109
CL00110,AC0132,A055,Sales,2026-07-14 13:00:00,8,2.6,recording://CL00110
CL00111,AC0047,A043,Sales,2025-09-22 12:00:00,26,1.7,recording://CL00111
CL00112,AC0018,A052,Sales,2026-05-16 16:00:00,13,0.3,recording://CL00112
CL00113,AC0100,A026,Support,2026-07-06 19:00:00,15,0.9,recording://CL00113
CL00114,AC0120,A028,Support,2026-01-27 08:00:00,16,1.0,recording://CL00114
CL00115,AC0089,A056,Sales,2026-07-20 11:00:00,15,2.6,recording://CL00115
CL00116,AC0018,A041,Sales,2026-05-18 09:00:00,13,2.6,recording://CL00116
CL00117,AC0065,A039,Sales,2026-04-12 11:00:00,20,0.7,recording://CL00117
CL00118,AC0098,A018,Support,2026-07-24 17:00:00,8,2.4,recording://CL00118
CL00119,AC0030,A013,Support,2026-06-05 10:00:00,13,1.1,recording://CL00119
CL00120,AC0100,A041,Sales,2026-02-05 10:00:00,15,1.3,recording://CL00120
CL00121,AC0132,A054,Sales,2026-02-10 13:00:00,15,2.4,recording://CL00121
CL00122,AC0046,A044,Sales,2025-12-15 13:00:00,16,0.7,recording://CL00122
CL00123,AC0140,A049,Sales,2025-09-21 18:00:00,22,1.1,recording://CL00123
CL00124,AC0103,A007,Support,2026-04-18 10:00:00,15,0.7,recording://CL00124
CL00125,AC0137,A048,Sales,2026-06-24 14:00:00,8,2.6,recording://CL00125
CL00126,AC0061,A034,Support,2026-06-13 18:00:00,5,2.5,recording://CL00126
CL00127,AC0121,A009,Support,2025-09-09 12:00:00,11,3.0,recording://CL00127
CL00128,AC0087,A055,Sales,2026-04-12 10:00:00,17,1.3,recording://CL00128
CL00129,AC0060,A015,Support,2026-08-23 16:00:00,11,1.4,recording://CL00129
CL00130,AC0090,A042,Sales,2025-09-09 08:00:00,22,3.0,recording://CL00130
CL00131,AC0049,A035,Support,2026-07-14 17:00:00,24,3.3,recording://CL00131
CL00132,AC0058,A048,Sales,2026-03-30 16:00:00,27,1.1,recording://CL00132
CL00133,AC0088,A053,Sales,2025-09-30 09:00:00,8,2.0,recording://CL00133
CL00134,AC0074,A048,Sales,2026-01-19 09:00:00,12,2.3,recording://CL00134
CL00135,AC0067,A013,Support,2026-01-20 19:00:00,21,1.0,recording://CL00135
CL00136,AC0027,A046,Sales,2026-05-21 18:00:00,6,0.9,recording://CL00136
CL00137,AC0056,A054,Sales,2025-09-24 18:00:00,10,2.9,recording://CL00137
CL00138,AC0132,A044,Sales,2025-10-21 17:00:00,7,1.9,recording://CL00138
CL00139,AC0073,A049,Sales,2026-08-13 12:00:00,20,0.7,recording://CL00139
CL00140,AC0085,A008,Support,2025-11-11 18:00:00,19,2.1,recording://CL00140
CL00141,AC0150,A027,Support,2026-02-14 14:00:00,21,1.4,recording://CL00141
CL00142,AC0008,A020,Support,2025-11-28 16:00:00,12,1.3,recording://CL00142
CL00143,AC0053,A033,Support,2026-04-09 10:00:00,14,0.5,recording://CL00143
CL00144,AC0006,A005,Support,2026-04-11 17:00:00,17,1.4,recording://CL00144
CL00145,AC0060,A040,Sales,2026-02-16 14:00:00,11,1.8,recording://CL00145
CL00146,AC0080,A052,Sales,2025-12-02 13:00:00,14,0.8,recording://CL00146
CL00147,AC0037,A042,Sales,2025-11-06 19:00:00,22,1.2,recording://CL00147
CL00148,AC0046,A041,Sales,2026-08-10 15:00:00,26,3.0,recording://CL00148
CL00149,AC0002,A004,Support,2026-05-17 17:00:00,20,0.5,recording://CL00149
CL00150,AC0139,A042,Sales,2026-04-03 15:00:00,13,0.1,recording://CL00150
CL00151,AC0011,A044,Sales,2026-04-15 14:00:00,15,0.9,recording://CL00151
CL00152,AC0085,A044,Sales,2025-12-07 18:00:00,21,1.2,recording://CL00152
CL00153,AC0138,A042,Sales,2026-01-24 17:00:00,20,1.8,recording://CL00153
CL00154,AC0120,A056,Sales,2026-05-04 11:00:00,10,2.2,recording://CL00154
CL00155,AC0146,A008,Support,2026-02-09 11:00:00,11,1.2,recording://CL00155
CL00156,AC0047,A045,Sales,2025-10-20 16:00:00,9,2.8,recording://CL00156
CL00157,AC0140,A013,Support,2025-12-14 19:00:00,20,1.3,recording://CL00157
CL00158,AC0121,A005,Support,2026-06-24 19:00:00,6,0.2,recording://CL00158
CL00159,AC0013,A019,Support,2025-10-13 09:00:00,11,0.6,recording://CL00159
CL00160,AC0121,A049,Sales,2025-10-14 09:00:00,16,0.6,recording://CL00160
CL00161,AC0070,A047,Sales,2025-09-04 15:00:00,38,1.6,recording://CL00161
CL00162,AC0011,A039,Sales,2025-11-30 08:00:00,23,1.3,recording://CL00162
CL00163,AC0117,A026,Support,2026-08-21 09:00:00,13,1.7,recording://CL00163
CL00164,AC0087,A054,Sales,2026-04-07 12:00:00,19,0.8,recording://CL00164
CL00165,AC0105,A052,Sales,2025-10-15 15:00:00,19,2.5,recording://CL00165
CL00166,AC0098,A043,Sales,2025-10-18 16:00:00,11,1.8,recording://CL00166
CL00167,AC0132,A056,Sales,2026-07-19 17:00:00,9,1.3,recording://CL00167
CL00168,AC0016,A048,Sales,2025-09-26 11:00:00,15,2.0,recording://CL00168
CL00169,AC0140,A050,Sales,2026-07-31 08:00:00,10,1.3,recording://CL00169
CL00170,AC0086,A047,Sales,2025-11-22 08:00:00,24,1.9,recording://CL00170
CL00171,AC0126,A045,Sales,2026-05-05 11:00:00,2,0.0,recording://CL00171
CL00172,AC0006,A019,Support,2025-12-23 15:00:00,20,2.6,recording://CL00172
CL00173,AC0090,A029,Support,2026-05-21 11:00:00,10,2.8,recording://CL00173
CL00174,AC0074,A039,Sales,2026-01-25 08:00:00,13,1.7,recording://CL00174
CL00175,AC0132,A055,Sales,2026-02-28 13:00:00,13,1.4,recording://CL00175
CL00176,AC0149,A051,Sales,2025-09-01 13:00:00,17,3.5,recording://CL00176
CL00177,AC0121,A030,Support,2025-11-08 19:00:00,16,1.3,recording://CL00177
CL00178,AC0134,A025,Support,2026-02-25 08:00:00,14,1.9,recording://CL00178
CL00179,AC0030,A033,Support,2025-11-02 14:00:00,23,1.4,recording://CL00179
CL00180,AC0066,A035,Support,2025-12-31 19:00:00,19,1.5,recording://CL00180
CL00181,AC0111,A010,Support,2025-12-08 12:00:00,16,2.9,recording://CL00181
CL00182,AC0030,A002,Support,2025-10-22 17:00:00,24,1.1,recording://CL00182
CL00183,AC0052,A045,Sales,2026-02-02 12:00:00,26,0.0,recording://CL00183
CL00184,AC0009,A001,Support,2025-09-19 15:00:00,23,1.1,recording://CL00184
CL00185,AC0049,A048,Sales,2026-01-02 15:00:00,13,3.6,recording://CL00185
CL00186,AC0004,A043,Sales,2025-11-23 13:00:00,20,3.1,recording://CL00186
CL00187,AC0114,A023,Support,2026-06-13 18:00:00,17,0.7,recording://CL00187
CL00188,AC0092,A039,Sales,2026-06-27 18:00:00,20,2.0,recording://CL00188
CL00189,AC0040,A054,Sales,2025-09-18 12:00:00,34,2.3,recording://CL00189
CL00190,AC0099,A016,Support,2025-09-01 14:00:00,13,1.3,recording://CL00190
CL00191,AC0121,A040,Sales,2026-05-31 13:00:00,3,2.9,recording://CL00191
CL00192,AC0102,A056,Sales,2026-08-26 12:00:00,26,1.4,recording://CL00192
CL00193,AC0111,A056,Sales,2025-11-17 11:00:00,26,0.0,recording://CL00193
CL00194,AC0064,A050,Sales,2026-03-21 09:00:00,15,0.5,recording://CL00194
CL00195,AC0018,A014,Support,2026-01-20 09:00:00,42,1.8,recording://CL00195
CL00196,AC0127,A027,Support,2026-03-28 16:00:00,12,2.9,recording://CL00196
CL00197,AC0133,A018,Support,2026-05-21 14:00:00,26,1.6,recording://CL00197
CL00198,AC0064,A022,Support,2026-05-16 11:00:00,17,2.4,recording://CL00198
CL00199,AC0123,A050,Sales,2026-04-05 14:00:00,16,0.4,recording://CL00199
CL00200,AC0087,A031,Support,2026-01-19 15:00:00,14,1.5,recording://CL00200
CL00201,AC0067,A044,Sales,2026-06-12 17:00:00,9,1.6,recording://CL00201
CL00202,AC0136,A005,Support,2026-01-14 16:00:00,25,2.7,recording://CL00202
CL00203,AC0135,A054,Sales,2026-03-12 14:00:00,23,0.6,recording://CL00203
CL00204,AC0129,A039,Sales,2025-10-13 15:00:00,12,1.9,recording://CL00204
CL00205,AC0127,A043,Sales,2025-11-27 19:00:00,13,0.3,recording://CL00205
CL00206,AC0018,A047,Sales,2025-11-28 15:00:00,10,2.9,recording://CL00206
CL00207,AC0060,A042,Sales,2025-12-20 18:00:00,12,1.2,recording://CL00207
CL00208,AC0132,A002,Support,2026-08-26 14:00:00,15,1.8,recording://CL00208
CL00209,AC0094,A029,Support,2026-06-09 09:00:00,22,2.3,recording://CL00209
CL00210,AC0070,A043,Sales,2026-03-17 11:00:00,10,1.9,recording://CL00210
CL00211,AC0033,A043,Sales,2026-05-17 17:00:00,17,1.2,recording://CL00211
CL00212,AC0049,A050,Sales,2026-05-01 12:00:00,24,2.0,recording://CL00212
CL00213,AC0117,A021,Support,2025-10-28 10:00:00,6,0.5,recording://CL00213
CL00214,AC0093,A041,Sales,2026-01-09 13:00:00,16,1.6,recording://CL00214
CL00215,AC0008,A056,Sales,2026-02-04 18:00:00,19,2.8,recording://CL00215
CL00216,AC0064,A056,Sales,2026-04-26 15:00:00,15,2.3,recording://CL00216
CL00217,AC0059,A008,Support,2025-10-28 10:00:00,5,2.1,recording://CL00217
CL00218,AC0018,A027,Support,2026-05-24 09:00:00,35,3.5,recording://CL00218
CL00219,AC0004,A048,Sales,2026-05-17 12:00:00,17,3.2,recording://CL00219
CL00220,AC0081,A055,Sales,2026-02-10 08:00:00,9,3.7,recording://CL00220
CL00221,AC0117,A042,Sales,2026-04-20 18:00:00,12,1.5,recording://CL00221
CL00222,AC0066,A047,Sales,2026-07-25 16:00:00,5,3.1,recording://CL00222
CL00223,AC0087,A041,Sales,2026-06-15 15:00:00,7,1.8,recording://CL00223
CL00224,AC0060,A049,Sales,2025-12-22 16:00:00,5,1.8,recording://CL00224
CL00225,AC0064,A040,Sales,2025-12-13 08:00:00,8,1.6,recording://CL00225
CL00226,AC0141,A053,Sales,2026-04-21 09:00:00,18,0.6,recording://CL00226
CL00227,AC0100,A012,Support,2026-06-21 10:00:00,10,0.3,recording://CL00227
CL00228,AC0150,A001,Support,2026-03-07 19:00:00,17,3.5,recording://CL00228
CL00229,AC0018,A045,Sales,2026-04-06 13:00:00,6,1.8,recording://CL00229
CL00230,AC0110,A014,Support,2025-09-25 19:00:00,18,3.5,recording://CL00230
CL00231,AC0004,A012,Support,2025-12-26 17:00:00,29,1.2,recording://CL00231
CL00232,AC0107,A055,Sales,2026-05-20 09:00:00,16,1.0,recording://CL00232
CL00233,AC0132,A011,Support,2026-08-06 16:00:00,10,1.1,recording://CL00233
CL00234,AC0068,A039,Sales,2026-03-07 16:00:00,9,0.0,recording://CL00234
CL00235,AC0062,A028,Support,2025-11-13 11:00:00,14,1.1,recording://CL00235
CL00236,AC0066,A043,Sales,2025-12-12 14:00:00,15,0.2,recording://CL00236
CL00237,AC0099,A035,Support,2026-05-18 12:00:00,7,1.5,recording://CL00237
CL00238,AC0027,A044,Sales,2026-01-15 17:00:00,2,0.7,recording://CL00238
CL00239,AC0105,A013,Support,2026-01-06 17:00:00,26,1.7,recording://CL00239
CL00240,AC0149,A055,Sales,2026-07-24 11:00:00,10,2.9,recording://CL00240
CL00241,AC0108,A054,Sales,2025-09-20 11:00:00,11,1.4,recording://CL00241
CL00242,AC0140,A055,Sales,2025-09-25 08:00:00,22,2.3,recording://CL00242
CL00243,AC0017,A046,Sales,2025-09-06 12:00:00,14,0.0,recording://CL00243
CL00244,AC0021,A049,Sales,2026-04-26 09:00:00,5,2.0,recording://CL00244
CL00245,AC0008,A042,Sales,2025-10-03 10:00:00,8,2.3,recording://CL00245
CL00246,AC0105,A004,Support,2026-03-11 14:00:00,12,3.3,recording://CL00246
CL00247,AC0065,A036,Support,2025-09-25 10:00:00,23,1.7,recording://CL00247
CL00248,AC0139,A040,Sales,2026-01-20 11:00:00,20,1.8,recording://CL00248
CL00249,AC0105,A056,Sales,2026-02-22 08:00:00,25,1.8,recording://CL00249
CL00250,AC0047,A042,Sales,2026-01-27 11:00:00,3,2.2,recording://CL00250
CL00251,AC0100,A023,Support,2026-08-15 09:00:00,2,0.9,recording://CL00251
CL00252,AC0049,A044,Sales,2026-03-17 14:00:00,23,2.9,recording://CL00252
CL00253,AC0107,A038,Support,2026-03-29 14:00:00,49,1.4,recording://CL00253
CL00254,AC0119,A052,Sales,2025-12-26 14:00:00,39,1.8,recording://CL00254
CL00255,AC0006,A017,Support,2026-08-25 16:00:00,42,3.5,recording://CL00255
CL00256,AC0091,A049,Sales,2025-11-25 14:00:00,12,2.9,recording://CL00256
CL00257,AC0033,A002,Support,2026-08-08 15:00:00,16,1.1,recording://CL00257
CL00258,AC0079,A046,Sales,2026-03-04 18:00:00,9,3.0,recording://CL00258
CL00259,AC0045,A020,Support,2026-07-04 08:00:00,4,2.3,recording://CL00259
CL00260,AC0140,A002,Support,2026-08-18 08:00:00,3,0.7,recording://CL00260
CL00261,AC0003,A043,Sales,2025-09-17 09:00:00,4,1.7,recording://CL00261
CL00262,AC0047,A040,Sales,2025-10-23 13:00:00,6,1.9,recording://CL00262
CL00263,AC0127,A051,Sales,2026-07-24 19:00:00,22,1.9,recording://CL00263
CL00264,AC0017,A044,Sales,2026-05-20 18:00:00,17,0.7,recording://CL00264
CL00265,AC0047,A006,Support,2026-08-11 11:00:00,5,1.3,recording://CL00265
CL00266,AC0109,A038,Support,2025-12-21 11:00:00,23,1.5,recording://CL00266
CL00267,AC0099,A055,Sales,2026-05-02 11:00:00,11,1.4,recording://CL00267
CL00268,AC0101,A045,Sales,2026-01-19 12:00:00,22,1.8,recording://CL00268
CL00269,AC0062,A039,Sales,2025-12-01 13:00:00,5,2.1,recording://CL00269
CL00270,AC0017,A051,Sales,2026-03-17 10:00:00,30,2.7,recording://CL00270
CL00271,AC0100,A022,Support,2026-02-03 11:00:00,7,1.3,recording://CL00271
CL00272,AC0142,A049,Sales,2026-04-07 16:00:00,15,0.5,recording://CL00272
CL00273,AC0088,A040,Sales,2026-07-04 12:00:00,14,2.0,recording://CL00273
CL00274,AC0003,A051,Sales,2025-11-05 14:00:00,7,1.6,recording://CL00274
CL00275,AC0142,A044,Sales,2025-09-23 18:00:00,11,0.3,recording://CL00275
CL00276,AC0121,A044,Sales,2025-10-18 13:00:00,12,2.1,recording://CL00276
CL00277,AC0018,A044,Sales,2026-07-20 08:00:00,9,1.4,recording://CL00277
CL00278,AC0057,A055,Sales,2025-12-23 09:00:00,11,0.1,recording://CL00278
CL00279,AC0140,A006,Support,2025-10-18 15:00:00,11,3.6,recording://CL00279
CL00280,AC0033,A013,Support,2026-02-24 08:00:00,9,1.3,recording://CL00280
CL00281,AC0068,A036,Support,2025-12-09 12:00:00,13,1.6,recording://CL00281
CL00282,AC0061,A054,Sales,2026-06-19 09:00:00,23,2.8,recording://CL00282
CL00283,AC0065,A007,Support,2026-02-21 15:00:00,31,2.7,recording://CL00283
CL00284,AC0057,A042,Sales,2025-10-21 14:00:00,13,2.3,recording://CL00284
CL00285,AC0008,A019,Support,2026-03-22 12:00:00,23,1.0,recording://CL00285
CL00286,AC0099,A052,Sales,2026-06-29 11:00:00,20,1.8,recording://CL00286
CL00287,AC0071,A006,Support,2026-04-02 15:00:00,15,0.3,recording://CL00287
CL00288,AC0087,A036,Support,2025-12-05 09:00:00,14,1.2,recording://CL00288
CL00289,AC0031,A043,Sales,2026-03-16 17:00:00,17,1.6,recording://CL00289
CL00290,AC0087,A052,Sales,2026-03-17 16:00:00,6,2.1,recording://CL00290
CL00291,AC0047,A041,Sales,2025-09-24 17:00:00,6,0.8,recording://CL00291
CL00292,AC0063,A056,Sales,2026-05-01 10:00:00,4,2.9,recording://CL00292
CL00293,AC0071,A041,Sales,2026-04-20 19:00:00,27,1.6,recording://CL00293
CL00294,AC0085,A044,Sales,2025-12-18 16:00:00,13,2.7,recording://CL00294
CL00295,AC0060,A042,Sales,2025-12-14 12:00:00,23,2.1,recording://CL00295
CL00296,AC0126,A040,Sales,2025-12-16 17:00:00,14,2.7,recording://CL00296
CL00297,AC0100,A040,Sales,2025-09-09 10:00:00,16,0.8,recording://CL00297
CL00298,AC0150,A008,Support,2026-01-30 19:00:00,9,1.3,recording://CL00298
CL00299,AC0057,A050,Sales,2026-06-23 17:00:00,6,2.9,recording://CL00299
CL00300,AC0090,A048,Sales,2025-11-17 09:00:00,8,2.2,recording://CL00300
CL00301,AC0129,A017,Support,2026-07-22 19:00:00,14,1.2,recording://CL00301
CL00302,AC0053,A041,Sales,2025-10-11 16:00:00,20,3.2,recording://CL00302
CL00303,AC0132,A052,Sales,2025-12-03 11:00:00,16,1.6,recording://CL00303
CL00304,AC0105,A001,Support,2026-03-15 18:00:00,18,4.9,recording://CL00304
CL00305,AC0046,A045,Sales,2025-10-08 11:00:00,23,2.4,recording://CL00305
CL00306,AC0042,A044,Sales,2026-02-12 10:00:00,16,1.7,recording://CL00306
CL00307,AC0140,A040,Sales,2026-06-19 12:00:00,10,2.4,recording://CL00307
CL00308,AC0013,A014,Support,2026-08-04 18:00:00,14,0.8,recording://CL00308
CL00309,AC0057,A054,Sales,2026-01-28 08:00:00,24,2.6,recording://CL00309
CL00310,AC0117,A049,Sales,2026-07-11 11:00:00,21,3.8,recording://CL00310
CL00311,AC0137,A040,Sales,2026-02-04 13:00:00,9,1.3,recording://CL00311
CL00312,AC0047,A001,Support,2026-04-12 12:00:00,11,1.0,recording://CL00312
CL00313,AC0070,A055,Sales,2025-11-18 13:00:00,20,1.9,recording://CL00313
CL00314,AC0138,A024,Support,2025-10-02 12:00:00,21,0.0,recording://CL00314
CL00315,AC0006,A049,Sales,2026-07-29 15:00:00,16,0.6,recording://CL00315
CL00316,AC0126,A015,Support,2025-12-27 12:00:00,2,0.4,recording://CL00316
CL00317,AC0117,A040,Sales,2025-11-24 13:00:00,11,1.5,recording://CL00317
CL00318,AC0008,A033,Support,2026-06-19 13:00:00,11,2.9,recording://CL00318
CL00319,AC0132,A056,Sales,2026-08-23 09:00:00,5,1.5,recording://CL00319
