qa_review_id,ticket_id,agent_id,account_id,review_date,communication,resolution,accuracy,process_adherence,documentation,ownership,critical_failure,overall_score,agent_controlled
QA00018,TK02605,A038,AC0006,2026-05-28,4.1,4.5,4.0,4.1,5.0,3.9,0,85.3,1
QA00019,TK01159,A013,AC0030,2025-12-29,4.8,4.3,4.8,4.2,5.0,4.5,0,91.8,1
QA00020,TK02158,A026,AC0100,2026-04-14,4.5,4.6,4.0,3.9,5.0,2.6,0,81.8,1
QA00021,TK01450,A018,AC0100,2026-01-31,5.0,3.3,4.1,5.0,5.0,4.4,0,89.4,1
QA00022,TK00019,A029,AC0030,2025-09-02,3.6,3.2,4.4,4.6,4.6,4.4,0,82.5,1
QA00023,TK00681,A003,AC0139,2025-11-10,4.5,5.0,5.0,5.0,2.6,5.0,0,90.6,1
QA00024,TK01113,A017,AC0031,2025-12-23,4.1,4.4,4.3,3.6,5.0,5.0,0,88.0,1
QA00025,TK00846,A035,AC0100,2025-11-26,4.9,3.7,5.0,4.3,4.1,4.1,0,86.5,1
QA00026,TK01121,A035,AC0100,2025-12-24,4.4,3.7,4.3,4.5,5.0,4.1,0,86.4,1
QA00027,TK02338,A034,AC0056,2026-04-30,4.1,3.2,3.7,3.8,2.4,4.4,0,71.9,1
QA00028,TK02363,A026,AC0039,2026-05-03,3.7,5.0,3.3,3.6,4.3,5.0,0,83.2,1
QA00029,TK03234,A009,AC0105,2026-07-27,4.0,2.5,4.2,4.3,4.7,4.0,0,79.0,1
QA00030,TK01351,A018,AC0100,2026-01-19,4.3,4.1,4.9,3.7,4.5,4.0,0,85.1,1
QA00031,TK01690,A028,AC0026,2026-02-25,3.7,3.9,3.8,3.9,4.3,3.6,0,77.3,1
QA00032,TK02257,A019,AC0134,2026-04-24,3.9,4.2,4.8,4.1,2.5,2.4,0,73.0,1
QA00033,TK01464,A011,AC0090,2026-02-01,4.5,4.4,4.3,3.7,2.2,4.9,0,79.9,1
QA00034,TK00828,A006,AC0018,2025-11-24,3.8,2.6,4.4,5.0,3.8,4.8,0,81.4,1
QA00035,TK02978,A017,AC0075,2026-06-29,4.8,3.7,4.4,3.4,5.0,4.7,0,86.5,1
QA00036,TK00176,A014,AC0058,2025-09-20,3.9,4.0,4.4,3.2,4.6,4.4,0,81.4,1
QA00037,TK02844,A028,AC0019,2026-06-16,3.6,5.0,5.0,4.8,2.6,3.7,0,82.3,1
QA00038,TK01714,A004,AC0088,2026-03-01,5.0,1.8,3.9,3.9,3.9,4.4,0,76.3,1
QA00039,TK01796,A028,AC0087,2026-03-10,4.2,4.3,4.4,4.1,3.5,4.2,0,82.4,1
QA00040,TK00120,A025,AC0062,2025-09-14,5.0,4.5,3.9,3.9,4.4,3.3,0,83.4,1
QA00041,TK02564,A020,AC0064,2026-05-24,4.0,4.8,3.6,4.0,2.4,2.6,1,59.0,1
QA00042,TK00881,A036,AC0030,2025-11-29,3.5,1.8,3.4,2.9,4.1,4.2,0,66.6,1
QA00043,TK02579,A006,AC0149,2026-05-26,4.5,3.5,3.5,3.9,4.0,5.0,0,81.1,1
QA00044,TK03484,A002,AC0008,2026-08-25,3.5,4.0,4.1,4.8,4.2,3.2,0,79.5,1
QA00045,TK03266,A038,AC0132,2026-07-31,5.0,4.7,4.1,3.4,3.5,3.7,0,81.5,1
QA00046,TK02238,A004,AC0061,2026-04-22,4.3,4.6,4.4,3.3,4.2,4.3,0,83.7,1
QA00047,TK02350,A032,AC0130,2026-05-01,4.6,4.0,4.5,4.1,2.9,3.3,0,77.8,1
QA00048,TK00109,A015,AC0116,2025-09-13,3.9,4.3,4.0,3.8,4.1,4.0,0,80.5,1
QA00049,TK00186,A021,AC0090,2025-09-22,4.0,4.4,5.0,4.7,3.3,3.7,0,84.0,1
QA00050,TK01449,A016,AC0125,2026-01-31,4.1,3.8,4.5,4.4,4.2,4.0,0,83.8,1
QA00051,TK01368,A016,AC0019,2026-01-21,2.7,3.5,4.1,3.7,4.0,4.1,0,73.7,1
QA00052,TK02870,A020,AC0047,2026-06-18,3.6,4.3,4.8,5.0,2.1,4.3,0,80.2,1
QA00053,TK01474,A025,AC0002,2026-02-02,5.0,4.8,3.8,4.3,4.5,2.9,0,84.6,1
QA00054,TK01748,A030,AC0077,2026-03-04,4.0,3.8,3.6,3.8,2.9,4.1,0,74.0,1
QA00055,TK01755,A003,AC0013,2026-03-05,3.6,4.2,4.0,4.1,5.0,4.5,0,84.9,1
QA00056,TK03101,A027,AC0031,2026-07-13,4.4,3.1,4.0,4.5,4.9,4.0,0,83.0,1
QA00057,TK00862,A015,AC0133,2025-11-28,4.4,2.5,4.2,5.0,4.3,4.1,0,81.8,1
QA00058,TK02239,A021,AC0053,2026-04-22,4.4,4.2,4.8,3.9,5.0,5.0,0,90.6,1
QA00059,TK03420,A032,AC0065,2026-08-17,4.0,3.1,4.6,3.9,3.9,3.9,0,77.9,1
QA00060,TK02386,A038,AC0030,2026-05-05,3.1,3.9,5.0,5.0,3.5,4.5,0,83.5,1
QA00061,TK02707,A018,AC0061,2026-06-06,4.5,2.9,3.8,3.2,3.8,4.3,0,75.5,1
QA00062,TK03290,A035,AC0139,2026-08-02,3.9,3.2,4.3,4.3,3.8,3.8,0,77.9,1
QA00063,TK00946,A019,AC0047,2025-12-06,5.0,3.1,4.3,3.3,2.8,3.7,1,59.0,0
QA00064,TK02473,A003,AC0142,2026-05-14,4.1,4.0,4.7,4.3,4.1,5.0,0,87.2,1
QA00065,TK03419,A014,AC0027,2026-08-17,5.0,3.8,4.6,4.1,4.3,4.2,0,86.5,1
QA00066,TK00258,A008,AC0100,2025-09-30,3.8,3.4,4.2,5.0,3.3,4.1,0,79.8,1
QA00067,TK02501,A023,AC0004,2026-05-16,4.5,5.0,4.2,4.2,3.5,5.0,0,87.9,1
QA00068,TK00393,A007,AC0024,2025-10-15,4.1,5.0,4.6,4.7,3.6,3.2,0,83.7,1
QA00069,TK00877,A029,AC0098,2025-11-29,3.5,3.6,3.4,3.1,3.9,4.5,0,73.3,1
QA00070,TK00771,A006,AC0126,2025-11-18,4.0,4.7,4.4,3.7,3.2,5.0,0,83.4,1
QA00071,TK02813,A034,AC0075,2026-06-14,5.0,5.0,3.3,4.4,2.9,5.0,0,85.0,1
QA00072,TK00872,A029,AC0134,2025-11-29,2.9,3.3,4.0,4.7,3.6,3.2,0,72.4,1
QA00073,TK03182,A013,AC0143,2026-07-22,3.7,3.5,3.5,4.7,2.9,3.6,0,73.0,1
QA00074,TK02245,A019,AC0098,2026-04-23,4.7,2.0,3.7,3.6,5.0,3.9,0,76.4,0
QA00075,TK01630,A012,AC0008,2026-02-19,4.0,4.0,5.0,4.0,3.3,3.6,0,79.7,0
QA00076,TK03424,A009,AC0025,2026-08-17,3.6,2.4,5.0,3.5,3.5,3.3,0,71.1,1
QA00077,TK00311,A006,AC0080,2025-10-07,4.3,4.4,4.3,4.9,4.3,4.0,0,87.5,1
QA00078,TK02277,A006,AC0117,2026-04-25,4.4,3.2,3.7,4.7,3.9,4.0,0,79.8,1
QA00079,TK00645,A026,AC0103,2025-11-07,3.7,3.7,4.6,3.8,2.8,3.9,0,75.0,1
QA00080,TK03042,A026,AC0057,2026-07-06,4.1,3.4,4.0,3.7,5.0,3.3,0,78.5,1
QA00081,TK02972,A008,AC0037,2026-06-28,5.0,4.0,3.5,3.6,4.3,5.0,0,84.7,1
QA00082,TK02859,A027,AC0008,2026-06-18,4.5,3.3,3.2,4.7,3.1,4.4,0,77.3,1
QA00083,TK00432,A023,AC0018,2025-10-18,4.5,4.3,3.7,3.7,2.8,3.7,0,75.2,1
QA00084,TK00226,A028,AC0088,2025-09-27,4.7,4.5,3.9,5.0,2.5,3.1,0,78.9,1
QA00085,TK02955,A004,AC0003,2026-06-27,4.7,3.2,4.0,2.8,3.8,5.0,0,78.1,1
QA00086,TK01255,A027,AC0134,2026-01-08,5.0,3.9,4.4,4.1,4.5,4.3,0,87.4,1
QA00087,TK03009,A012,AC0085,2026-07-03,4.2,3.5,2.6,3.9,4.4,4.3,0,76.1,1
QA00088,TK02121,A010,AC0021,2026-04-10,4.3,3.7,4.2,4.2,5.0,4.4,0,86.0,1
QA00089,TK01892,A002,AC0011,2026-03-18,3.5,5.0,4.4,4.0,4.1,3.9,0,82.9,1
QA00090,TK01817,A003,AC0061,2026-03-12,3.4,4.1,4.3,3.6,4.0,4.8,0,80.5,1
QA00091,TK02939,A032,AC0071,2026-06-26,5.0,4.3,3.6,4.5,4.1,5.0,0,88.2,1
QA00092,TK00992,A002,AC0114,2025-12-11,5.0,3.8,3.1,3.3,5.0,3.0,0,77.5,1
QA00093,TK02007,A003,AC0100,2026-03-29,4.5,3.4,4.1,4.6,4.3,5.0,0,86.0,1
QA00094,TK02319,A019,AC0110,2026-04-29,5.0,2.8,3.9,3.9,4.8,4.9,0,84.2,1
QA00095,TK01712,A022,AC0004,2026-03-01,5.0,3.2,4.0,5.0,3.2,4.0,0,81.5,1
QA00096,TK00126,A037,AC0140,2025-09-15,4.4,4.2,3.3,4.9,4.8,4.2,0,85.7,1
QA00097,TK00345,A002,AC0080,2025-10-12,3.9,3.9,4.9,4.2,3.9,3.2,0,80.1,0
QA00098,TK01061,A015,AC0105,2025-12-18,4.2,5.0,3.1,4.3,4.0,5.0,0,85.0,1
QA00099,TK01664,A009,AC0058,2026-02-23,4.3,3.5,4.4,4.3,4.6,4.0,0,83.4,1
QA00100,TK01421,A007,AC0095,2026-01-27,4.7,4.0,3.0,3.4,5.0,3.8,0,79.5,1
QA00101,TK00895,A018,AC0088,2025-11-30,2.5,4.9,5.0,3.6,4.5,5.0,0,85.1,1
QA00102,TK01907,A003,AC0024,2026-03-19,4.7,4.3,4.4,3.8,4.0,4.7,0,86.6,1
QA00103,TK01123,A031,AC0141,2025-12-25,4.1,4.7,5.0,3.5,3.4,5.0,0,85.6,1
QA00104,TK02376,A037,AC0004,2026-05-04,3.3,3.7,3.7,5.0,4.4,4.0,0,80.3,1
QA00105,TK02143,A020,AC0029,2026-04-13,5.0,3.1,4.4,4.2,4.4,4.1,0,84.2,1
QA00106,TK01253,A014,AC0021,2026-01-08,3.9,4.2,4.6,4.1,5.0,5.0,0,89.3,1
QA00107,TK03304,A030,AC0056,2026-08-04,4.9,4.6,4.2,3.8,4.0,4.2,0,85.9,1
QA00108,TK03366,A008,AC0075,2026-08-11,4.3,4.3,3.7,3.4,4.7,3.6,0,79.9,1
QA00109,TK02183,A023,AC0046,2026-04-17,4.7,3.2,4.0,4.4,3.8,4.3,0,81.6,1
QA00110,TK02756,A016,AC0015,2026-06-09,5.0,3.8,4.7,2.0,4.7,3.7,0,79.3,1
QA00111,TK00238,A013,AC0023,2025-09-28,4.0,4.2,4.4,4.3,3.7,4.2,0,82.7,1
QA00112,TK00764,A017,AC0057,2025-11-17,4.1,4.2,3.9,4.1,4.7,4.7,0,85.8,1
QA00113,TK03378,A011,AC0014,2026-08-12,4.4,4.2,3.0,4.0,3.9,2.5,0,73.5,1
QA00114,TK01851,A013,AC0095,2026-03-14,4.2,4.1,4.2,3.6,3.8,3.2,0,77.1,1
QA00115,TK00892,A030,AC0024,2025-11-30,4.7,2.9,4.1,2.8,3.6,4.5,0,75.0,1
QA00116,TK01479,A026,AC0038,2026-02-03,3.1,4.5,4.4,2.5,5.0,3.5,0,76.9,1
QA00117,TK01381,A034,AC0137,2026-01-23,4.6,5.0,4.0,4.5,4.3,4.0,0,88.2,1
QA00118,TK01691,A005,AC0114,2026-02-26,3.9,4.5,4.3,3.5,5.0,4.4,0,85.2,1
QA00119,TK02887,A012,AC0109,2026-06-21,3.6,4.9,5.0,4.1,4.0,4.0,0,85.6,1
QA00120,TK00635,A030,AC0047,2025-11-06,3.6,3.3,4.0,4.1,3.5,4.8,0,77.7,1
QA00121,TK01297,A014,AC0132,2026-01-12,5.0,3.4,3.3,4.4,4.4,3.6,0,80.4,1
QA00122,TK02904,A029,AC0047,2026-06-22,4.2,3.6,3.3,4.2,4.6,3.0,0,76.1,1
QA00123,TK01832,A019,AC0061,2026-03-13,4.2,4.0,4.1,3.7,3.6,4.0,0,79.0,1
QA00124,TK00867,A008,AC0015,2025-11-28,3.4,2.4,3.4,4.5,4.1,4.2,0,73.6,1
QA00125,TK00585,A013,AC0037,2025-11-02,4.7,4.4,5.0,4.3,4.0,3.0,0,84.5,1
QA00126,TK00544,A009,AC0047,2025-10-29,4.1,3.2,5.0,4.6,2.8,3.2,0,76.1,1
QA00127,TK02213,A030,AC0029,2026-04-20,4.6,3.5,4.6,4.8,3.9,3.6,0,83.7,0
QA00128,TK02082,A006,AC0081,2026-04-05,3.9,3.5,4.8,4.1,4.1,4.2,0,81.9,1
QA00129,TK02418,A035,AC0087,2026-05-09,3.3,5.0,3.2,4.7,2.5,2.3,0,70.3,1
QA00130,TK01328,A031,AC0029,2026-01-17,4.5,5.0,4.7,2.6,3.6,4.6,0,83.3,1
QA00131,TK02890,A035,AC0061,2026-06-21,4.3,3.7,3.9,4.3,3.9,4.7,0,82.7,1
QA00132,TK01969,A012,AC0086,2026-03-25,4.8,2.8,4.1,4.3,4.6,4.1,0,82.3,1
QA00133,TK00193,A006,AC0058,2025-09-23,5.0,5.0,4.1,3.8,5.0,4.2,0,90.4,1
QA00134,TK00541,A021,AC0124,2025-10-28,4.5,4.1,4.5,3.6,4.5,5.0,0,87.5,1
QA00135,TK01538,A014,AC0113,2026-02-10,4.0,4.5,4.7,3.7,3.2,3.1,0,77.3,1
QA00136,TK01798,A004,AC0119,2026-03-10,3.5,4.7,5.0,5.0,4.3,4.3,0,89.2,1
QA00137,TK03300,A013,AC0062,2026-08-04,4.9,4.6,3.8,3.5,3.7,5.0,0,85.3,1
QA00138,TK01470,A002,AC0085,2026-02-02,4.1,4.4,4.6,4.4,3.9,2.6,0,80.2,1
QA00139,TK00507,A011,AC0058,2025-10-26,4.8,2.9,3.6,3.6,3.4,3.6,0,72.9,1
QA00140,TK03443,A008,AC0142,2026-08-20,4.8,3.1,4.4,4.7,3.4,4.5,0,83.1,1
QA00141,TK03084,A016,AC0021,2026-07-11,3.9,4.8,4.5,3.2,3.4,3.9,0,79.1,1
QA00142,TK01122,A026,AC0031,2025-12-25,4.6,3.3,3.0,4.1,4.1,3.3,0,75.2,1
QA00143,TK02148,A031,AC0140,2026-04-13,4.9,2.8,3.4,4.5,4.3,3.5,0,77.8,1
QA00144,TK00780,A025,AC0144,2025-11-19,4.5,3.3,4.8,5.0,3.7,4.5,0,85.6,1
QA00145,TK02899,A023,AC0049,2026-06-22,5.0,3.1,4.9,4.2,3.6,3.8,0,81.6,1
QA00146,TK00580,A008,AC0085,2025-11-01,3.9,4.5,4.9,5.0,4.9,3.7,1,59.0,1
QA00147,TK02862,A036,AC0137,2026-06-18,4.2,3.4,4.1,4.5,4.4,3.7,0,80.9,1
QA00148,TK02129,A038,AC0074,2026-04-11,4.6,3.3,4.7,5.0,4.2,4.3,0,87.3,1
QA00149,TK00370,A020,AC0142,2025-10-13,4.2,3.7,4.5,3.7,4.1,3.8,0,80.4,1
QA00150,TK01397,A005,AC0085,2026-01-24,3.7,4.5,3.9,3.5,3.0,4.1,0,75.9,1
QA00151,TK01760,A033,AC0090,2026-03-06,4.4,4.0,4.1,3.8,2.8,4.9,0,80.3,1
QA00152,TK00289,A024,AC0113,2025-10-05,4.4,4.0,4.2,2.4,5.0,3.6,0,78.5,1
QA00153,TK00006,A001,AC0004,2025-09-01,4.5,4.1,4.0,3.5,4.4,3.1,0,78.5,1
QA00154,TK02734,A023,AC0101,2026-06-07,4.5,4.8,3.6,5.0,5.0,3.5,0,88.1,1
QA00155,TK03095,A028,AC0022,2026-07-12,3.6,2.5,4.2,2.5,4.5,2.8,0,67.2,1
QA00156,TK00723,A035,AC0008,2025-11-12,4.8,4.4,4.6,4.1,4.8,4.2,1,59.0,1
QA00157,TK03114,A010,AC0127,2026-07-14,3.8,3.4,4.5,4.8,4.7,4.0,0,83.9,1
QA00158,TK03223,A016,AC0050,2026-07-26,4.6,3.9,3.8,3.0,3.8,3.3,0,74.7,1
QA00159,TK00596,A008,AC0113,2025-11-03,4.1,2.9,3.8,4.1,3.9,4.7,0,78.3,1
QA00160,TK02306,A037,AC0049,2026-04-27,5.0,5.0,5.0,3.4,2.5,4.1,0,83.5,1
QA00161,TK00752,A011,AC0137,2025-11-15,1.9,4.1,4.4,4.8,4.0,5.0,0,80.5,1
QA00162,TK03254,A009,AC0066,2026-07-29,4.4,3.1,4.1,4.6,3.9,5.0,0,83.7,1
QA00163,TK00710,A004,AC0045,2025-11-12,4.7,5.0,3.5,4.1,4.1,3.4,0,82.4,1
QA00164,TK00640,A014,AC0008,2025-11-06,3.4,4.3,3.9,4.8,3.2,2.4,0,73.5,1
QA00165,TK02176,A017,AC0101,2026-04-16,4.6,4.9,5.0,4.1,3.9,3.8,0,87.7,1
QA00166,TK00781,A024,AC0088,2025-11-19,3.8,4.5,3.4,5.0,4.2,3.1,0,80.1,1
QA00167,TK01145,A031,AC0006,2025-12-27,4.5,4.0,4.2,4.7,4.0,4.0,0,84.4,1
QA00168,TK01819,A030,AC0101,2026-03-12,4.8,3.8,4.2,2.5,3.7,3.9,0,76.5,1
QA00169,TK00395,A008,AC0145,2025-10-15,4.5,3.9,5.0,1.6,4.2,4.3,0,78.2,1
QA00170,TK02883,A025,AC0123,2026-06-20,4.9,3.8,3.2,4.0,2.9,3.1,0,73.1,1
QA00171,TK01015,A035,AC0087,2025-12-14,4.6,5.0,4.0,2.7,3.3,5.0,1,59.0,1
QA00172,TK02163,A009,AC0106,2026-04-15,5.0,3.6,4.2,3.4,3.9,4.7,0,82.5,1
QA00173,TK00404,A033,AC0127,2025-10-16,5.0,4.0,3.3,4.8,3.4,3.8,0,81.2,1
QA00174,TK00910,A012,AC0088,2025-12-02,4.6,3.8,5.0,3.0,3.2,4.7,0,80.9,1
QA00175,TK02361,A017,AC0137,2026-05-02,4.5,3.4,4.2,4.1,4.0,3.8,0,79.9,1
QA00176,TK03148,A011,AC0036,2026-07-18,5.0,4.8,5.0,3.6,3.6,3.8,0,86.3,1
QA00177,TK02592,A024,AC0098,2026-05-27,2.9,3.1,4.4,4.2,4.8,3.4,0,76.1,1
QA00178,TK01086,A034,AC0104,2025-12-20,2.6,4.7,2.6,5.0,4.6,5.0,0,81.6,0
QA00179,TK02651,A016,AC0114,2026-06-01,4.0,3.7,4.0,3.3,3.9,5.0,0,79.7,1
QA00180,TK01787,A025,AC0004,2026-03-08,3.7,5.0,3.8,3.4,4.3,4.7,0,82.7,1
QA00181,TK00757,A021,AC0024,2025-11-16,3.6,2.6,3.3,3.7,4.8,4.9,0,76.0,0
QA00182,TK01323,A029,AC0131,2026-01-16,4.0,3.3,4.3,4.3,4.1,3.5,0,78.1,1
QA00183,TK03432,A002,AC0063,2026-08-18,4.8,5.0,5.0,3.4,3.7,4.6,0,88.5,1
QA00184,TK02840,A037,AC0100,2026-06-16,3.9,3.1,4.3,5.0,4.7,3.1,0,80.3,1
QA00185,TK01528,A013,AC0041,2026-02-09,4.0,3.6,4.1,4.2,3.9,4.2,0,80.1,0
QA00186,TK01376,A003,AC0004,2026-01-22,3.3,4.7,5.0,3.6,4.1,4.8,0,84.9,1
QA00187,TK01136,A026,AC0088,2025-12-26,5.0,3.5,4.0,4.4,2.1,4.0,0,76.6,1
QA00188,TK00943,A037,AC0117,2025-12-06,5.0,2.9,4.1,4.3,3.4,3.1,0,76.3,1
QA00189,TK01362,A025,AC0106,2026-01-21,4.5,4.1,3.9,2.6,4.8,4.5,0,81.0,1
QA00190,TK00408,A033,AC0137,2025-10-16,4.3,4.2,4.2,4.1,5.0,2.5,0,81.2,1
QA00191,TK00602,A033,AC0105,2025-11-03,4.3,4.2,4.0,3.4,3.8,3.7,0,78.2,1
QA00192,TK01101,A008,AC0060,2025-12-21,4.0,4.1,3.7,3.6,4.0,4.3,0,79.0,1
QA00193,TK00115,A019,AC0013,2025-09-13,4.4,3.5,4.4,3.8,3.5,3.8,0,78.3,1
QA00194,TK03434,A005,AC0090,2026-08-19,4.4,2.3,3.1,4.0,3.6,5.0,0,74.6,1
QA00195,TK02045,A023,AC0137,2026-04-01,3.8,3.6,5.0,4.4,4.3,5.0,0,86.9,1
QA00196,TK01716,A037,AC0075,2026-03-01,3.4,2.6,4.7,4.0,3.9,5.0,0,78.6,1
QA00197,TK01616,A030,AC0037,2026-02-17,5.0,3.0,4.0,3.3,3.7,3.5,0,75.1,1
QA00198,TK03188,A017,AC0036,2026-07-23,3.3,3.7,4.6,5.0,3.4,3.8,0,79.3,1
QA00199,TK00099,A023,AC0030,2025-09-12,4.0,3.6,3.9,3.2,3.9,3.2,0,73.1,1
QA00200,TK02139,A009,AC0106,2026-04-12,3.9,5.0,3.3,4.9,4.7,3.9,0,85.4,1
QA00201,TK00346,A015,AC0021,2025-10-12,3.7,3.5,4.1,4.2,2.9,4.9,0,77.7,1
QA00202,TK00749,A016,AC0067,2025-11-15,4.0,4.4,5.0,3.3,3.7,5.0,0,84.5,1
QA00203,TK01621,A011,AC0085,2026-02-18,4.2,3.8,4.1,3.8,3.4,3.3,0,75.8,1
QA00204,TK02528,A005,AC0061,2026-05-19,5.0,4.7,4.2,4.5,4.7,5.0,0,93.5,1
QA00205,TK01166,A001,AC0093,2025-12-29,4.6,4.0,4.1,4.8,3.9,3.6,0,83.5,1
QA00206,TK03299,A014,AC0131,2026-08-03,4.5,4.0,3.8,4.1,5.0,5.0,0,87.9,1
QA00207,TK01614,A032,AC0006,2026-02-17,5.0,4.1,3.6,3.7,5.0,3.5,0,83.1,1
QA00208,TK00322,A031,AC0132,2025-10-08,4.1,4.6,4.2,4.7,3.8,3.4,0,82.3,1
QA00209,TK00634,A037,AC0056,2025-11-06,5.0,4.0,4.4,3.3,3.8,4.3,0,82.4,1
QA00210,TK00875,A025,AC0003,2025-11-29,4.4,3.3,5.0,2.8,4.2,4.4,0,80.1,1
QA00211,TK02328,A030,AC0047,2026-04-29,3.8,3.3,4.2,4.6,3.4,4.1,0,77.9,1
QA00212,TK02037,A027,AC0013,2026-03-31,3.7,3.5,4.7,4.6,2.8,3.1,0,74.3,1
QA00213,TK00808,A024,AC0067,2025-11-21,4.4,4.4,5.0,4.0,4.6,4.1,0,88.2,1
QA00214,TK02165,A036,AC0145,2026-04-15,3.7,2.9,4.2,3.8,5.0,4.5,0,80.5,1
QA00215,TK01608,A018,AC0009,2026-02-16,4.0,4.0,3.2,4.0,4.8,3.2,0,77.4,1
QA00216,TK01952,A019,AC0135,2026-03-24,3.9,3.9,3.3,2.1,4.1,2.7,0,66.7,1
QA00217,TK00151,A019,AC0018,2025-09-18,5.0,3.9,3.4,3.8,4.4,5.0,0,85.1,1
QA00218,TK03457,A029,AC0117,2026-08-21,4.4,3.3,3.4,4.2,3.2,3.6,0,73.9,1
QA00219,TK01154,A020,AC0044,2025-12-28,3.9,3.6,4.6,2.9,4.6,5.0,0,81.9,1
QA00220,TK01738,A021,AC0055,2026-03-03,4.8,4.3,4.5,3.8,4.3,3.9,0,85.6,1
QA00221,TK00022,A024,AC0105,2025-09-02,4.0,4.4,4.3,4.0,3.8,2.4,0,76.6,1
QA00222,TK01925,A036,AC0101,2026-03-21,4.2,4.1,3.6,3.7,3.0,3.9,0,74.8,1
QA00223,TK02282,A031,AC0057,2026-04-25,4.0,4.1,3.2,4.2,4.4,4.2,0,80.5,1
QA00224,TK00380,A017,AC0113,2025-10-14,4.4,3.0,4.1,1.0,4.1,3.1,0,66.3,1
QA00225,TK03357,A002,AC0047,2026-08-10,3.9,2.7,4.8,5.0,3.4,3.5,0,78.0,0
QA00226,TK00762,A021,AC0049,2025-11-16,4.0,2.8,3.7,3.4,4.5,4.0,0,74.2,1
QA00227,TK02983,A028,AC0102,2026-06-29,4.9,2.9,4.5,4.4,5.0,3.3,0,83.6,1
QA00228,TK02268,A024,AC0099,2026-04-25,4.0,2.4,3.9,4.6,4.1,4.5,0,78.8,1
QA00229,TK03367,A026,AC0047,2026-08-11,4.6,3.4,4.0,3.6,4.8,2.8,0,77.2,1
QA00230,TK00412,A003,AC0141,2025-10-16,4.3,4.4,3.7,3.2,3.9,4.8,0,80.6,1
QA00231,TK02443,A030,AC0073,2026-05-11,5.0,3.9,4.7,5.0,5.0,5.0,0,95.4,1
QA00232,TK01601,A025,AC0030,2026-02-16,4.3,5.0,4.1,3.6,5.0,4.9,0,89.4,1
QA00233,TK00904,A014,AC0004,2025-12-01,2.9,5.0,3.7,4.5,4.1,5.0,0,83.8,1
QA00234,TK01066,A014,AC0020,2025-12-19,4.6,4.2,4.0,3.7,3.9,3.3,0,78.9,1
QA00235,TK03329,A016,AC0015,2026-08-07,4.6,3.1,3.3,3.5,3.9,4.8,0,77.4,1
QA00236,TK02950,A003,AC0057,2026-06-27,3.7,3.1,4.5,4.5,4.1,3.8,0,79.0,1
QA00237,TK02851,A007,AC0024,2026-06-17,4.4,3.9,4.0,3.0,3.1,4.6,0,76.7,1
QA00238,TK02777,A001,AC0049,2026-06-11,4.8,3.0,3.7,4.7,4.7,3.0,0,79.4,1
QA00239,TK02524,A030,AC0047,2026-05-18,4.4,4.8,4.2,4.4,4.0,3.3,0,83.7,1
QA00240,TK01486,A036,AC0144,2026-02-04,4.2,3.1,3.9,3.1,5.0,5.0,0,81.0,1
QA00241,TK02677,A019,AC0130,2026-06-03,4.8,3.5,3.4,4.1,4.2,3.8,0,79.2,1
QA00242,TK02124,A004,AC0086,2026-04-10,4.1,3.9,4.4,4.1,3.5,4.1,0,80.3,1
QA00243,TK00157,A006,AC0042,2025-09-18,3.6,4.6,4.1,3.5,3.4,5.0,0,80.3,1
