ticket_id,account_id,agent_id,created_at,resolved_at,contact_reason,resolution_status,first_response_minutes,escalation_required,escalation_reason,complaint_flag,repeat_contact,related_sop
TK00046,AC0140,A028,2025-09-05 16:00:00,2025-09-06 08:27:28.169818709,How-to,Resolved,35,0,None,0,0,SOP-12
TK00047,AC0047,A016,2025-09-06 12:00:00,2025-09-06 17:17:22.064292605,How-to,Resolved,45,0,None,0,0,SOP-07
TK00048,AC0114,A024,2025-09-06 16:00:00,2025-09-06 23:32:55.788869297,Integration,Resolved,17,0,None,0,0,SOP-18
TK00049,AC0136,A028,2025-09-06 19:00:00,2025-09-07 01:45:48.270243003,Bug,Resolved,32,1,Technical,0,0,None
TK00050,AC0121,A028,2025-09-06 11:00:00,2025-09-07 13:10:11.789336995,Feature Request,Resolved,14,0,None,0,1,SOP-18
TK00051,AC0132,A009,2025-09-07 11:00:00,2025-09-07 19:16:01.356085751,Technical,Resolved,86,0,None,0,0,None
TK00052,AC0127,A020,2025-09-07 08:00:00,2025-09-08 01:18:01.058385683,Billing,Resolved,41,0,None,0,0,None
TK00053,AC0087,A034,2025-09-07 16:00:00,2025-09-08 13:48:18.782788901,Billing,Resolved,29,0,None,0,0,SOP-23
TK00054,AC0061,A002,2025-09-07 16:00:00,2025-09-07 21:42:49.305112158,Technical,Resolved,48,0,None,1,0,None
TK00055,AC0091,A010,2025-09-07 15:00:00,2025-09-08 04:51:46.072907316,Integration,Resolved,49,0,None,0,0,SOP-07
TK00056,AC0092,A038,2025-09-07 16:00:00,2025-09-08 05:14:00.730351760,How-to,Resolved,41,0,None,0,0,None
TK00057,AC0004,A005,2025-09-07 18:00:00,2025-09-08 22:18:50.630370068,How-to,Resolved,12,0,None,1,1,SOP-23
TK00058,AC0042,A032,2025-09-07 14:00:00,2025-09-07 18:08:18.028834757,How-to,Resolved,52,0,None,0,0,None
TK00059,AC0054,A009,2025-09-07 10:00:00,2025-09-07 17:32:16.037774777,Technical,Resolved,60,0,None,0,0,SOP-18
TK00060,AC0126,A019,2025-09-07 19:00:00,2025-09-08 13:17:52.602182040,How-to,Resolved,10,0,None,0,0,None
TK00061,AC0067,A029,2025-09-08 09:00:00,2025-09-09 23:50:12.688206048,How-to,Resolved,46,0,None,0,0,SOP-23
TK00062,AC0013,A020,2025-09-08 17:00:00,2025-09-08 21:58:11.722202818,Feature Request,Resolved,37,0,None,0,0,SOP-23
TK00063,AC0068,A027,2025-09-08 17:00:00,2025-09-09 01:13:57.602353184,Account,Resolved,11,0,None,0,0,None
TK00064,AC0147,A015,2025-09-08 11:00:00,2025-09-09 04:38:50.660027044,Technical,Resolved,18,0,None,0,0,SOP-23
TK00065,AC0062,A009,2025-09-08 18:00:00,2025-09-10 01:18:48.780197606,Integration,Resolved,29,0,None,0,1,SOP-23
TK00066,AC0056,A013,2025-09-08 10:00:00,2025-09-09 02:33:59.451713177,Feature Request,Resolved,38,0,None,0,0,SOP-07
TK00067,AC0105,A029,2025-09-08 18:00:00,2025-09-09 08:09:33.352927287,Bug,Resolved,21,0,None,1,0,None
TK00068,AC0065,A033,2025-09-08 14:00:00,2025-09-09 04:45:54.069258692,Billing,Resolved,21,0,None,0,0,None
TK00069,AC0059,A017,2025-09-08 10:00:00,2025-09-09 02:47:55.379131961,How-to,Resolved,88,0,None,0,0,None
TK00070,AC0004,A023,2025-09-08 14:00:00,,How-to,Waiting Internally,5,1,Operations,0,0,SOP-23
TK00071,AC0099,A008,2025-09-08 13:00:00,2025-09-08 21:14:57.148063461,Bug,Resolved,32,0,None,0,0,None
TK00072,AC0101,A019,2025-09-08 16:00:00,,Account,Waiting Customer,34,0,None,0,0,None
TK00073,AC0104,A017,2025-09-08 09:00:00,2025-09-09 20:18:27.866833351,Bug,Resolved,13,0,None,0,0,SOP-18
TK00074,AC0047,A014,2025-09-09 16:00:00,,Billing,Waiting Internally,15,1,Technical,0,0,None
TK00075,AC0130,A025,2025-09-09 08:00:00,,Bug,Partially Resolved,8,1,Operations,0,0,SOP-18
TK00076,AC0100,A020,2025-09-09 20:00:00,,Integration,Partially Resolved,76,0,None,0,1,None
TK00077,AC0127,A029,2025-09-09 14:00:00,,How-to,Waiting Internally,29,1,Technical,0,0,None
TK00078,AC0088,A004,2025-09-10 12:00:00,2025-09-10 23:56:34.480006186,How-to,Resolved,13,0,None,0,0,SOP-07
TK00079,AC0062,A035,2025-09-10 13:00:00,2025-09-11 03:32:36.361352862,Account,Resolved,25,0,None,0,0,SOP-12
TK00080,AC0008,A025,2025-09-10 16:00:00,2025-09-11 05:45:03.537395462,Integration,Resolved,7,0,None,0,0,None
TK00081,AC0013,A030,2025-09-10 14:00:00,,Integration,Partially Resolved,59,0,None,0,0,SOP-18
TK00082,AC0117,A029,2025-09-10 10:00:00,2025-09-11 08:05:24.780466381,How-to,Resolved,10,0,None,0,0,None
TK00083,AC0023,A015,2025-09-10 09:00:00,2025-09-11 13:02:27.510023994,Integration,Resolved,28,0,None,1,0,SOP-07
TK00084,AC0057,A037,2025-09-10 09:00:00,2025-09-11 04:55:08.063588092,How-to,Resolved,26,0,None,1,0,None
TK00085,AC0064,A022,2025-09-10 15:00:00,2025-09-12 03:47:46.849929230,Bug,Resolved,54,1,Technical,0,0,SOP-23
TK00086,AC0046,A036,2025-09-10 09:00:00,2025-09-11 07:16:37.086263424,How-to,Resolved,22,0,None,1,0,None
TK00087,AC0030,A015,2025-09-11 19:00:00,2025-09-12 12:59:06.545380819,Technical,Resolved,44,0,None,0,0,SOP-07
TK00088,AC0138,A032,2025-09-11 16:00:00,2025-09-12 19:08:36.956618748,How-to,Resolved,39,0,None,0,0,SOP-23
TK00089,AC0099,A016,2025-09-11 12:00:00,2025-09-12 03:12:55.732159061,Account,Resolved,11,0,None,0,1,SOP-07
TK00090,AC0102,A022,2025-09-11 12:00:00,2025-09-11 16:38:48.781593724,Feature Request,Resolved,12,0,None,0,0,None
TK00091,AC0065,A020,2025-09-11 09:00:00,2025-09-11 15:53:27.405784854,Bug,Resolved,27,0,None,0,0,None
TK00092,AC0099,A011,2025-09-11 12:00:00,2025-09-11 18:47:36.651447644,How-to,Resolved,75,0,None,0,0,SOP-18
TK00093,AC0039,A002,2025-09-11 13:00:00,2025-09-11 19:10:38.143060344,Billing,Resolved,9,0,None,0,0,None
TK00094,AC0018,A022,2025-09-11 17:00:00,2025-09-12 02:33:52.527766052,Feature Request,Resolved,17,0,None,0,0,SOP-07
TK00095,AC0140,A026,2025-09-11 12:00:00,2025-09-11 23:47:07.323689105,How-to,Resolved,97,0,None,0,0,None
TK00096,AC0046,A011,2025-09-11 15:00:00,2025-09-12 02:52:11.957533450,How-to,Resolved,49,0,None,0,0,SOP-07
TK00097,AC0086,A034,2025-09-12 11:00:00,2025-09-13 17:29:33.624019723,Technical,Resolved,16,0,None,0,1,None
TK00098,AC0018,A031,2025-09-12 14:00:00,2025-09-12 23:05:26.859359721,Account,Resolved,32,0,None,0,0,SOP-23
TK00099,AC0030,A023,2025-09-12 11:00:00,,Integration,Waiting Customer,44,0,None,0,0,SOP-07
TK00100,AC0087,A002,2025-09-12 08:00:00,2025-09-12 19:06:32.063750271,Feature Request,Resolved,42,0,None,0,0,None
TK00101,AC0076,A021,2025-09-12 15:00:00,2025-09-13 07:55:01.492068817,Technical,Resolved,22,0,None,0,0,None
TK00102,AC0101,A001,2025-09-12 19:00:00,2025-09-13 21:53:53.079774637,Integration,Resolved,61,0,None,0,0,None
TK00103,AC0050,A033,2025-09-12 11:00:00,2025-09-12 14:01:38.394200937,Billing,Resolved,12,0,None,0,0,None
TK00104,AC0099,A008,2025-09-12 17:00:00,2025-09-13 07:10:25.590327385,Technical,Resolved,80,0,None,0,0,SOP-12
TK00105,AC0143,A002,2025-09-12 18:00:00,2025-09-12 23:01:39.878132915,Bug,Resolved,43,0,None,0,0,SOP-07
TK00106,AC0127,A006,2025-09-13 15:00:00,2025-09-14 11:37:12.198917575,Technical,Resolved,21,0,None,0,0,SOP-23
TK00107,AC0085,A016,2025-09-13 09:00:00,2025-09-14 07:13:18.906754758,Account,Resolved,64,0,None,0,1,SOP-18
TK00108,AC0009,A022,2025-09-13 15:00:00,,How-to,Escalated,5,1,Product,0,0,None
TK00109,AC0116,A015,2025-09-13 16:00:00,2025-09-14 05:22:13.830210102,Account,Resolved,26,0,None,0,0,SOP-12
TK00110,AC0120,A036,2025-09-13 19:00:00,2025-09-14 02:23:46.873600871,Integration,Resolved,43,0,None,0,0,SOP-18
TK00111,AC0030,A036,2025-09-13 10:00:00,2025-09-14 21:55:37.043163882,Bug,Resolved,11,0,None,0,0,SOP-23
TK00112,AC0094,A002,2025-09-13 09:00:00,2025-09-13 20:46:35.351151138,Bug,Resolved,26,0,None,0,0,None
TK00113,AC0066,A029,2025-09-13 15:00:00,2025-09-15 11:48:48.992878245,How-to,Resolved,50,0,None,0,0,SOP-23
TK00114,AC0045,A024,2025-09-13 17:00:00,,Feature Request,Partially Resolved,22,0,None,0,0,None
TK00115,AC0013,A019,2025-09-13 15:00:00,2025-09-14 07:21:45.153714116,Billing,Resolved,20,0,None,0,0,SOP-12
TK00116,AC0046,A007,2025-09-13 15:00:00,,Billing,Partially Resolved,22,0,None,0,0,None
TK00117,AC0150,A030,2025-09-14 17:00:00,2025-09-16 01:02:15.636404070,Feature Request,Resolved,12,0,None,0,0,SOP-23
TK00118,AC0094,A033,2025-09-14 18:00:00,2025-09-15 01:54:17.800143292,Account,Resolved,14,0,None,0,1,SOP-07
TK00119,AC0132,A025,2025-09-14 14:00:00,,Billing,Partially Resolved,70,0,None,0,0,SOP-23
TK00120,AC0062,A025,2025-09-14 09:00:00,2025-09-14 15:19:24.605077875,Feature Request,Resolved,6,0,None,0,0,None
TK00121,AC0057,A002,2025-09-14 17:00:00,,Feature Request,Escalated,39,1,Operations,0,0,SOP-18
TK00122,AC0020,A017,2025-09-14 20:00:00,2025-09-17 13:51:27.556860801,How-to,Resolved,28,0,None,0,0,None
TK00123,AC0135,A014,2025-09-14 12:00:00,2025-09-15 20:53:17.882317095,How-to,Resolved,14,0,None,0,0,None
TK00124,AC0113,A032,2025-09-14 14:00:00,2025-09-15 01:25:56.843653901,Technical,Resolved,20,0,None,0,1,SOP-23
TK00125,AC0117,A026,2025-09-15 19:00:00,,Technical,Waiting Customer,47,0,None,0,1,None
TK00126,AC0140,A037,2025-09-15 17:00:00,2025-09-16 21:04:13.032408471,How-to,Resolved,19,0,None,0,0,SOP-12
TK00127,AC0100,A033,2025-09-15 09:00:00,2025-09-16 01:28:34.103958760,How-to,Resolved,28,0,None,0,0,SOP-18
TK00128,AC0018,A013,2025-09-15 16:00:00,2025-09-16 02:53:44.825810836,Technical,Resolved,27,0,None,0,0,SOP-12
TK00129,AC0071,A012,2025-09-15 09:00:00,2025-09-15 17:36:28.959832237,How-to,Resolved,27,0,None,0,0,None
TK00130,AC0117,A012,2025-09-15 17:00:00,2025-09-16 12:14:20.875250322,Account,Resolved,32,0,None,0,1,SOP-23
TK00131,AC0126,A017,2025-09-16 16:00:00,2025-09-16 17:29:33.142796922,Feature Request,Resolved,21,0,None,1,0,SOP-23
TK00132,AC0037,A027,2025-09-16 18:00:00,,Billing,Waiting Internally,76,1,Billing,0,0,SOP-12
TK00133,AC0051,A001,2025-09-16 11:00:00,2025-09-16 12:27:32.706447025,Integration,Resolved,36,0,None,0,0,None
TK00134,AC0072,A017,2025-09-16 11:00:00,2025-09-17 11:51:58.107747729,Feature Request,Resolved,28,0,None,0,0,None
TK00135,AC0064,A021,2025-09-16 18:00:00,2025-09-17 11:23:06.432522148,How-to,Resolved,6,0,None,1,0,SOP-18
TK00136,AC0008,A021,2025-09-16 19:00:00,2025-09-17 08:12:38.222647104,Bug,Resolved,58,1,Technical,0,0,SOP-07
TK00137,AC0146,A018,2025-09-16 09:00:00,2025-09-17 07:37:12.316599455,How-to,Resolved,42,0,None,0,0,SOP-12
TK00138,AC0049,A021,2025-09-16 16:00:00,2025-09-17 09:06:49.997083515,Billing,Resolved,61,0,None,1,0,None
TK00139,AC0008,A007,2025-09-16 19:00:00,2025-09-17 02:15:21.221536553,Technical,Resolved,14,0,None,0,0,None
TK00140,AC0137,A001,2025-09-16 19:00:00,2025-09-17 09:45:57.989829766,Account,Resolved,16,0,None,0,0,SOP-12
TK00141,AC0050,A023,2025-09-16 19:00:00,2025-09-17 06:21:08.674028297,Technical,Resolved,12,0,None,1,0,SOP-07
TK00142,AC0132,A020,2025-09-17 19:00:00,2025-09-18 03:27:03.046994078,Technical,Resolved,54,0,None,0,0,SOP-12
TK00143,AC0047,A010,2025-09-17 19:00:00,,Bug,Escalated,25,1,Operations,0,0,None
TK00144,AC0116,A027,2025-09-17 17:00:00,,Feature Request,Waiting Internally,43,1,Billing,0,0,SOP-18
TK00145,AC0043,A033,2025-09-17 17:00:00,2025-09-18 07:56:34.659052306,Feature Request,Resolved,33,0,None,0,0,SOP-18
TK00146,AC0087,A032,2025-09-17 08:00:00,2025-09-17 22:40:36.270329086,Technical,Resolved,23,0,None,0,1,SOP-23
TK00147,AC0021,A027,2025-09-17 10:00:00,2025-09-18 03:12:04.141272559,Account,Resolved,49,0,None,0,0,None
TK00148,AC0138,A014,2025-09-17 20:00:00,2025-09-18 17:12:22.041159877,Bug,Resolved,24,0,None,0,0,None
TK00149,AC0046,A026,2025-09-18 14:00:00,2025-09-19 06:54:25.213081358,Integration,Resolved,30,0,None,0,0,SOP-23
TK00150,AC0019,A027,2025-09-18 13:00:00,2025-09-18 21:00:23.512604604,Bug,Resolved,33,0,None,1,0,SOP-18
TK00151,AC0018,A019,2025-09-18 12:00:00,2025-09-19 03:52:39.253850892,Integration,Resolved,20,0,None,0,0,SOP-07
TK00152,AC0001,A030,2025-09-18 15:00:00,2025-09-19 19:38:25.737359801,Billing,Resolved,16,0,None,0,0,SOP-12
TK00153,AC0015,A028,2025-09-18 13:00:00,2025-09-19 11:58:26.511796182,Integration,Resolved,30,0,None,0,0,SOP-18
TK00154,AC0088,A003,2025-09-18 12:00:00,2025-09-20 04:47:59.033781448,Account,Resolved,80,0,None,0,0,None
TK00155,AC0122,A024,2025-09-18 12:00:00,2025-09-18 18:27:54.101363616,Feature Request,Resolved,13,0,None,0,0,SOP-23
TK00156,AC0037,A024,2025-09-18 10:00:00,,Technical,Waiting Internally,34,1,Billing,0,0,None
TK00157,AC0042,A006,2025-09-18 14:00:00,2025-09-19 08:51:43.667267127,Billing,Resolved,27,0,None,0,0,SOP-23
TK00158,AC0148,A028,2025-09-18 10:00:00,2025-09-18 18:08:19.916003109,Billing,Resolved,33,0,None,0,1,SOP-23
TK00159,AC0092,A036,2025-09-18 08:00:00,2025-09-19 22:27:57.964681012,Technical,Resolved,41,0,None,0,0,SOP-23
TK00160,AC0061,A015,2025-09-19 14:00:00,2025-09-19 22:51:51.557519881,Bug,Resolved,86,0,None,0,0,SOP-23
TK00161,AC0004,A036,2025-09-19 09:00:00,2025-09-20 10:21:06.052586059,Integration,Resolved,50,0,None,0,0,SOP-18
TK00162,AC0144,A006,2025-09-19 14:00:00,2025-09-20 16:44:46.246141019,Bug,Resolved,10,1,Billing,0,0,None
TK00163,AC0144,A027,2025-09-19 10:00:00,2025-09-21 08:47:06.604854697,Technical,Resolved,39,0,None,0,0,SOP-23
TK00164,AC0049,A010,2025-09-19 14:00:00,,Account,Waiting Internally,116,1,Operations,0,0,SOP-23
TK00165,AC0099,A029,2025-09-19 13:00:00,2025-09-19 22:42:30.724699695,Billing,Resolved,31,0,None,0,1,SOP-18
TK00166,AC0039,A019,2025-09-19 18:00:00,2025-09-20 07:37:06.377271828,Integration,Resolved,19,0,None,0,0,None
TK00167,AC0139,A005,2025-09-19 10:00:00,2025-09-21 01:33:36.951432637,Bug,Resolved,4,0,None,0,0,None
TK00168,AC0142,A005,2025-09-19 17:00:00,2025-09-19 23:19:23.252066598,How-to,Resolved,32,0,None,0,0,None
TK00169,AC0068,A008,2025-09-20 08:00:00,2025-09-20 17:47:43.671562811,Bug,Resolved,24,0,None,0,0,None
TK00170,AC0139,A037,2025-09-20 14:00:00,2025-09-22 01:53:23.864719584,How-to,Resolved,24,0,None,0,0,SOP-23
TK00171,AC0103,A007,2025-09-20 12:00:00,2025-09-20 14:45:40.428847194,How-to,Resolved,34,0,None,0,0,SOP-23
TK00172,AC0016,A019,2025-09-20 16:00:00,,Technical,Escalated,8,1,Product,0,0,SOP-18
TK00173,AC0087,A019,2025-09-20 09:00:00,2025-09-21 08:48:37.422644423,How-to,Resolved,32,0,None,0,0,SOP-07
TK00174,AC0016,A023,2025-09-20 13:00:00,2025-09-20 17:13:43.727058187,Technical,Resolved,93,0,None,0,0,None
TK00175,AC0140,A038,2025-09-20 14:00:00,2025-09-20 18:39:34.306659658,Account,Resolved,114,0,None,0,0,SOP-07
TK00176,AC0058,A014,2025-09-20 17:00:00,2025-09-21 02:27:15.570368790,Account,Resolved,13,0,None,0,0,SOP-23
TK00177,AC0009,A021,2025-09-20 20:00:00,2025-09-20 21:53:34.444623539,How-to,Resolved,36,0,None,0,0,SOP-23
TK00178,AC0134,A016,2025-09-21 16:00:00,2025-09-22 12:14:37.155339156,Bug,Resolved,3,0,None,1,0,None
TK00179,AC0138,A009,2025-09-21 20:00:00,2025-09-22 13:08:52.320089620,Account,Resolved,34,0,None,0,0,SOP-18
TK00180,AC0117,A003,2025-09-21 16:00:00,2025-09-22 13:13:47.014368176,How-to,Resolved,36,0,None,0,0,None
TK00181,AC0141,A022,2025-09-21 20:00:00,2025-09-22 09:45:29.836295746,How-to,Resolved,6,0,None,0,0,SOP-23
TK00182,AC0047,A018,2025-09-22 10:00:00,2025-09-22 15:37:03.704030100,How-to,Resolved,32,0,None,0,0,None
TK00183,AC0088,A002,2025-09-22 12:00:00,,Integration,Unresolved,27,0,None,0,1,SOP-18
TK00184,AC0024,A003,2025-09-22 11:00:00,,Technical,Waiting Internally,34,1,Billing,0,0,None
TK00185,AC0127,A017,2025-09-22 10:00:00,2025-09-22 22:39:54.497108093,Billing,Resolved,41,0,None,0,0,SOP-23
TK00186,AC0090,A021,2025-09-22 16:00:00,2025-09-23 02:12:52.398315072,Technical,Resolved,49,0,None,0,0,SOP-12
TK00187,AC0113,A019,2025-09-22 10:00:00,2025-09-23 01:52:28.829049744,Billing,Resolved,15,0,None,0,0,None
TK00188,AC0126,A001,2025-09-23 20:00:00,2025-09-24 10:36:32.116114315,Feature Request,Resolved,27,0,None,0,1,SOP-07
TK00189,AC0025,A030,2025-09-23 15:00:00,2025-09-24 03:02:47.296079763,Billing,Resolved,2,0,None,0,0,SOP-23
TK00190,AC0064,A011,2025-09-23 19:00:00,2025-09-24 17:55:13.817303941,Technical,Resolved,16,0,None,0,0,None
TK00191,AC0107,A015,2025-09-23 19:00:00,2025-09-24 04:26:15.827239202,Technical,Resolved,9,0,None,0,0,None
TK00192,AC0019,A034,2025-09-23 09:00:00,,Billing,Partially Resolved,26,0,None,0,0,SOP-18
TK00193,AC0058,A006,2025-09-23 12:00:00,2025-09-24 08:22:27.472536354,Technical,Resolved,3,0,None,0,0,None
TK00194,AC0140,A037,2025-09-23 18:00:00,2025-09-25 17:50:18.884478013,Bug,Resolved,24,0,None,0,0,SOP-23
TK00195,AC0129,A004,2025-09-24 15:00:00,2025-09-25 00:56:20.167703448,Integration,Resolved,5,0,None,0,0,SOP-07
TK00196,AC0057,A019,2025-09-24 10:00:00,2025-09-24 20:19:26.954803018,Billing,Resolved,8,0,None,0,0,SOP-18
TK00197,AC0030,A017,2025-09-24 16:00:00,,Bug,Waiting Customer,26,0,None,0,1,None
TK00198,AC0030,A004,2025-09-24 15:00:00,2025-09-25 12:33:16.873266870,Technical,Resolved,13,0,None,0,0,SOP-07
TK00199,AC0047,A027,2025-09-24 15:00:00,2025-09-24 19:26:51.411407618,Bug,Resolved,14,1,Product,0,0,SOP-12
TK00200,AC0133,A036,2025-09-24 15:00:00,2025-09-26 11:52:14.308676483,How-to,Resolved,13,0,None,0,0,SOP-18
TK00201,AC0024,A019,2025-09-24 14:00:00,,How-to,Unresolved,47,0,None,0,0,SOP-12
TK00202,AC0047,A029,2025-09-24 09:00:00,,Account,Waiting Internally,65,1,Product,0,0,SOP-23
TK00203,AC0061,A006,2025-09-25 14:00:00,,Bug,Waiting Customer,46,0,None,0,1,None
TK00204,AC0016,A005,2025-09-25 15:00:00,2025-09-26 06:39:58.309790391,Billing,Resolved,37,0,None,0,0,SOP-12
TK00205,AC0059,A007,2025-09-25 12:00:00,2025-09-26 23:31:10.084138881,Bug,Resolved,15,1,Technical,0,0,None
TK00206,AC0132,A011,2025-09-25 10:00:00,2025-09-25 16:17:59.175152402,Billing,Resolved,42,0,None,0,0,None
TK00207,AC0140,A035,2025-09-25 09:00:00,2025-09-26 13:36:42.763207961,Billing,Resolved,7,0,None,0,0,SOP-18
TK00208,AC0123,A025,2025-09-25 20:00:00,2025-09-26 09:49:10.663350037,Technical,Resolved,31,0,None,0,0,None
TK00209,AC0057,A006,2025-09-25 10:00:00,2025-09-26 07:05:06.461160136,Technical,Resolved,34,0,None,1,0,SOP-12
TK00210,AC0008,A005,2025-09-25 09:00:00,2025-09-25 23:52:41.391553764,Bug,Resolved,32,0,None,0,0,None
TK00211,AC0087,A024,2025-09-25 20:00:00,,How-to,Waiting Customer,56,0,None,0,0,None
TK00212,AC0143,A034,2025-09-25 10:00:00,,How-to,Waiting Internally,28,1,Operations,1,0,SOP-18
TK00213,AC0040,A035,2025-09-26 16:00:00,2025-09-27 11:17:11.306072557,Integration,Resolved,4,0,None,1,0,None
TK00214,AC0140,A016,2025-09-26 08:00:00,2025-09-27 03:28:08.241522300,Bug,Resolved,74,0,None,1,0,None
TK00215,AC0007,A003,2025-09-26 12:00:00,,Technical,Escalated,157,1,Technical,0,0,SOP-18
TK00216,AC0150,A020,2025-09-26 09:00:00,2025-09-27 14:12:43.064296553,Integration,Resolved,7,0,None,0,0,SOP-07
