usage_id,account_id,week_start,weekly_logins,active_users,seat_utilization,feature_adoption
PU-AC0001-2026-04-20,AC0001,2026-04-20,23,6,0.799,0.522
PU-AC0001-2026-04-27,AC0001,2026-04-27,24,6,0.715,0.348
PU-AC0001-2026-05-04,AC0001,2026-05-04,23,7,0.727,0.966
PU-AC0001-2026-05-11,AC0001,2026-05-11,21,7,1.0,0.813
PU-AC0001-2026-05-18,AC0001,2026-05-18,25,7,0.862,0.687
PU-AC0001-2026-05-25,AC0001,2026-05-25,22,6,0.759,0.422
PU-AC0001-2026-06-01,AC0001,2026-06-01,21,7,0.688,0.583
PU-AC0001-2026-06-08,AC0001,2026-06-08,23,6,0.908,0.562
PU-AC0001-2026-06-15,AC0001,2026-06-15,24,6,0.68,0.579
PU-AC0001-2026-06-22,AC0001,2026-06-22,22,8,0.669,0.479
PU-AC0001-2026-06-29,AC0001,2026-06-29,21,6,0.53,0.824
PU-AC0001-2026-07-06,AC0001,2026-07-06,21,8,0.799,0.521
PU-AC0001-2026-07-13,AC0001,2026-07-13,23,7,0.533,0.278
PU-AC0001-2026-07-20,AC0001,2026-07-20,22,6,0.813,0.615
PU-AC0001-2026-07-27,AC0001,2026-07-27,23,7,0.845,0.549
PU-AC0001-2026-08-03,AC0001,2026-08-03,21,6,0.634,0.698
PU-AC0001-2026-08-10,AC0001,2026-08-10,22,7,0.853,0.663
PU-AC0001-2026-08-17,AC0001,2026-08-17,20,6,0.738,0.527
PU-AC0001-2026-08-24,AC0001,2026-08-24,20,7,0.652,0.787
PU-AC0002-2025-09-01,AC0002,2025-09-01,26,8,0.673,0.775
PU-AC0002-2025-09-08,AC0002,2025-09-08,23,8,0.536,0.98
PU-AC0002-2025-09-15,AC0002,2025-09-15,26,7,0.718,0.566
PU-AC0002-2025-09-22,AC0002,2025-09-22,24,9,0.782,0.602
PU-AC0002-2025-09-29,AC0002,2025-09-29,26,9,0.735,0.799
PU-AC0002-2025-10-06,AC0002,2025-10-06,21,7,0.723,0.457
PU-AC0002-2025-10-13,AC0002,2025-10-13,22,8,0.841,0.659
PU-AC0002-2025-10-20,AC0002,2025-10-20,25,9,0.87,0.695
PU-AC0002-2025-10-27,AC0002,2025-10-27,24,8,0.593,0.67
PU-AC0002-2025-11-03,AC0002,2025-11-03,23,9,0.76,0.753
PU-AC0002-2025-11-10,AC0002,2025-11-10,25,8,0.751,0.771
PU-AC0002-2025-11-17,AC0002,2025-11-17,23,8,0.862,0.553
PU-AC0002-2025-11-24,AC0002,2025-11-24,25,7,0.677,0.662
PU-AC0002-2025-12-01,AC0002,2025-12-01,23,9,0.56,0.624
PU-AC0002-2025-12-08,AC0002,2025-12-08,27,9,0.386,0.537
PU-AC0002-2025-12-15,AC0002,2025-12-15,26,7,0.6,0.881
PU-AC0002-2025-12-22,AC0002,2025-12-22,26,9,0.858,0.815
PU-AC0002-2025-12-29,AC0002,2025-12-29,24,8,0.702,0.552
PU-AC0002-2026-01-05,AC0002,2026-01-05,27,7,0.717,0.585
PU-AC0002-2026-01-12,AC0002,2026-01-12,23,7,0.611,0.75
PU-AC0002-2026-01-19,AC0002,2026-01-19,24,8,0.996,0.598
PU-AC0002-2026-01-26,AC0002,2026-01-26,26,9,0.497,0.511
PU-AC0002-2026-02-02,AC0002,2026-02-02,24,7,0.693,0.611
PU-AC0002-2026-02-09,AC0002,2026-02-09,26,9,0.81,0.835
PU-AC0002-2026-02-16,AC0002,2026-02-16,24,9,0.787,0.634
PU-AC0002-2026-02-23,AC0002,2026-02-23,22,7,0.572,0.659
PU-AC0002-2026-03-02,AC0002,2026-03-02,24,9,0.748,0.689
PU-AC0002-2026-03-09,AC0002,2026-03-09,22,8,0.568,0.467
PU-AC0002-2026-03-16,AC0002,2026-03-16,26,8,0.635,0.536
PU-AC0002-2026-03-23,AC0002,2026-03-23,24,7,0.838,0.563
PU-AC0002-2026-03-30,AC0002,2026-03-30,24,7,0.954,0.807
PU-AC0002-2026-04-06,AC0002,2026-04-06,25,9,0.725,0.641
PU-AC0002-2026-04-13,AC0002,2026-04-13,24,8,0.808,0.659
PU-AC0002-2026-04-20,AC0002,2026-04-20,23,7,0.57,0.979
PU-AC0002-2026-04-27,AC0002,2026-04-27,23,9,0.677,0.615
PU-AC0002-2026-05-04,AC0002,2026-05-04,24,8,0.799,0.743
PU-AC0002-2026-05-11,AC0002,2026-05-11,24,8,0.64,0.815
PU-AC0002-2026-05-18,AC0002,2026-05-18,26,8,0.617,0.98
PU-AC0002-2026-05-25,AC0002,2026-05-25,24,8,0.842,0.828
PU-AC0002-2026-06-01,AC0002,2026-06-01,21,9,0.965,0.703
PU-AC0002-2026-06-08,AC0002,2026-06-08,24,8,0.926,0.612
PU-AC0002-2026-06-15,AC0002,2026-06-15,25,8,0.667,0.486
PU-AC0002-2026-06-22,AC0002,2026-06-22,28,7,0.642,0.535
PU-AC0002-2026-06-29,AC0002,2026-06-29,24,8,0.929,0.662
PU-AC0002-2026-07-06,AC0002,2026-07-06,24,7,0.704,0.699
PU-AC0002-2026-07-13,AC0002,2026-07-13,25,8,0.775,0.608
PU-AC0002-2026-07-20,AC0002,2026-07-20,23,9,0.687,0.556
PU-AC0002-2026-07-27,AC0002,2026-07-27,25,8,0.82,0.667
PU-AC0002-2026-08-03,AC0002,2026-08-03,24,9,0.641,0.72
PU-AC0002-2026-08-10,AC0002,2026-08-10,23,7,0.705,0.575
PU-AC0002-2026-08-17,AC0002,2026-08-17,25,8,0.781,0.653
PU-AC0002-2026-08-24,AC0002,2026-08-24,22,8,0.516,0.663
PU-AC0003-2025-09-01,AC0003,2025-09-01,62,21,0.64,0.623
PU-AC0003-2025-09-08,AC0003,2025-09-08,59,19,0.698,0.411
PU-AC0003-2025-09-15,AC0003,2025-09-15,55,22,0.697,0.522
PU-AC0003-2025-09-22,AC0003,2025-09-22,58,18,0.725,0.558
PU-AC0003-2025-09-29,AC0003,2025-09-29,58,20,0.724,0.711
PU-AC0003-2025-10-06,AC0003,2025-10-06,62,22,0.739,0.865
PU-AC0003-2025-10-13,AC0003,2025-10-13,54,17,0.786,0.58
PU-AC0003-2025-10-20,AC0003,2025-10-20,52,18,0.609,0.717
PU-AC0003-2025-10-27,AC0003,2025-10-27,58,16,0.709,0.57
PU-AC0003-2025-11-03,AC0003,2025-11-03,57,22,0.623,0.752
PU-AC0003-2025-11-10,AC0003,2025-11-10,57,17,0.493,0.611
PU-AC0003-2025-11-17,AC0003,2025-11-17,56,18,0.714,0.597
PU-AC0003-2025-11-24,AC0003,2025-11-24,54,17,0.853,0.74
PU-AC0003-2025-12-01,AC0003,2025-12-01,57,17,0.779,0.562
PU-AC0003-2025-12-08,AC0003,2025-12-08,54,17,0.942,0.903
PU-AC0003-2025-12-15,AC0003,2025-12-15,53,20,0.645,0.618
PU-AC0003-2025-12-22,AC0003,2025-12-22,54,21,0.855,0.625
PU-AC0003-2025-12-29,AC0003,2025-12-29,51,22,0.876,0.654
PU-AC0003-2026-01-05,AC0003,2026-01-05,58,21,0.661,0.577
PU-AC0003-2026-01-12,AC0003,2026-01-12,54,22,0.772,0.672
PU-AC0003-2026-01-19,AC0003,2026-01-19,54,18,0.906,0.791
PU-AC0003-2026-01-26,AC0003,2026-01-26,52,21,0.762,0.603
PU-AC0003-2026-02-02,AC0003,2026-02-02,57,19,0.926,0.482
PU-AC0003-2026-02-09,AC0003,2026-02-09,56,18,0.915,0.317
PU-AC0003-2026-02-16,AC0003,2026-02-16,57,22,0.689,0.619
PU-AC0003-2026-02-23,AC0003,2026-02-23,51,16,0.917,0.835
PU-AC0003-2026-03-02,AC0003,2026-03-02,56,18,0.53,0.698
PU-AC0003-2026-03-09,AC0003,2026-03-09,52,18,0.546,0.895
PU-AC0003-2026-03-16,AC0003,2026-03-16,62,19,0.674,0.798
PU-AC0003-2026-03-23,AC0003,2026-03-23,57,22,0.751,0.701
PU-AC0003-2026-03-30,AC0003,2026-03-30,53,17,0.772,0.598
PU-AC0003-2026-04-06,AC0003,2026-04-06,55,19,0.647,0.491
PU-AC0003-2026-04-13,AC0003,2026-04-13,55,22,0.626,0.46
PU-AC0003-2026-04-20,AC0003,2026-04-20,51,22,0.796,0.513
PU-AC0003-2026-04-27,AC0003,2026-04-27,56,17,0.736,0.667
PU-AC0003-2026-05-04,AC0003,2026-05-04,58,20,0.536,0.752
PU-AC0003-2026-05-11,AC0003,2026-05-11,59,20,0.787,0.915
PU-AC0003-2026-05-18,AC0003,2026-05-18,54,20,0.882,0.7
PU-AC0003-2026-05-25,AC0003,2026-05-25,53,17,0.717,0.859
PU-AC0003-2026-06-01,AC0003,2026-06-01,53,20,0.684,0.921
PU-AC0003-2026-06-08,AC0003,2026-06-08,50,19,0.847,0.714
PU-AC0003-2026-06-15,AC0003,2026-06-15,56,19,0.781,0.38
PU-AC0003-2026-06-22,AC0003,2026-06-22,52,19,0.718,0.586
PU-AC0003-2026-06-29,AC0003,2026-06-29,50,18,0.68,0.686
PU-AC0003-2026-07-06,AC0003,2026-07-06,55,21,0.78,0.82
PU-AC0003-2026-07-13,AC0003,2026-07-13,58,21,1.0,0.685
PU-AC0003-2026-07-20,AC0003,2026-07-20,64,17,0.769,0.844
PU-AC0003-2026-07-27,AC0003,2026-07-27,50,20,0.792,0.787
PU-AC0003-2026-08-03,AC0003,2026-08-03,51,19,0.534,0.576
PU-AC0003-2026-08-10,AC0003,2026-08-10,57,21,0.919,0.44
PU-AC0003-2026-08-17,AC0003,2026-08-17,50,19,0.893,0.549
PU-AC0003-2026-08-24,AC0003,2026-08-24,55,19,0.696,0.53
PU-AC0004-2025-09-01,AC0004,2025-09-01,96,48,0.753,0.526
PU-AC0004-2025-09-08,AC0004,2025-09-08,90,51,0.722,0.628
PU-AC0004-2025-09-15,AC0004,2025-09-15,90,43,0.906,0.696
PU-AC0004-2025-09-22,AC0004,2025-09-22,98,45,0.649,0.386
PU-AC0004-2025-09-29,AC0004,2025-09-29,94,46,0.771,0.716
PU-AC0004-2025-10-06,AC0004,2025-10-06,100,43,0.564,0.443
PU-AC0004-2025-10-13,AC0004,2025-10-13,90,47,0.865,0.732
PU-AC0004-2025-10-20,AC0004,2025-10-20,106,46,0.741,0.782
PU-AC0004-2025-10-27,AC0004,2025-10-27,97,53,0.725,0.598
PU-AC0004-2025-11-03,AC0004,2025-11-03,97,40,0.572,0.722
PU-AC0004-2025-11-10,AC0004,2025-11-10,101,49,0.613,0.577
PU-AC0004-2025-11-17,AC0004,2025-11-17,85,49,0.728,0.692
PU-AC0004-2025-11-24,AC0004,2025-11-24,101,44,0.519,0.501
PU-AC0004-2025-12-01,AC0004,2025-12-01,100,41,0.632,0.706
PU-AC0004-2025-12-08,AC0004,2025-12-08,103,41,0.623,0.745
PU-AC0004-2025-12-15,AC0004,2025-12-15,92,53,0.708,0.637
PU-AC0004-2025-12-22,AC0004,2025-12-22,104,51,0.658,0.588
PU-AC0004-2025-12-29,AC0004,2025-12-29,101,50,0.742,0.738
PU-AC0004-2026-01-05,AC0004,2026-01-05,105,44,0.938,0.685
PU-AC0004-2026-01-12,AC0004,2026-01-12,93,44,0.68,0.667
PU-AC0004-2026-01-19,AC0004,2026-01-19,96,48,0.681,0.757
PU-AC0004-2026-01-26,AC0004,2026-01-26,99,52,0.815,0.589
PU-AC0004-2026-02-02,AC0004,2026-02-02,91,48,0.612,0.784
PU-AC0004-2026-02-09,AC0004,2026-02-09,91,48,0.478,0.779
PU-AC0004-2026-02-16,AC0004,2026-02-16,113,47,0.853,0.601
PU-AC0004-2026-02-23,AC0004,2026-02-23,100,48,0.774,0.504
PU-AC0004-2026-03-02,AC0004,2026-03-02,100,47,0.914,0.428
PU-AC0004-2026-03-09,AC0004,2026-03-09,101,46,0.843,0.356
PU-AC0004-2026-03-16,AC0004,2026-03-16,105,47,0.838,0.605
PU-AC0004-2026-03-23,AC0004,2026-03-23,107,52,0.578,0.839
PU-AC0004-2026-03-30,AC0004,2026-03-30,99,42,0.551,0.691
PU-AC0004-2026-04-06,AC0004,2026-04-06,93,47,0.783,0.667
PU-AC0004-2026-04-13,AC0004,2026-04-13,115,41,0.837,0.547
PU-AC0004-2026-04-20,AC0004,2026-04-20,109,53,0.731,0.811
PU-AC0004-2026-04-27,AC0004,2026-04-27,97,43,0.782,0.566
PU-AC0004-2026-05-04,AC0004,2026-05-04,103,52,0.621,0.62
PU-AC0004-2026-05-11,AC0004,2026-05-11,97,47,0.858,0.672
PU-AC0004-2026-05-18,AC0004,2026-05-18,113,48,0.79,0.791
PU-AC0004-2026-05-25,AC0004,2026-05-25,97,52,0.59,0.681
PU-AC0004-2026-06-01,AC0004,2026-06-01,109,43,0.848,0.521
PU-AC0004-2026-06-08,AC0004,2026-06-08,102,51,0.827,0.566
PU-AC0004-2026-06-15,AC0004,2026-06-15,102,45,0.666,0.564
PU-AC0004-2026-06-22,AC0004,2026-06-22,99,47,0.851,0.569
PU-AC0004-2026-06-29,AC0004,2026-06-29,94,43,0.787,0.485
PU-AC0004-2026-07-06,AC0004,2026-07-06,104,40,0.558,0.583
PU-AC0004-2026-07-13,AC0004,2026-07-13,96,48,0.646,0.887
PU-AC0004-2026-07-20,AC0004,2026-07-20,110,39,0.67,0.776
PU-AC0004-2026-07-27,AC0004,2026-07-27,97,48,0.802,0.604
PU-AC0004-2026-08-03,AC0004,2026-08-03,95,48,0.824,0.428
PU-AC0004-2026-08-10,AC0004,2026-08-10,109,44,0.859,0.438
PU-AC0004-2026-08-17,AC0004,2026-08-17,107,49,0.694,0.666
PU-AC0004-2026-08-24,AC0004,2026-08-24,96,43,0.923,0.753
PU-AC0005-2025-09-01,AC0005,2025-09-01,19,8,0.56,0.386
PU-AC0005-2025-09-08,AC0005,2025-09-08,20,8,0.877,0.73
PU-AC0005-2025-09-15,AC0005,2025-09-15,20,7,0.577,0.336
PU-AC0005-2025-09-22,AC0005,2025-09-22,20,6,0.824,0.739
PU-AC0005-2025-09-29,AC0005,2025-09-29,21,6,0.581,0.746
PU-AC0005-2025-10-06,AC0005,2025-10-06,20,8,0.739,0.961
PU-AC0005-2025-10-13,AC0005,2025-10-13,20,7,0.671,0.44
PU-AC0005-2025-10-20,AC0005,2025-10-20,19,7,0.877,0.645
PU-AC0005-2025-10-27,AC0005,2025-10-27,21,8,0.708,0.698
PU-AC0005-2025-11-03,AC0005,2025-11-03,20,8,0.481,0.798
PU-AC0005-2025-11-10,AC0005,2025-11-10,17,7,0.723,0.832
PU-AC0005-2025-11-17,AC0005,2025-11-17,22,7,0.636,0.696
PU-AC0005-2025-11-24,AC0005,2025-11-24,21,7,0.657,0.733
PU-AC0005-2025-12-01,AC0005,2025-12-01,21,8,0.484,0.612
PU-AC0005-2025-12-08,AC0005,2025-12-08,19,8,0.756,0.573
PU-AC0005-2025-12-15,AC0005,2025-12-15,22,8,0.781,0.77
PU-AC0005-2025-12-22,AC0005,2025-12-22,20,7,0.594,0.626
PU-AC0005-2025-12-29,AC0005,2025-12-29,20,8,0.749,0.514
PU-AC0005-2026-01-05,AC0005,2026-01-05,21,6,0.665,0.646
PU-AC0005-2026-01-12,AC0005,2026-01-12,20,7,0.857,0.378
PU-AC0005-2026-01-19,AC0005,2026-01-19,20,7,0.648,0.724
PU-AC0005-2026-01-26,AC0005,2026-01-26,22,7,0.572,0.606
PU-AC0005-2026-02-02,AC0005,2026-02-02,19,8,0.653,0.838
PU-AC0005-2026-02-09,AC0005,2026-02-09,22,7,0.632,0.549
PU-AC0005-2026-02-16,AC0005,2026-02-16,21,8,0.597,0.754
PU-AC0005-2026-02-23,AC0005,2026-02-23,21,7,0.567,0.815
PU-AC0005-2026-03-02,AC0005,2026-03-02,18,7,1.0,0.694
PU-AC0005-2026-03-09,AC0005,2026-03-09,20,7,0.692,0.504
PU-AC0005-2026-03-16,AC0005,2026-03-16,21,8,0.884,0.699
PU-AC0005-2026-03-23,AC0005,2026-03-23,19,7,0.77,0.78
PU-AC0005-2026-03-30,AC0005,2026-03-30,20,7,0.668,0.639
PU-AC0005-2026-04-06,AC0005,2026-04-06,23,7,0.673,0.712
PU-AC0005-2026-04-13,AC0005,2026-04-13,22,8,0.784,0.6
PU-AC0005-2026-04-20,AC0005,2026-04-20,22,8,0.776,0.662
PU-AC0005-2026-04-27,AC0005,2026-04-27,21,7,0.7,0.716
PU-AC0005-2026-05-04,AC0005,2026-05-04,21,7,0.606,0.359
PU-AC0005-2026-05-11,AC0005,2026-05-11,21,7,0.689,0.636
PU-AC0005-2026-05-18,AC0005,2026-05-18,21,6,0.851,0.715
PU-AC0005-2026-05-25,AC0005,2026-05-25,17,7,0.742,0.5
PU-AC0005-2026-06-01,AC0005,2026-06-01,18,7,0.624,0.621
PU-AC0005-2026-06-08,AC0005,2026-06-08,22,8,0.724,0.528
PU-AC0005-2026-06-15,AC0005,2026-06-15,19,6,0.717,0.715
PU-AC0005-2026-06-22,AC0005,2026-06-22,20,6,0.802,0.509
PU-AC0005-2026-06-29,AC0005,2026-06-29,20,7,0.725,0.748
PU-AC0005-2026-07-06,AC0005,2026-07-06,19,6,0.764,0.67
PU-AC0005-2026-07-13,AC0005,2026-07-13,19,6,0.823,0.363
PU-AC0005-2026-07-20,AC0005,2026-07-20,19,7,0.676,0.667
PU-AC0005-2026-07-27,AC0005,2026-07-27,21,7,0.575,0.788
PU-AC0005-2026-08-03,AC0005,2026-08-03,20,7,0.786,0.479
PU-AC0005-2026-08-10,AC0005,2026-08-10,21,8,0.765,0.848
PU-AC0005-2026-08-17,AC0005,2026-08-17,22,7,0.624,0.865
PU-AC0005-2026-08-24,AC0005,2026-08-24,21,6,0.648,0.676
PU-AC0006-2025-09-01,AC0006,2025-09-01,68,19,0.607,0.744
PU-AC0006-2025-09-08,AC0006,2025-09-08,73,20,0.74,0.529
PU-AC0006-2025-09-15,AC0006,2025-09-15,69,17,0.842,0.812
PU-AC0006-2025-09-22,AC0006,2025-09-22,71,21,0.677,0.719
PU-AC0006-2025-09-29,AC0006,2025-09-29,71,20,0.696,0.783
PU-AC0006-2025-10-06,AC0006,2025-10-06,66,21,0.905,0.763
PU-AC0006-2025-10-13,AC0006,2025-10-13,73,20,0.454,0.67
PU-AC0006-2025-10-20,AC0006,2025-10-20,71,21,0.813,0.786
PU-AC0006-2025-10-27,AC0006,2025-10-27,73,19,0.777,0.501
PU-AC0006-2025-11-03,AC0006,2025-11-03,70,19,0.865,0.72
PU-AC0006-2025-11-10,AC0006,2025-11-10,68,20,0.677,0.586
PU-AC0006-2025-11-17,AC0006,2025-11-17,65,19,0.723,0.78
PU-AC0006-2025-11-24,AC0006,2025-11-24,68,18,0.756,0.608
PU-AC0006-2025-12-01,AC0006,2025-12-01,70,19,0.913,0.843
PU-AC0006-2025-12-08,AC0006,2025-12-08,66,21,0.766,0.712
PU-AC0006-2025-12-15,AC0006,2025-12-15,68,20,0.611,0.601
PU-AC0006-2025-12-22,AC0006,2025-12-22,66,19,0.814,0.741
PU-AC0006-2025-12-29,AC0006,2025-12-29,74,18,0.775,0.499
PU-AC0006-2026-01-05,AC0006,2026-01-05,64,20,0.718,0.679
PU-AC0006-2026-01-12,AC0006,2026-01-12,64,22,0.781,0.529
PU-AC0006-2026-01-19,AC0006,2026-01-19,77,21,0.921,0.564
PU-AC0006-2026-01-26,AC0006,2026-01-26,64,19,0.394,0.536
PU-AC0006-2026-02-02,AC0006,2026-02-02,71,20,0.76,0.653
PU-AC0006-2026-02-09,AC0006,2026-02-09,70,16,0.687,0.51
PU-AC0006-2026-02-16,AC0006,2026-02-16,70,16,0.818,0.755
PU-AC0006-2026-02-23,AC0006,2026-02-23,67,22,0.592,0.388
PU-AC0006-2026-03-02,AC0006,2026-03-02,68,17,0.806,0.777
PU-AC0006-2026-03-09,AC0006,2026-03-09,78,18,0.849,0.545
PU-AC0006-2026-03-16,AC0006,2026-03-16,69,21,0.692,0.502
PU-AC0006-2026-03-23,AC0006,2026-03-23,70,22,0.859,0.591
PU-AC0006-2026-03-30,AC0006,2026-03-30,72,19,0.871,0.531
PU-AC0006-2026-04-06,AC0006,2026-04-06,72,18,0.757,0.623
PU-AC0006-2026-04-13,AC0006,2026-04-13,66,20,0.7,0.689
PU-AC0006-2026-04-20,AC0006,2026-04-20,70,18,0.841,0.343
PU-AC0006-2026-04-27,AC0006,2026-04-27,71,20,0.892,0.712
PU-AC0006-2026-05-04,AC0006,2026-05-04,68,19,0.769,0.525
PU-AC0006-2026-05-11,AC0006,2026-05-11,69,22,0.703,0.852
PU-AC0006-2026-05-18,AC0006,2026-05-18,69,18,0.684,0.669
PU-AC0006-2026-05-25,AC0006,2026-05-25,70,21,0.717,0.363
PU-AC0006-2026-06-01,AC0006,2026-06-01,70,22,0.91,0.676
PU-AC0006-2026-06-08,AC0006,2026-06-08,71,17,0.62,0.846
PU-AC0006-2026-06-15,AC0006,2026-06-15,71,20,0.613,0.655
PU-AC0006-2026-06-22,AC0006,2026-06-22,64,19,0.609,0.573
PU-AC0006-2026-06-29,AC0006,2026-06-29,75,19,0.622,0.613
PU-AC0006-2026-07-06,AC0006,2026-07-06,64,18,0.688,0.607
PU-AC0006-2026-07-13,AC0006,2026-07-13,67,21,0.607,0.494
PU-AC0006-2026-07-20,AC0006,2026-07-20,65,22,0.784,0.281
PU-AC0006-2026-07-27,AC0006,2026-07-27,74,20,0.766,0.495
PU-AC0006-2026-08-03,AC0006,2026-08-03,73,17,0.687,0.971
PU-AC0006-2026-08-10,AC0006,2026-08-10,71,17,0.883,0.537
PU-AC0006-2026-08-17,AC0006,2026-08-17,68,21,0.833,0.684
PU-AC0006-2026-08-24,AC0006,2026-08-24,68,18,0.719,0.679
PU-AC0007-2025-09-01,AC0007,2025-09-01,19,7,0.627,0.572
PU-AC0007-2025-09-08,AC0007,2025-09-08,17,10,0.569,0.509
PU-AC0007-2025-09-15,AC0007,2025-09-15,19,8,0.808,0.736
PU-AC0007-2025-09-22,AC0007,2025-09-22,18,9,0.525,0.661
PU-AC0007-2025-09-29,AC0007,2025-09-29,18,9,0.917,0.538
PU-AC0007-2025-10-06,AC0007,2025-10-06,20,9,0.953,0.429
PU-AC0007-2025-10-13,AC0007,2025-10-13,20,9,0.794,0.576
PU-AC0007-2025-10-20,AC0007,2025-10-20,19,8,0.776,0.509
PU-AC0007-2025-10-27,AC0007,2025-10-27,19,9,0.649,0.563
PU-AC0007-2025-11-03,AC0007,2025-11-03,17,7,0.66,0.828
PU-AC0007-2025-11-10,AC0007,2025-11-10,19,8,0.746,0.677
PU-AC0007-2025-11-17,AC0007,2025-11-17,20,9,0.533,0.454
PU-AC0007-2025-11-24,AC0007,2025-11-24,18,7,0.561,0.81
PU-AC0007-2025-12-01,AC0007,2025-12-01,18,8,0.714,0.601
PU-AC0007-2025-12-08,AC0007,2025-12-08,19,10,0.636,0.71
PU-AC0007-2025-12-15,AC0007,2025-12-15,20,9,0.725,0.66
PU-AC0007-2025-12-22,AC0007,2025-12-22,21,8,0.833,0.539
PU-AC0007-2025-12-29,AC0007,2025-12-29,21,8,0.516,0.709
PU-AC0007-2026-01-05,AC0007,2026-01-05,20,9,0.614,0.594
PU-AC0007-2026-01-12,AC0007,2026-01-12,20,8,0.869,0.655
PU-AC0007-2026-01-19,AC0007,2026-01-19,18,8,0.517,0.686
PU-AC0007-2026-01-26,AC0007,2026-01-26,20,9,0.623,0.547
PU-AC0007-2026-02-02,AC0007,2026-02-02,21,8,0.71,0.494
PU-AC0007-2026-02-09,AC0007,2026-02-09,19,8,0.678,0.594
PU-AC0007-2026-02-16,AC0007,2026-02-16,19,9,0.796,0.822
PU-AC0007-2026-02-23,AC0007,2026-02-23,20,7,0.807,0.552
PU-AC0007-2026-03-02,AC0007,2026-03-02,19,10,0.51,0.559
PU-AC0007-2026-03-09,AC0007,2026-03-09,17,9,0.817,0.667
PU-AC0007-2026-03-16,AC0007,2026-03-16,19,8,0.529,0.939
PU-AC0007-2026-03-23,AC0007,2026-03-23,18,8,0.565,0.298
PU-AC0007-2026-03-30,AC0007,2026-03-30,20,9,1.0,0.577
PU-AC0007-2026-04-06,AC0007,2026-04-06,20,8,0.546,0.599
PU-AC0007-2026-04-13,AC0007,2026-04-13,18,8,0.706,0.564
PU-AC0007-2026-04-20,AC0007,2026-04-20,20,9,0.845,0.651
PU-AC0007-2026-04-27,AC0007,2026-04-27,18,9,0.728,0.632
PU-AC0007-2026-05-04,AC0007,2026-05-04,18,10,0.676,0.494
PU-AC0007-2026-05-11,AC0007,2026-05-11,20,9,0.762,0.749
PU-AC0007-2026-05-18,AC0007,2026-05-18,17,8,0.803,0.695
PU-AC0007-2026-05-25,AC0007,2026-05-25,18,9,0.789,0.716
PU-AC0007-2026-06-01,AC0007,2026-06-01,20,7,0.856,0.926
PU-AC0007-2026-06-08,AC0007,2026-06-08,19,8,0.823,0.572
PU-AC0007-2026-06-15,AC0007,2026-06-15,21,9,0.817,0.68
PU-AC0007-2026-06-22,AC0007,2026-06-22,19,7,1.0,0.699
PU-AC0007-2026-06-29,AC0007,2026-06-29,18,9,0.874,0.655
PU-AC0007-2026-07-06,AC0007,2026-07-06,19,8,0.948,0.616
