survey_id,account_id,survey_type,score,comment,survey_date,linked_interaction_id
SV00068,AC0150,CSAT,4,Slow resolution,2026-07-13,TK03102
SV00069,AC0095,CSAT,3,Slow resolution,2026-03-26,TK01975
SV00070,AC0047,CSAT,4,Clear answer,2026-03-19,TK01901
SV00071,AC0061,CSAT,5,,2026-06-27,TK02956
SV00072,AC0023,CSAT,4,,2026-02-23,TK01660
SV00073,AC0065,CSAT,3,Still waiting,2026-06-06,TK02715
SV00074,AC0054,CSAT,4,Clear answer,2026-08-01,TK03273
SV00075,AC0100,CSAT,4,,2025-11-11,TK00692
SV00076,AC0016,CSAT,3,,2025-12-16,TK01033
SV00077,AC0121,CSAT,4,Still waiting,2026-03-06,TK01759
SV00078,AC0117,CSAT,4,Slow resolution,2026-07-15,TK03121
SV00079,AC0061,CSAT,5,Clear answer,2026-05-31,TK02635
SV00080,AC0016,CSAT,4,Slow resolution,2026-05-31,TK02634
SV00081,AC0123,CSAT,4,Great help,2026-06-08,TK02743
SV00082,AC0044,CSAT,5,Slow resolution,2026-07-16,TK03134
SV00083,AC0064,CSAT,5,,2026-01-12,TK01295
SV00084,AC0140,CSAT,5,Helpful but issue remains,2025-10-31,TK00563
SV00085,AC0011,CSAT,5,Slow resolution,2026-01-07,TK01245
SV00086,AC0088,CSAT,4,Still waiting,2025-12-18,TK01063
SV00087,AC0086,CSAT,5,Great help,2026-01-21,TK01364
SV00088,AC0134,CSAT,4,Still waiting,2026-07-09,TK03060
SV00089,AC0132,CSAT,4,Clear answer,2026-03-26,TK01981
SV00090,AC0140,CSAT,2,Clear answer,2025-12-06,TK00944
SV00091,AC0065,CSAT,5,,2026-01-05,TK01229
SV00092,AC0112,CSAT,5,Still waiting,2026-06-08,TK02736
SV00093,AC0141,CSAT,4,Slow resolution,2026-04-23,TK02249
SV00094,AC0088,CSAT,4,Helpful but issue remains,2026-06-04,TK02682
SV00095,AC0051,CSAT,4,,2025-11-21,TK00801
SV00096,AC0101,CSAT,3,Slow resolution,2026-05-11,TK02446
SV00097,AC0017,CSAT,5,Still waiting,2026-05-18,TK02518
SV00098,AC0100,CSAT,4,Still waiting,2025-09-09,TK00076
SV00099,AC0027,CSAT,4,Clear answer,2026-06-15,TK02828
SV00100,AC0137,CSAT,2,,2026-01-05,TK01230
SV00101,AC0132,CSAT,5,Clear answer,2026-08-26,TK03495
SV00102,AC0033,CSAT,3,Slow resolution,2026-06-04,TK02687
SV00103,AC0064,CSAT,3,,2026-08-26,TK03497
SV00104,AC0055,CSAT,5,Great help,2026-08-22,TK03462
SV00105,AC0117,CSAT,4,,2025-09-15,TK00125
SV00106,AC0021,CSAT,5,Still waiting,2026-02-19,TK01633
SV00107,AC0003,CSAT,5,Helpful but issue remains,2025-11-21,TK00803
SV00108,AC0128,CSAT,5,Helpful but issue remains,2026-02-15,TK01600
SV00109,AC0049,CSAT,5,,2026-06-22,TK02899
SV00110,AC0118,CSAT,5,Clear answer,2026-05-08,TK02406
SV00111,AC0117,CSAT,3,Still waiting,2026-07-16,TK03129
SV00112,AC0051,CSAT,2,Still waiting,2026-07-26,TK03220
SV00113,AC0087,CSAT,5,Helpful but issue remains,2026-04-30,TK02335
SV00114,AC0138,CSAT,2,Still waiting,2026-07-01,TK02996
SV00115,AC0004,CSAT,3,Still waiting,2025-10-23,TK00480
SV00116,AC0099,CSAT,5,Helpful but issue remains,2025-10-19,TK00446
SV00117,AC0033,CSAT,5,Clear answer,2026-04-01,TK02052
SV00118,AC0050,CSAT,5,,2026-02-20,TK01645
SV00119,AC0140,CSAT,4,,2025-12-21,TK01097
SV00120,AC0046,CSAT,5,Clear answer,2026-07-27,TK03231
SV00121,AC0015,CSAT,5,Clear answer,2025-11-09,TK00667
SV00122,AC0124,CSAT,4,Great help,2026-06-10,TK02767
SV00123,AC0061,CSAT,5,,2025-11-19,TK00787
SV00124,AC0039,CSAT,4,,2026-02-05,TK01494
SV00125,AC0047,CSAT,4,Slow resolution,2025-09-22,TK00182
SV00126,AC0017,CSAT,3,Great help,2026-01-29,TK01432
SV00127,AC0085,CSAT,4,Helpful but issue remains,2026-03-25,TK01964
SV00128,AC0142,CSAT,3,Slow resolution,2025-10-18,TK00431
SV00129,AC0036,CSAT,4,Still waiting,2026-04-09,TK02112
SV00130,AC0142,CSAT,4,Still waiting,2025-11-26,TK00849
SV00131,AC0064,CSAT,4,Helpful but issue remains,2025-12-14,TK01017
SV00132,AC0029,CSAT,3,Great help,2026-04-13,TK02143
SV00133,AC0126,CSAT,3,Helpful but issue remains,2026-02-07,TK01516
SV00134,AC0019,CSAT,2,Still waiting,2026-04-17,TK02186
SV00135,AC0018,CSAT,4,Great help,2026-04-23,TK02253
SV00136,AC0095,CSAT,5,Still waiting,2026-08-12,TK03382
SV00137,AC0033,CSAT,4,Clear answer,2026-03-02,TK01727
SV00138,AC0046,CSAT,5,Still waiting,2026-08-01,TK03274
SV00139,AC0118,CSAT,4,Helpful but issue remains,2026-08-22,TK03472
SV00140,AC0106,CSAT,4,Clear answer,2026-01-13,TK01304
SV00141,AC0095,CSAT,4,Great help,2026-03-28,TK01996
SV00142,AC0013,CSAT,4,Great help,2026-07-13,TK03098
SV00143,AC0093,CSAT,5,Slow resolution,2025-10-26,TK00503
SV00144,AC0140,CSAT,5,Slow resolution,2026-05-22,TK02556
SV00145,AC0024,CSAT,3,Helpful but issue remains,2025-10-20,TK00451
SV00146,AC0065,CSAT,3,Great help,2026-01-28,TK01430
SV00147,AC0138,CSAT,2,Clear answer,2026-07-30,TK03263
SV00148,AC0140,CSAT,4,Great help,2026-04-15,TK02166
SV00149,AC0102,CSAT,5,Great help,2025-10-28,TK00532
SV00150,AC0040,CSAT,3,Clear answer,2026-08-24,TK03478
SV00151,AC0104,CSAT,5,Slow resolution,2025-10-17,TK00416
SV00152,AC0042,CSAT,3,,2025-11-03,TK00593
SV00153,AC0126,CSAT,4,Great help,2025-09-23,TK00188
SV00154,AC0113,CSAT,1,Great help,2025-10-23,TK00486
SV00155,AC0105,CSAT,3,Great help,2026-03-02,TK01722
SV00156,AC0008,CSAT,5,Clear answer,2026-05-28,TK02610
SV00157,AC0057,CSAT,3,Helpful but issue remains,2026-06-07,TK02731
SV00158,AC0116,CSAT,3,Helpful but issue remains,2026-03-08,TK01781
SV00159,AC0064,CSAT,3,Slow resolution,2026-01-22,TK01375
SV00160,AC0030,CSAT,5,Slow resolution,2026-05-22,TK02550
SV00161,AC0020,CSAT,4,Still waiting,2025-12-06,TK00940
SV00162,AC0020,CSAT,5,Still waiting,2025-09-14,TK00122
SV00163,AC0039,CSAT,2,Helpful but issue remains,2026-07-01,TK03001
SV00164,AC0104,CSAT,5,Slow resolution,2026-02-11,TK01545
SV00165,AC0041,CSAT,5,,2025-11-17,TK00768
SV00166,AC0061,CSAT,5,Still waiting,2026-07-09,TK03069
SV00167,AC0122,CSAT,5,Helpful but issue remains,2026-04-15,TK02171
SV00168,AC0105,CSAT,3,,2026-06-22,TK02907
SV00169,AC0125,CSAT,4,Great help,2026-07-16,TK03128
SV00170,AC0100,CSAT,3,Clear answer,2026-03-28,TK01998
SV00171,AC0134,CSAT,5,Great help,2026-01-21,TK01366
SV00172,AC0008,CSAT,3,Slow resolution,2025-11-30,TK00891
SV00173,AC0030,CSAT,4,Helpful but issue remains,2025-09-24,TK00197
SV00174,AC0150,CSAT,3,Great help,2026-07-11,TK03086
SV00175,AC0080,CSAT,5,Slow resolution,2025-11-16,TK00761
SV00176,AC0062,CSAT,5,,2025-09-04,TK00035
SV00177,AC0113,CSAT,4,Clear answer,2025-09-22,TK00187
SV00178,AC0075,CSAT,5,Clear answer,2025-10-27,TK00515
SV00179,AC0064,CSAT,5,,2025-12-26,TK01135
SV00180,AC0018,CSAT,4,Great help,2026-03-18,TK01887
SV00181,AC0087,CSAT,4,Helpful but issue remains,2025-12-31,TK01181
SV00182,AC0129,CSAT,5,,2025-09-24,TK00195
SV00183,AC0087,CSAT,4,Helpful but issue remains,2026-02-26,TK01692
SV00184,AC0064,CSAT,5,Still waiting,2026-08-04,TK03303
SV00185,AC0095,CSAT,4,Clear answer,2025-11-03,TK00597
SV00186,AC0008,CSAT,5,Great help,2025-10-14,TK00376
SV00187,AC0047,CSAT,4,Slow resolution,2026-06-13,TK02808
SV00188,AC0095,CSAT,4,Great help,2026-03-08,TK01779
SV00189,AC0090,CSAT,3,Clear answer,2026-02-01,TK01464
SV00190,AC0085,CSAT,5,Great help,2026-04-26,TK02286
SV00191,AC0076,CSAT,5,Great help,2026-01-10,TK01272
SV00192,AC0027,CSAT,5,Slow resolution,2025-10-25,TK00499
SV00193,AC0098,CSAT,4,,2025-11-01,TK00572
SV00194,AC0140,CSAT,4,,2025-09-15,TK00126
SV00195,AC0085,CSAT,5,Clear answer,2026-08-22,TK03464
SV00196,AC0058,CSAT,5,Clear answer,2025-11-14,TK00738
SV00197,AC0089,CSAT,4,,2026-04-29,TK02333
SV00198,AC0105,CSAT,4,Clear answer,2026-07-01,TK03000
SV00199,AC0047,CSAT,5,Clear answer,2025-10-09,TK00326
SV00200,AC0102,CSAT,5,Helpful but issue remains,2025-10-19,TK00445
SV00201,AC0030,CSAT,4,Still waiting,2026-02-02,TK01468
SV00202,AC0027,CSAT,5,Slow resolution,2026-04-30,TK02337
SV00203,AC0071,CSAT,5,Helpful but issue remains,2026-04-22,TK02242
SV00204,AC0140,CSAT,5,,2026-08-10,TK03356
SV00205,AC0111,CSAT,4,Helpful but issue remains,2025-10-13,TK00362
SV00206,AC0040,CSAT,4,Still waiting,2025-11-21,TK00804
SV00207,AC0102,CSAT,4,,2025-10-18,TK00421
SV00208,AC0032,CSAT,3,Helpful but issue remains,2025-12-22,TK01105
SV00209,AC0013,CSAT,3,Still waiting,2025-12-03,TK00929
SV00210,AC0027,CSAT,5,Great help,2026-01-05,TK01224
SV00211,AC0100,CSAT,5,Great help,2026-08-03,TK03295
SV00212,AC0087,CSAT,5,Still waiting,2026-04-29,TK02320
SV00213,AC0019,CSAT,4,Helpful but issue remains,2025-12-03,TK00921
SV00214,AC0027,CSAT,5,,2025-12-23,TK01109
SV00215,AC0090,CSAT,4,,2025-11-23,TK00825
SV00216,AC0087,CSAT,1,Still waiting,2026-06-17,TK02850
SV00217,AC0067,CSAT,5,Still waiting,2026-06-12,TK02789
SV00218,AC0137,CSAT,3,Still waiting,2026-05-02,TK02361
SV00219,AC0089,CSAT,4,Clear answer,2026-05-17,TK02512
SV00220,AC0112,CSAT,5,Slow resolution,2026-06-21,TK02886
SV00221,AC0098,CSAT,5,Clear answer,2025-10-27,TK00513
SV00222,AC0128,CSAT,4,Clear answer,2026-07-01,TK02999
SV00223,AC0121,CSAT,3,Slow resolution,2025-10-19,TK00449
SV00224,AC0046,CSAT,4,Slow resolution,2025-11-09,TK00665
SV00225,AC0132,CSAT,5,Clear answer,2026-02-15,TK01599
SV00226,AC0103,CSAT,5,Helpful but issue remains,2026-03-03,TK01741
SV00227,AC0078,CSAT,3,Slow resolution,2025-12-08,TK00960
SV00228,AC0104,CSAT,4,,2025-10-19,TK00450
SV00229,AC0141,CSAT,4,Still waiting,2025-12-25,TK01123
SV00230,AC0039,CSAT,3,Slow resolution,2025-11-25,TK00842
SV00231,AC0008,CSAT,4,Still waiting,2025-11-12,TK00719
SV00232,AC0029,CSAT,4,Great help,2025-10-17,TK00417
SV00233,AC0101,CSAT,5,Clear answer,2026-05-04,TK02375
SV00234,AC0047,CSAT,5,Clear answer,2025-12-03,TK00930
SV00235,AC0117,CSAT,3,Slow resolution,2025-11-14,TK00743
SV00236,AC0111,CSAT,3,Still waiting,2025-11-04,TK00604
SV00237,AC0008,CSAT,5,Clear answer,2026-02-02,TK01471
SV00238,AC0101,CSAT,4,Clear answer,2026-04-16,TK02176
SV00239,AC0117,CSAT,4,Slow resolution,2025-10-31,TK00562
SV00240,AC0045,CSAT,4,Still waiting,2026-01-24,TK01398
SV00241,AC0116,CSAT,4,Helpful but issue remains,2026-01-22,TK01378
SV00242,AC0023,CSAT,5,Still waiting,2026-06-24,TK02923
SV00243,AC0061,CSAT,3,Slow resolution,2026-01-19,TK01352
SV00244,AC0100,CSAT,5,Still waiting,2026-06-09,TK02751
SV00245,AC0116,CSAT,4,,2026-08-11,TK03369
SV00246,AC0004,CSAT,5,Still waiting,2026-06-30,TK02991
SV00247,AC0049,CSAT,3,Slow resolution,2026-06-07,TK02723
SV00248,AC0037,CSAT,4,Helpful but issue remains,2025-11-02,TK00585
SV00249,AC0113,CSAT,4,Still waiting,2026-04-19,TK02202
SV00250,AC0065,CSAT,4,Helpful but issue remains,2026-08-03,TK03298
SV00251,AC0134,CSAT,3,,2025-10-08,TK00319
SV00252,AC0033,CSAT,4,Clear answer,2026-06-25,TK02935
SV00253,AC0075,CSAT,4,Still waiting,2026-06-05,TK02698
SV00254,AC0049,CSAT,3,Helpful but issue remains,2026-03-02,TK01725
SV00255,AC0132,CSAT,3,,2026-05-28,TK02609
SV00256,AC0037,CSAT,4,Helpful but issue remains,2025-10-18,TK00428
SV00257,AC0057,CSAT,5,,2026-02-05,TK01491
SV00258,AC0008,CSAT,5,Slow resolution,2025-12-27,TK01142
SV00259,AC0139,CSAT,5,,2026-06-08,TK02741
SV00260,AC0074,CSAT,4,Helpful but issue remains,2026-03-16,TK01865
SV00261,AC0105,CSAT,3,Great help,2025-11-20,TK00796
SV00262,AC0085,CSAT,3,Great help,2026-07-03,TK03009
SV00263,AC0087,CSAT,2,Slow resolution,2026-03-22,TK01934
SV00264,AC0142,CSAT,4,Clear answer,2026-02-20,TK01636
SV00265,AC0050,CSAT,4,Great help,2026-06-02,TK02656
SV00266,AC0080,CSAT,5,Slow resolution,2026-01-28,TK01426
SV00267,AC0137,CSAT,4,Slow resolution,2026-01-23,TK01381
SV00268,AC0037,CSAT,3,Helpful but issue remains,2025-09-16,TK00132
SV00269,AC0003,CSAT,4,Slow resolution,2026-01-03,TK01209
SV00270,AC0047,CSAT,4,Still waiting,2026-06-18,TK02870
SV00271,AC0006,CSAT,4,,2026-06-23,TK02917
SV00272,AC0049,CSAT,3,Slow resolution,2026-05-19,TK02529
SV00273,AC0017,CSAT,2,Still waiting,2026-03-05,TK01750
SV00274,AC0006,CSAT,5,Slow resolution,2025-12-23,TK01117
SV00275,AC0142,CSAT,2,Helpful but issue remains,2026-04-06,TK02087
SV00276,AC0135,CSAT,2,Helpful but issue remains,2026-05-07,TK02399
SV00277,AC0100,CSAT,3,Slow resolution,2026-01-11,TK01284
SV00278,AC0088,CSAT,5,Helpful but issue remains,2026-06-02,TK02657
SV00279,AC0102,CSAT,4,Great help,2025-11-21,TK00799
SV00280,AC0108,CSAT,4,Helpful but issue remains,2025-11-27,TK00856
SV00281,AC0047,CSAT,2,Great help,2026-02-11,TK01546
SV00282,AC0141,CSAT,5,Helpful but issue remains,2026-06-22,TK02900
SV00283,AC0132,CSAT,3,Great help,2025-12-10,TK00980
SV00284,AC0088,CSAT,3,Still waiting,2025-12-09,TK00972
SV00285,AC0008,CSAT,4,,2025-09-10,TK00080
SV00286,AC0065,CSAT,5,Helpful but issue remains,2025-11-29,TK00884
SV00287,AC0113,CSAT,1,,2026-02-12,TK01559
SV00288,AC0061,CSAT,5,Great help,2026-05-26,TK02580
SV00289,AC0010,CSAT,5,,2025-11-26,TK00853
SV00290,AC0090,CSAT,5,,2026-03-06,TK01760
SV00291,AC0015,CSAT,5,Slow resolution,2026-07-13,TK03099
SV00292,AC0150,CSAT,5,Slow resolution,2026-06-17,TK02857
SV00293,AC0017,CSAT,4,Helpful but issue remains,2026-07-28,TK03247
SV00294,AC0024,CSAT,4,Still waiting,2026-01-26,TK01410
SV00295,AC0113,CSAT,3,Still waiting,2026-04-29,TK02327
SV00296,AC0124,CSAT,5,Clear answer,2026-05-08,TK02409
SV00297,AC0145,CSAT,3,,2025-10-28,TK00540
SV00298,AC0087,CSAT,4,Still waiting,2025-12-13,TK01006
SV00299,AC0008,CSAT,5,Great help,2026-04-15,TK02162
SV00300,AC0008,CSAT,4,,2026-06-25,TK02931
SV00301,AC0140,CSAT,3,Clear answer,2025-10-17,TK00413
SV00302,AC0137,CSAT,4,Helpful but issue remains,2025-11-15,TK00752
SV00303,AC0015,CSAT,4,Slow resolution,2025-12-11,TK00993
SV00304,AC0037,CSAT,5,Great help,2025-10-28,TK00533
SV00305,AC0141,CSAT,3,Clear answer,2025-09-21,TK00181
SV00306,AC0049,CSAT,4,Great help,2026-08-25,TK03491
SV00307,AC0012,CSAT,3,,2025-10-23,TK00475
SV00308,AC0116,CSAT,4,Clear answer,2025-11-07,TK00653
SV00309,AC0023,CSAT,3,Clear answer,2026-08-05,TK03308
SV00310,AC0056,CSAT,3,Clear answer,2026-05-26,TK02577
SV00311,AC0030,CSAT,5,,2026-04-28,TK02315
SV00312,AC0103,CSAT,4,Still waiting,2026-05-05,TK02387
SV00313,AC0099,CSAT,4,Helpful but issue remains,2025-09-08,TK00071
SV00314,AC0025,CSAT,3,Still waiting,2026-01-03,TK01211
SV00315,AC0024,CSAT,4,Still waiting,2025-09-24,TK00201
SV00316,AC0048,CSAT,3,,2025-11-06,TK00633
SV00317,AC0095,CSAT,4,Slow resolution,2026-04-24,TK02256
SV00318,AC0114,CSAT,3,Slow resolution,2026-04-28,TK02310
SV00319,AC0037,CSAT,4,Helpful but issue remains,2025-12-28,TK01158
SV00320,AC0125,CSAT,4,,2025-12-29,TK01168
SV00321,AC0015,CSAT,4,,2026-05-30,TK02627
SV00322,AC0033,CSAT,3,Great help,2026-01-16,TK01325
SV00323,AC0052,CSAT,5,Still waiting,2026-03-16,TK01877
SV00324,AC0049,CSAT,3,,2025-11-30,TK00890
SV00325,AC0067,CSAT,4,Slow resolution,2025-11-15,TK00749
SV00326,AC0062,CSAT,5,Still waiting,2026-03-21,TK01923
SV00327,AC0051,CSAT,5,,2026-06-06,TK02699
SV00328,AC0134,CSAT,4,Slow resolution,2025-10-14,TK00378
SV00329,AC0100,CSAT,4,Great help,2026-04-14,TK02158
SV00330,AC0130,CSAT,5,,2026-02-21,TK01652
SV00331,AC0062,CSAT,2,Clear answer,2026-04-03,TK02066
SV00332,AC0061,CSAT,4,Helpful but issue remains,2026-07-02,TK03006
SV00333,AC0087,CSAT,5,Helpful but issue remains,2026-07-15,TK03118
SV00334,AC0013,CSAT,5,Still waiting,2026-02-11,TK01555
SV00335,AC0117,CSAT,5,Clear answer,2026-05-22,TK02554
SV00336,AC0048,CSAT,1,Clear answer,2026-03-21,TK01926
SV00337,AC0031,CSAT,5,Still waiting,2026-05-02,TK02359
SV00338,AC0076,CSAT,3,Clear answer,2026-08-15,TK03406
SV00339,AC0102,CSAT,3,Great help,2026-08-08,TK03336
SV00340,AC0100,CSAT,2,Still waiting,2025-12-29,TK01160
SV00341,AC0102,CSAT,5,Clear answer,2026-05-16,TK02503
SV00342,AC0080,CSAT,5,,2026-02-25,TK01689
SV00343,AC0099,CSAT,4,Clear answer,2026-05-16,TK02496
SV00344,AC0080,CSAT,4,,2025-12-07,TK00950
SV00345,AC0060,CSAT,5,Clear answer,2025-12-18,TK01055
SV00346,AC0001,CSAT,3,Great help,2026-07-20,TK03163
SV00347,AC0064,CSAT,4,Slow resolution,2025-12-11,TK00986
SV00348,AC0007,CSAT,4,Slow resolution,2025-10-01,TK00269
SV00349,AC0057,CSAT,4,Helpful but issue remains,2025-09-04,TK00031
SV00350,AC0102,CSAT,1,Helpful but issue remains,2026-03-18,TK01889
SV00351,AC0024,CSAT,5,Clear answer,2026-02-04,TK01490
SV00352,AC0047,CSAT,5,Great help,2026-03-08,TK01775
SV00353,AC0014,CSAT,4,,2025-10-25,TK00501
SV00354,AC0085,CSAT,3,Slow resolution,2026-06-01,TK02642
SV00355,AC0062,CSAT,4,Helpful but issue remains,2026-07-15,TK03116
SV00356,AC0043,CSAT,5,Great help,2026-01-30,TK01444
SV00357,AC0110,CSAT,4,Great help,2026-07-13,TK03104
SV00358,AC0100,CSAT,4,Slow resolution,2025-11-18,TK00775
SV00359,AC0018,CSAT,4,Slow resolution,2026-06-14,TK02817
SV00360,AC0149,CSAT,5,Still waiting,2026-05-14,TK02472
SV00361,AC0014,CSAT,4,Clear answer,2026-05-31,TK02640
SV00362,AC0121,CSAT,4,Helpful but issue remains,2025-11-14,TK00741
SV00363,AC0108,CSAT,4,Great help,2025-11-02,TK00591
SV00364,AC0030,CSAT,3,Still waiting,2026-03-05,TK01754
SV00365,AC0124,CSAT,4,,2025-11-02,TK00588
SV00366,AC0027,CSAT,4,Still waiting,2025-12-11,TK00984
SV00367,AC0050,CSAT,4,Slow resolution,2025-10-07,TK00306
SV00368,AC0037,CSAT,5,Slow resolution,2026-08-20,TK03446
SV00369,AC0047,CSAT,5,,2026-02-28,TK01707
SV00370,AC0099,CSAT,4,Great help,2026-01-10,TK01275
SV00371,AC0144,CSAT,3,Still waiting,2025-11-30,TK00885
SV00372,AC0127,CSAT,4,Great help,2026-05-13,TK02465
SV00373,AC0147,CSAT,3,,2025-10-04,TK00284
SV00374,AC0123,CSAT,5,Slow resolution,2026-01-06,TK01237
SV00375,AC0101,CSAT,3,Helpful but issue remains,2026-06-07,TK02734
SV00376,AC0099,CSAT,1,,2026-03-12,TK01816
SV00377,AC0094,CSAT,4,Helpful but issue remains,2026-07-28,TK03244
SV00378,AC0086,CSAT,3,Slow resolution,2026-08-04,TK03305
SV00379,AC0137,CSAT,5,Great help,2025-12-27,TK01141
SV00380,AC0101,CSAT,5,Great help,2025-09-04,TK00033
SV00381,AC0136,CSAT,5,Still waiting,2026-04-11,TK02131
SV00382,AC0131,CSAT,3,Great help,2025-10-28,TK00528
SV00383,AC0047,CSAT,4,Helpful but issue remains,2026-07-17,TK03138
SV00384,AC0088,CSAT,4,Clear answer,2026-01-09,TK01262
SV00385,AC0150,CSAT,4,,2026-06-02,TK02658
SV00386,AC0113,CSAT,4,Great help,2025-11-21,TK00802
SV00387,AC0058,CSAT,4,Still waiting,2026-07-31,TK03265
SV00388,AC0128,CSAT,5,Slow resolution,2025-12-11,TK00994
SV00389,AC0138,CSAT,4,Great help,2025-11-08,TK00663
SV00390,AC0121,CSAT,4,Great help,2026-03-04,TK01743
SV00391,AC0127,CSAT,4,,2026-01-12,TK01294
SV00392,AC0090,CSAT,4,Helpful but issue remains,2026-04-15,TK02169
SV00393,AC0132,CSAT,4,Slow resolution,2026-07-21,TK03170
SV00394,AC0142,CSAT,5,Clear answer,2025-12-11,TK00985
SV00395,AC0014,CSAT,3,Helpful but issue remains,2026-01-29,TK01436
SV00396,AC0138,CSAT,4,Great help,2026-08-01,TK03277
SV00397,AC0084,CSAT,4,Clear answer,2026-07-22,TK03181
SV00398,AC0002,CSAT,5,,2026-01-11,TK01287
SV00399,AC0017,CSAT,1,,2025-10-18,TK00434
SV00400,AC0132,CSAT,5,Great help,2026-04-29,TK02330
SV00401,AC0100,CSAT,3,Still waiting,2026-06-07,TK02733
SV00402,AC0024,CSAT,4,Helpful but issue remains,2025-10-04,TK00281
SV00403,AC0033,CSAT,3,Clear answer,2025-09-26,TK00218
SV00404,AC0100,CSAT,5,Helpful but issue remains,2026-03-01,TK01715
