deal_id,account_id,owner_agent_id,created_at,closed_at,stage,amount,segment,loss_reason,source,handover_complete,special_requirements_issue
DL00114,AC0059,A052,2026-01-09,,Negotiation,25000,SMB,,Paid Search,,
DL00115,AC0037,A039,2026-02-07,2026-03-28,Closed Won,87000,Enterprise,,Outbound,True,
DL00116,AC0128,A042,2026-06-06,2026-08-13,Closed Won,18000,SMB,,Paid Search,True,
DL00117,AC0111,A042,2026-08-04,2026-08-29,Closed Won,33000,Mid-Market,,Inbound,True,
DL00118,AC0016,A046,2026-03-10,2026-06-06,Closed Lost,37000,Mid-Market,Procurement,Paid Search,,
DL00119,AC0138,A044,2025-12-02,2026-01-25,Closed Lost,182000,Enterprise,Timing,Inbound,,
DL00120,AC0082,A055,2025-12-18,,Discovery,48000,Mid-Market,,Outbound,,
DL00121,AC0144,A053,2025-10-28,2025-12-02,Closed Won,50000,Mid-Market,,Inbound,True,
DL00122,AC0108,A040,2025-12-14,,Negotiation,49000,Mid-Market,,Inbound,,
DL00123,AC0019,A055,2026-01-03,,Discovery,72000,Enterprise,,Paid Search,,
DL00124,AC0039,A042,2026-01-26,2026-02-21,Closed Lost,64000,Mid-Market,Timing,Referral,,
DL00125,AC0096,A050,2025-12-17,2026-01-16,Closed Lost,182000,Enterprise,Procurement,Inbound,,
DL00126,AC0134,A040,2026-06-05,,Negotiation,24000,SMB,,Paid Search,,
DL00127,AC0005,A053,2025-10-11,2025-11-24,Closed Lost,49000,Mid-Market,Competitor,Inbound,,
DL00128,AC0008,A056,2026-08-09,,Negotiation,23000,SMB,,Referral,,
DL00129,AC0107,A039,2026-05-25,2026-07-19,Closed Lost,8000,SMB,Price,Inbound,,
DL00130,AC0099,A055,2026-07-12,,Proposal,149000,Enterprise,,Partner,,
DL00131,AC0087,A054,2025-11-01,2025-11-25,Closed Lost,61000,Mid-Market,Price,Referral,,
DL00132,AC0066,A055,2026-07-14,2026-10-09,Closed Lost,124000,Enterprise,Procurement,Outbound,,
DL00133,AC0096,A049,2026-02-03,,Proposal,55000,Mid-Market,,Paid Search,,
DL00134,AC0063,A041,2025-12-22,2026-02-25,Closed Won,23000,SMB,,Outbound,True,
DL00135,AC0128,A051,2025-09-13,2025-11-26,Closed Won,12000,SMB,,Outbound,False,Free-text / field quality issue
DL00136,AC0097,A055,2025-10-23,2025-12-08,Closed Won,108000,Enterprise,,Outbound,True,
DL00137,AC0063,A053,2026-02-10,,Negotiation,48000,Mid-Market,,Paid Search,,
DL00138,AC0123,A055,2025-09-20,,Negotiation,105000,Enterprise,,Inbound,,
DL00139,AC0107,A043,2026-01-12,2026-01-30,Closed Won,139000,Enterprise,,Referral,True,
DL00140,AC0131,A052,2026-03-08,,Discovery,34000,Mid-Market,,Paid Search,,
DL00141,AC0125,A040,2026-06-12,,Negotiation,13000,SMB,,Partner,,
DL00142,AC0090,A045,2025-09-27,2025-10-18,Closed Won,25000,SMB,,Referral,True,
DL00143,AC0013,A055,2026-01-28,2026-03-01,Closed Lost,19000,SMB,Missing Feature,Referral,,
DL00144,AC0070,A047,2026-08-06,2026-09-23,Closed Won,134000,Enterprise,,Inbound,,
DL00145,AC0050,A054,2026-01-23,2026-04-10,Closed Lost,121000,Enterprise,Competitor,Inbound,,
DL00146,AC0104,A044,2026-06-11,2026-08-05,Closed Won,14000,SMB,,Partner,True,
DL00147,AC0003,A046,2026-05-31,2026-07-18,Closed Won,14000,SMB,,Referral,True,
DL00148,AC0067,A056,2025-10-05,2025-11-11,Closed Won,42000,Mid-Market,,Outbound,True,
DL00149,AC0132,A044,2026-03-09,,Negotiation,30000,Mid-Market,,Referral,,
DL00150,AC0026,A054,2026-02-22,2026-05-14,Closed Lost,29000,Mid-Market,Timing,Outbound,,
DL00151,AC0149,A049,2026-08-16,2026-09-14,Closed Won,116000,Enterprise,,Paid Search,True,
DL00152,AC0079,A045,2026-01-16,,Negotiation,63000,Mid-Market,,Outbound,,
DL00153,AC0143,A039,2025-10-09,,Discovery,168000,Enterprise,,Outbound,,
DL00154,AC0086,A045,2026-02-25,2026-04-28,Closed Lost,58000,Mid-Market,No Decision,Referral,,
DL00155,AC0139,A054,2026-05-11,,Discovery,9000,SMB,,Inbound,,
DL00156,AC0116,A049,2025-10-18,,Proposal,14000,SMB,,Outbound,,
DL00157,AC0137,A056,2026-01-06,2026-02-12,Closed Lost,21000,SMB,Procurement,Outbound,,
DL00158,AC0136,A051,2026-08-17,2026-10-01,Closed Lost,20000,SMB,Missing Feature,Paid Search,,
DL00159,AC0020,A053,2026-02-17,2026-03-25,Closed Won,24000,SMB,,Referral,True,
DL00160,AC0143,A042,2026-03-12,2026-04-05,Closed Won,79000,Enterprise,,Paid Search,True,
DL00161,AC0080,A050,2026-01-30,,Proposal,24000,SMB,,Outbound,,
DL00162,AC0067,A049,2026-02-18,2026-04-11,Closed Lost,112000,Enterprise,No Decision,Paid Search,,
DL00163,AC0122,A042,2026-01-29,2026-03-11,Closed Won,120000,Enterprise,,Outbound,True,
DL00164,AC0086,A054,2025-12-15,2026-02-21,Closed Lost,20000,SMB,Price,Outbound,,
DL00165,AC0057,A052,2026-05-27,,Discovery,8000,SMB,,Referral,,
DL00166,AC0150,A042,2025-10-17,,Qualified,108000,Enterprise,,Partner,,
DL00167,AC0078,A053,2026-04-01,2026-06-09,Closed Won,33000,Mid-Market,,Referral,True,
DL00168,AC0146,A044,2025-11-28,2026-02-06,Closed Won,17000,SMB,,Referral,True,
DL00169,AC0006,A056,2026-04-17,2026-05-18,Closed Won,17000,SMB,,Inbound,True,
DL00170,AC0097,A054,2026-03-15,2026-05-25,Closed Won,100000,Enterprise,,Outbound,True,Integration mapping error
DL00171,AC0041,A053,2026-06-03,2026-07-22,Closed Won,46000,Mid-Market,,Inbound,True,
DL00172,AC0083,A044,2026-06-27,,Negotiation,57000,Mid-Market,,Referral,,
DL00173,AC0134,A054,2025-12-09,2026-02-01,Closed Won,39000,Mid-Market,,Inbound,True,
DL00174,AC0101,A047,2025-10-22,,Qualified,183000,Enterprise,,Paid Search,,
DL00175,AC0020,A053,2026-03-02,2026-03-29,Closed Won,25000,SMB,,Inbound,False,Free-text / field quality issue
DL00176,AC0100,A052,2026-04-17,,Qualified,81000,Enterprise,,Outbound,,
DL00177,AC0145,A046,2025-09-23,2025-10-16,Closed Lost,12000,SMB,Price,Partner,,
DL00178,AC0083,A045,2025-10-17,2025-11-08,Closed Lost,23000,SMB,Timing,Inbound,,
DL00179,AC0072,A043,2026-04-22,,Negotiation,169000,Enterprise,,Outbound,,
DL00180,AC0011,A047,2026-03-22,2026-05-26,Closed Won,9000,SMB,,Inbound,True,
DL00181,AC0090,A039,2026-06-06,2026-08-04,Closed Lost,21000,SMB,Price,Partner,,
DL00182,AC0048,A054,2026-06-14,2026-08-22,Closed Won,108000,Enterprise,,Referral,True,
DL00183,AC0027,A052,2025-12-27,,Proposal,38000,Mid-Market,,Outbound,,
DL00184,AC0033,A053,2026-07-27,2026-08-18,Closed Won,10000,SMB,,Referral,True,
DL00185,AC0020,A047,2025-12-15,2026-01-02,Closed Won,20000,SMB,,Referral,True,
DL00186,AC0060,A050,2025-12-24,2026-03-07,Closed Lost,38000,Mid-Market,Procurement,Partner,,
DL00187,AC0056,A053,2026-07-01,2026-08-23,Closed Lost,38000,Mid-Market,Unqualified,Referral,,
DL00188,AC0098,A048,2026-05-31,,Discovery,44000,Mid-Market,,Outbound,,
DL00189,AC0144,A042,2026-06-27,2026-09-10,Closed Lost,11000,SMB,Price,Partner,,
DL00190,AC0146,A054,2026-04-08,2026-05-14,Closed Lost,109000,Enterprise,Missing Feature,Paid Search,,
DL00191,AC0023,A047,2026-01-02,2026-01-30,Closed Won,9000,SMB,,Outbound,True,
DL00192,AC0131,A050,2026-07-11,2026-08-15,Closed Won,47000,Mid-Market,,Inbound,True,
DL00193,AC0037,A054,2026-06-25,,Qualified,162000,Enterprise,,Partner,,
DL00194,AC0014,A056,2026-02-28,,Qualified,96000,Enterprise,,Inbound,,
DL00195,AC0100,A042,2025-11-16,2025-12-13,Closed Won,19000,SMB,,Outbound,True,
DL00196,AC0112,A054,2025-11-19,2026-01-08,Closed Lost,24000,SMB,Timing,Referral,,
DL00197,AC0150,A052,2026-02-10,2026-03-19,Closed Won,11000,SMB,,Inbound,True,
DL00198,AC0032,A044,2026-06-05,2026-06-27,Closed Lost,26000,Mid-Market,Procurement,Paid Search,,
DL00199,AC0045,A041,2026-01-13,,Discovery,111000,Enterprise,,Outbound,,
DL00200,AC0043,A052,2026-06-01,,Discovery,53000,Mid-Market,,Inbound,,
DL00201,AC0150,A047,2026-06-27,2026-08-23,Closed Lost,13000,SMB,No Decision,Inbound,,
DL00202,AC0035,A043,2026-07-16,2026-08-19,Closed Lost,16000,SMB,Missing Feature,Outbound,,
DL00203,AC0140,A054,2026-01-06,2026-02-01,Closed Lost,46000,Mid-Market,Unqualified,Paid Search,,
DL00204,AC0122,A045,2026-06-03,,Negotiation,40000,Mid-Market,,Outbound,,
DL00205,AC0046,A052,2025-12-28,,Discovery,151000,Enterprise,,Referral,,
DL00206,AC0019,A044,2026-06-05,,Qualified,15000,SMB,,Paid Search,,
DL00207,AC0120,A041,2025-11-19,,Qualified,20000,SMB,,Inbound,,
DL00208,AC0061,A046,2026-08-14,2026-10-28,Closed Lost,26000,Mid-Market,Price,Paid Search,,
DL00209,AC0145,A054,2026-08-20,2026-10-27,Closed Won,21000,SMB,,Partner,False,Formatting mismatch
DL00210,AC0008,A040,2026-05-25,,Discovery,113000,Enterprise,,Partner,,
DL00211,AC0109,A052,2025-09-08,2025-10-22,Closed Won,57000,Mid-Market,,Referral,True,
DL00212,AC0131,A049,2026-01-08,2026-03-31,Closed Lost,20000,SMB,Price,Referral,,
DL00213,AC0051,A046,2025-10-30,,Discovery,9000,SMB,,Paid Search,,
DL00214,AC0083,A054,2025-09-01,2025-09-21,Closed Won,42000,Mid-Market,,Referral,True,
DL00215,AC0076,A046,2026-07-19,2026-09-28,Closed Won,25000,SMB,,Paid Search,True,Integration mapping error
DL00216,AC0150,A050,2026-01-26,,Negotiation,45000,Mid-Market,,Referral,,
DL00217,AC0046,A052,2025-11-13,,Negotiation,58000,Mid-Market,,Inbound,,
DL00218,AC0142,A047,2025-12-22,2026-01-28,Closed Lost,59000,Mid-Market,No Decision,Partner,,
DL00219,AC0121,A052,2026-06-10,2026-09-03,Closed Lost,99000,Enterprise,Competitor,Referral,,
DL00220,AC0082,A054,2026-01-07,,Negotiation,17000,SMB,,Partner,,
DL00221,AC0055,A051,2026-06-21,,Qualified,83000,Enterprise,,Inbound,,
DL00222,AC0096,A039,2026-08-26,2026-10-04,Closed Won,49000,Mid-Market,,Partner,True,Integration mapping error
DL00223,AC0049,A042,2026-06-02,2026-06-26,Closed Won,40000,Mid-Market,,Outbound,True,
DL00224,AC0011,A055,2025-12-22,2026-02-07,Closed Lost,131000,Enterprise,No Decision,Paid Search,,
DL00225,AC0128,A040,2025-09-23,2025-12-05,Closed Won,62000,Mid-Market,,Paid Search,True,
DL00226,AC0067,A045,2026-04-03,2026-04-30,Closed Lost,25000,SMB,Unqualified,Inbound,,
DL00227,AC0016,A042,2026-03-03,2026-04-18,Closed Lost,12000,SMB,Price,Referral,,
DL00228,AC0086,A048,2025-12-19,,Proposal,175000,Enterprise,,Referral,,
DL00229,AC0003,A049,2025-11-18,2025-12-10,Closed Won,19000,SMB,,Inbound,True,
DL00230,AC0137,A054,2025-09-24,2025-12-02,Closed Lost,40000,Mid-Market,Competitor,Partner,,
DL00231,AC0084,A050,2026-05-12,2026-07-01,Closed Lost,12000,SMB,Procurement,Partner,,
DL00232,AC0141,A052,2026-01-29,2026-04-15,Closed Lost,29000,Mid-Market,Timing,Partner,,
DL00233,AC0010,A046,2025-11-22,,Negotiation,177000,Enterprise,,Paid Search,,
DL00234,AC0109,A053,2026-05-19,,Negotiation,75000,Enterprise,,Referral,,
DL00235,AC0023,A044,2026-04-24,,Proposal,24000,SMB,,Outbound,,
DL00236,AC0076,A040,2026-01-02,2026-02-10,Closed Won,143000,Enterprise,,Referral,True,
DL00237,AC0110,A040,2026-01-26,,Proposal,15000,SMB,,Outbound,,
DL00238,AC0095,A045,2026-02-01,2026-04-29,Closed Lost,158000,Enterprise,Missing Feature,Referral,,
DL00239,AC0149,A052,2025-11-07,,Negotiation,55000,Mid-Market,,Partner,,
DL00240,AC0139,A050,2026-05-17,,Negotiation,9000,SMB,,Partner,,
DL00241,AC0010,A054,2025-11-14,2026-01-23,Closed Won,20000,SMB,,Paid Search,True,
DL00242,AC0083,A054,2025-11-28,2026-01-26,Closed Lost,20000,SMB,Unqualified,Referral,,
DL00243,AC0091,A044,2025-09-11,2025-10-21,Closed Won,170000,Enterprise,,Referral,True,
DL00244,AC0145,A052,2026-07-27,2026-08-14,Closed Lost,25000,SMB,No Decision,Partner,,
DL00245,AC0102,A050,2026-03-08,,Discovery,183000,Enterprise,,Inbound,,
DL00246,AC0010,A045,2026-05-21,,Negotiation,155000,Enterprise,,Outbound,,
DL00247,AC0047,A044,2026-06-03,2026-07-11,Closed Lost,36000,Mid-Market,Price,Paid Search,,
DL00248,AC0036,A056,2026-06-19,2026-08-07,Closed Won,23000,SMB,,Partner,False,Free-text / field quality issue
DL00249,AC0083,A040,2025-10-16,2025-12-18,Closed Lost,12000,SMB,Procurement,Partner,,
DL00250,AC0136,A051,2025-10-12,2026-01-06,Closed Lost,15000,SMB,Price,Referral,,
DL00251,AC0139,A055,2025-11-05,2025-12-11,Closed Won,19000,SMB,,Outbound,True,
DL00252,AC0114,A049,2026-08-23,,Negotiation,17000,SMB,,Partner,,
DL00253,AC0113,A040,2025-09-24,,Qualified,11000,SMB,,Outbound,,
DL00254,AC0141,A052,2026-03-21,2026-04-20,Closed Won,78000,Enterprise,,Referral,True,
DL00255,AC0061,A041,2026-03-02,2026-05-04,Closed Lost,12000,SMB,No Decision,Partner,,
DL00256,AC0101,A039,2026-05-24,,Negotiation,138000,Enterprise,,Paid Search,,
DL00257,AC0042,A045,2026-01-26,,Proposal,16000,SMB,,Outbound,,
DL00258,AC0041,A046,2026-05-30,2026-07-09,Closed Lost,83000,Enterprise,Price,Outbound,,
DL00259,AC0049,A041,2025-12-16,,Proposal,8000,SMB,,Paid Search,,
DL00260,AC0111,A041,2025-11-28,2026-02-07,Closed Lost,28000,Mid-Market,Price,Paid Search,,
DL00261,AC0118,A053,2026-07-10,2026-08-12,Closed Won,16000,SMB,,Partner,True,
DL00262,AC0082,A044,2026-03-16,,Discovery,59000,Mid-Market,,Inbound,,
DL00263,AC0046,A041,2025-12-18,2026-01-18,Closed Lost,9000,SMB,Price,Referral,,
DL00264,AC0082,A055,2026-02-16,,Qualified,56000,Mid-Market,,Partner,,
DL00265,AC0085,A049,2026-06-07,2026-07-17,Closed Won,21000,SMB,,Partner,True,
DL00266,AC0035,A048,2025-12-28,,Negotiation,115000,Enterprise,,Inbound,,
DL00267,AC0020,A049,2026-08-07,2026-09-15,Closed Lost,50000,Mid-Market,No Decision,Referral,,
DL00268,AC0108,A040,2025-09-03,,Discovery,40000,Mid-Market,,Inbound,,
DL00269,AC0067,A043,2026-05-11,2026-06-25,Closed Lost,53000,Mid-Market,Missing Feature,Outbound,,
DL00270,AC0099,A046,2026-03-18,2026-04-10,Closed Lost,17000,SMB,Price,Inbound,,
DL00271,AC0007,A040,2026-07-23,2026-08-30,Closed Lost,41000,Mid-Market,Unqualified,Paid Search,,
DL00272,AC0121,A043,2026-02-25,2026-03-17,Closed Won,131000,Enterprise,,Partner,True,
DL00273,AC0089,A043,2026-06-22,2026-07-22,Closed Lost,25000,SMB,Missing Feature,Outbound,,
DL00274,AC0017,A049,2026-06-17,2026-08-02,Closed Won,15000,SMB,,Paid Search,True,
DL00275,AC0113,A050,2025-10-19,2025-11-09,Closed Lost,13000,SMB,Procurement,Referral,,
DL00276,AC0081,A040,2025-09-30,2025-12-25,Closed Lost,133000,Enterprise,Timing,Referral,,
DL00277,AC0124,A051,2025-10-31,2025-11-25,Closed Won,169000,Enterprise,,Paid Search,True,Formatting mismatch
DL00278,AC0012,A046,2025-12-02,,Negotiation,181000,Enterprise,,Referral,,
DL00279,AC0001,A044,2026-02-09,2026-03-26,Closed Lost,108000,Enterprise,Missing Feature,Paid Search,,
DL00280,AC0132,A048,2025-09-04,2025-09-24,Closed Lost,11000,SMB,No Decision,Inbound,,
DL00281,AC0150,A049,2026-08-15,2026-10-01,Closed Won,24000,SMB,,Inbound,True,
DL00282,AC0044,A043,2026-02-16,,Negotiation,189000,Enterprise,,Paid Search,,
DL00283,AC0131,A039,2025-12-06,2026-02-07,Closed Won,40000,Mid-Market,,Partner,True,
DL00284,AC0008,A046,2026-08-02,2026-10-15,Closed Lost,42000,Mid-Market,Procurement,Outbound,,
