lead_id,created_date,lead_source,industry,region,company_size,rep_id,status,qualified_date,demo_date,opportunity_date,closed_date,potential_arr_eur,loss_reason
VAI-00041,2025-08-08,Outbound,Travel,DACH,501-1000,AE02,Unqualified,,,,,,
VAI-00042,2025-07-30,Outbound,SaaS,Nordics,201-500,AE08,Demo Completed,2025-08-04,2025-08-06,,,,
VAI-00043,2025-10-04,LinkedIn,E-commerce,Benelux,1000+,AE02,Unqualified,,,,,,
VAI-00044,2025-07-15,Outbound,Professional Services,Benelux,1000+,AE01,Demo Completed,2025-07-17,2025-07-19,,,,
VAI-00045,2025-08-06,Organic Search,Fintech,UK & Ireland,51-200,AE04,Unqualified,,,,,,
VAI-00046,2025-05-22,Paid Search,SaaS,DACH,201-500,AE05,Unqualified,,,,,,
VAI-00047,2025-05-01,Partners,Healthcare,Benelux,51-200,AE05,Unqualified,,,,,,
VAI-00048,2025-02-05,Outbound,Professional Services,CEE,501-1000,AE04,Unqualified,,,,,,
VAI-00049,2025-01-22,Organic Search,HR Tech,UK & Ireland,1-50,AE02,Unqualified,,,,,,
VAI-00050,2025-11-10,Paid Search,Professional Services,Benelux,51-200,AE02,Unqualified,,,,,,
VAI-00051,2025-05-04,Events,Healthcare,UK & Ireland,51-200,AE05,Demo Completed,2025-05-07,2025-05-12,,,,
VAI-00052,2025-04-26,Organic Search,Healthcare,UK & Ireland,1-50,AE05,Unqualified,,,,,,
VAI-00053,2025-07-08,Outbound,Healthcare,UK & Ireland,201-500,AE03,Qualified,2025-07-16,,,,,
VAI-00054,2025-11-22,Paid Search,SaaS,CEE,1000+,AE03,Unqualified,,,,,,
VAI-00055,2025-04-28,Outbound,SaaS,UK & Ireland,501-1000,AE04,Demo Completed,2025-04-30,2025-05-02,,,,
VAI-00056,2025-07-30,Partners,E-commerce,Southern Europe,51-200,AE06,Unqualified,,,,,,
VAI-00057,2025-05-28,Organic Search,HR Tech,DACH,51-200,AE05,Unqualified,,,,,,
VAI-00058,2025-11-20,Paid Search,E-commerce,Southern Europe,51-200,AE02,Unqualified,,,,,,
VAI-00059,2025-07-28,Outbound,Healthcare,Nordics,51-200,AE03,Demo Completed,2025-08-02,2025-08-06,,,,
VAI-00060,2025-01-01,Organic Search,Professional Services,UK & Ireland,201-500,AE06,Unqualified,,,,,,
VAI-00061,2025-11-08,LinkedIn,Healthcare,Southern Europe,1-50,AE03,Qualified,2025-11-09,,,,,
VAI-00062,2025-02-11,Organic Search,HR Tech,UK & Ireland,501-1000,AE06,Unqualified,,,,,,
VAI-00063,2025-05-29,Events,Healthcare,DACH,51-200,AE06,Unqualified,,,,,,
VAI-00064,2025-12-16,Organic Search,Travel,UK & Ireland,51-200,AE08,Closed Lost,2025-12-19,2025-12-30,2026-01-15,2026-01-20,20000.0,Competitor
VAI-00065,2025-08-01,Organic Search,Professional Services,Southern Europe,1000+,AE01,Qualified,2025-08-03,,,,,
VAI-00066,2025-03-12,Outbound,Fintech,Benelux,51-200,AE03,Unqualified,,,,,,
VAI-00067,2025-11-19,Paid Search,E-commerce,Benelux,501-1000,AE07,Unqualified,,,,,,
VAI-00068,2025-10-25,LinkedIn,Media,UK & Ireland,51-200,AE02,Unqualified,,,,,,
VAI-00069,2025-11-06,Organic Search,E-commerce,Southern Europe,51-200,AE03,Unqualified,,,,,,
VAI-00070,2025-05-26,Outbound,Fintech,DACH,51-200,AE07,Qualified,2025-06-03,,,,,
VAI-00071,2025-02-27,Paid Search,Healthcare,CEE,201-500,AE02,Demo Completed,2025-03-01,2025-03-07,,,,
VAI-00072,2025-02-27,Organic Search,Travel,Benelux,201-500,AE06,Unqualified,,,,,,
VAI-00073,2025-01-01,Outbound,Media,UK & Ireland,1000+,AE01,Demo Completed,2025-01-08,2025-01-12,,,,
VAI-00074,2025-08-20,Paid Search,Media,Benelux,201-500,AE04,Demo Completed,2025-08-21,2025-08-26,,,,
VAI-00075,2025-12-08,Outbound,E-commerce,Southern Europe,51-200,AE06,Qualified,2025-12-11,,,,,
VAI-00076,2025-04-28,Paid Search,Healthcare,CEE,1000+,AE02,Closed Won,2025-05-01,2025-05-05,2025-05-13,2025-05-31,101500.0,
VAI-00077,2025-11-25,Events,Healthcare,UK & Ireland,501-1000,AE01,Demo Completed,2025-11-27,2025-12-06,,,,
VAI-00078,2025-10-03,LinkedIn,E-commerce,DACH,51-200,AE04,Unqualified,,,,,,
VAI-00079,2025-08-12,LinkedIn,Healthcare,Benelux,1000+,AE05,Unqualified,,,,,,
VAI-00080,2025-01-13,LinkedIn,Professional Services,DACH,51-200,AE04,Closed Won,2025-01-20,2025-01-26,2025-01-27,2025-03-15,10500.0,
VAI-00081,2025-05-21,Partners,Healthcare,Benelux,201-500,AE01,Qualified,2025-05-31,,,,,
VAI-00082,2025-03-18,Organic Search,Professional Services,CEE,201-500,AE07,Unqualified,,,,,,
VAI-00083,2025-05-06,Events,Media,Nordics,501-1000,AE02,Closed Won,2025-05-09,2025-05-12,2025-05-20,2025-06-18,36500.0,
VAI-00084,2025-12-11,Organic Search,E-commerce,Southern Europe,201-500,AE05,Unqualified,,,,,,
VAI-00085,2025-02-22,Organic Search,E-commerce,Southern Europe,51-200,AE07,Unqualified,,,,,,
VAI-00086,2025-06-25,Partners,E-commerce,UK & Ireland,51-200,AE01,Closed Won,2025-06-26,2025-07-06,2025-07-14,2025-08-12,18000.0,
VAI-00087,2025-12-15,LinkedIn,Healthcare,Southern Europe,1-50,AE05,Unqualified,,,,,,
VAI-00088,2025-08-20,LinkedIn,E-commerce,UK & Ireland,501-1000,AE04,Unqualified,,,,,,
VAI-00089,2025-09-22,LinkedIn,HR Tech,Benelux,51-200,AE02,Unqualified,,,,,,
VAI-00090,2025-10-19,Outbound,Professional Services,Benelux,51-200,AE01,Unqualified,,,,,,
VAI-00091,2025-03-28,Outbound,SaaS,DACH,201-500,AE03,Qualified,2025-04-01,,,,,
VAI-00092,2025-12-23,Events,SaaS,DACH,201-500,AE05,Unqualified,,,,,,
VAI-00093,2025-05-21,Outbound,Healthcare,CEE,1-50,AE03,Unqualified,,,,,,
VAI-00094,2025-05-28,LinkedIn,Healthcare,UK & Ireland,201-500,AE03,Unqualified,,,,,,
VAI-00095,2025-04-25,Organic Search,SaaS,Benelux,51-200,AE04,Closed Lost,2025-04-28,2025-05-08,2025-05-10,2025-05-17,19500.0,Budget frozen
VAI-00096,2025-01-11,LinkedIn,Travel,Southern Europe,51-200,AE03,Closed Won,2025-01-15,2025-01-19,2025-01-28,2025-03-25,13500.0,
VAI-00097,2025-09-23,LinkedIn,Travel,Nordics,201-500,AE05,Unqualified,,,,,,
VAI-00098,2025-08-01,Outbound,Media,Southern Europe,201-500,AE05,Unqualified,,,,,,
VAI-00099,2025-08-06,Events,Travel,DACH,51-200,AE06,Qualified,2025-08-08,,,,,
VAI-00100,2025-05-24,Partners,Media,DACH,1-50,AE01,Qualified,2025-05-31,,,,,
VAI-00101,2025-07-04,Organic Search,Professional Services,CEE,1000+,AE04,Closed Lost,2025-07-06,2025-07-16,2025-08-02,2025-08-30,69500.0,Competitor
VAI-00102,2025-06-09,Paid Search,Fintech,CEE,1-50,AE03,Unqualified,,,,,,
VAI-00103,2025-12-27,Events,HR Tech,CEE,201-500,AE05,Unqualified,,,,,,
VAI-00104,2025-05-23,Paid Search,HR Tech,CEE,501-1000,AE04,Unqualified,,,,,,
VAI-00105,2025-05-11,Outbound,Healthcare,Southern Europe,201-500,AE03,Qualified,2025-05-12,,,,,
VAI-00106,2025-04-05,Outbound,HR Tech,Benelux,51-200,AE02,Unqualified,,,,,,
VAI-00107,2025-07-24,Referral,E-commerce,CEE,51-200,AE01,Qualified,2025-07-28,,,,,
VAI-00108,2025-05-02,Referral,Professional Services,Southern Europe,1-50,AE04,Unqualified,,,,,,
VAI-00109,2025-07-13,Outbound,Travel,DACH,1-50,AE06,Unqualified,,,,,,
VAI-00110,2025-11-11,Paid Search,Travel,CEE,51-200,AE05,Unqualified,,,,,,
VAI-00111,2025-05-02,Organic Search,SaaS,UK & Ireland,1-50,AE08,Unqualified,,,,,,
VAI-00112,2025-10-31,Paid Search,HR Tech,CEE,51-200,AE06,Unqualified,,,,,,
VAI-00113,2025-10-06,Partners,SaaS,Southern Europe,201-500,AE07,Demo Completed,2025-10-10,2025-10-18,,,,
VAI-00114,2025-06-11,Organic Search,Fintech,CEE,201-500,AE08,Closed Won,2025-06-17,2025-07-15,2025-07-23,2025-07-29,32500.0,
VAI-00115,2025-03-13,Outbound,Professional Services,UK & Ireland,201-500,AE03,Unqualified,,,,,,
VAI-00116,2025-08-24,Paid Search,E-commerce,Benelux,1-50,AE07,Qualified,2025-08-27,,,,,
VAI-00117,2025-04-21,Paid Search,SaaS,Southern Europe,1-50,AE04,Unqualified,,,,,,
VAI-00118,2025-10-15,Partners,Healthcare,UK & Ireland,51-200,AE02,Unqualified,,,,,,
VAI-00119,2025-06-22,LinkedIn,Professional Services,Southern Europe,51-200,AE02,Unqualified,,,,,,
VAI-00120,2025-11-21,Paid Search,Travel,UK & Ireland,201-500,AE07,Unqualified,,,,,,
VAI-00121,2025-03-31,Organic Search,Healthcare,DACH,1-50,AE01,Qualified,2025-04-14,,,,,
VAI-00122,2025-09-13,Paid Search,E-commerce,CEE,51-200,AE05,Unqualified,,,,,,
VAI-00123,2025-01-16,Organic Search,Professional Services,DACH,201-500,AE01,Unqualified,,,,,,
VAI-00124,2025-05-23,Outbound,SaaS,DACH,201-500,AE01,Unqualified,,,,,,
VAI-00125,2025-02-16,Organic Search,HR Tech,Benelux,51-200,AE02,Unqualified,,,,,,
VAI-00126,2025-09-09,Outbound,E-commerce,CEE,1000+,AE05,Closed Lost,2025-09-11,2025-09-17,2025-09-24,2025-10-22,121500.0,No decision
VAI-00127,2025-12-17,Outbound,SaaS,CEE,501-1000,AE01,Unqualified,,,,,,
VAI-00128,2025-01-10,LinkedIn,Travel,Nordics,51-200,AE04,Demo Completed,2025-01-20,2025-01-25,,,,
VAI-00129,2025-07-17,Outbound,Media,Southern Europe,1-50,AE07,Unqualified,,,,,,
VAI-00130,2025-11-07,Outbound,Professional Services,Nordics,51-200,AE03,Qualified,2025-11-10,,,,,
VAI-00131,2025-07-10,Organic Search,Healthcare,Benelux,201-500,AE01,Closed Lost,2025-07-11,2025-07-13,2025-07-23,2025-07-31,32500.0,Timing
VAI-00132,2025-12-23,Outbound,E-commerce,Southern Europe,201-500,AE03,Qualified,2025-12-25,,,,,
VAI-00133,2025-02-07,Organic Search,Travel,Southern Europe,1000+,AE08,Unqualified,,,,,,
VAI-00134,2025-11-10,Outbound,SaaS,UK & Ireland,1-50,AE05,Unqualified,,,,,,
VAI-00135,2025-08-06,Outbound,SaaS,DACH,201-500,AE03,Qualified,2025-08-12,,,,,
VAI-00136,2025-12-08,Paid Search,Travel,Benelux,201-500,AE08,Unqualified,,,,,,
VAI-00137,2025-03-24,Outbound,Healthcare,UK & Ireland,1000+,AE08,Unqualified,,,,,,
VAI-00138,2025-09-01,Referral,E-commerce,DACH,1-50,AE06,Demo Completed,2025-09-03,2025-09-04,,,,
VAI-00139,2025-03-08,Outbound,HR Tech,CEE,501-1000,AE05,Unqualified,,,,,,
VAI-00140,2025-06-22,LinkedIn,Healthcare,CEE,1-50,AE04,Demo Completed,2025-06-24,2025-07-05,,,,
VAI-00141,2025-08-12,Organic Search,Travel,UK & Ireland,201-500,AE02,Unqualified,,,,,,
VAI-00142,2025-06-18,Paid Search,Travel,DACH,501-1000,AE04,Demo Completed,2025-06-20,2025-06-25,,,,
VAI-00143,2025-06-30,Referral,Travel,DACH,501-1000,AE02,Qualified,2025-07-05,,,,,
VAI-00144,2025-08-13,Events,Media,Southern Europe,1-50,AE08,Unqualified,,,,,,
VAI-00145,2025-08-18,Referral,Fintech,Southern Europe,1-50,AE07,Unqualified,,,,,,
VAI-00146,2025-03-01,Organic Search,Media,Southern Europe,51-200,AE02,Qualified,2025-03-06,,,,,
VAI-00147,2025-08-22,Outbound,Professional Services,Nordics,51-200,AE03,Unqualified,,,,,,
VAI-00148,2025-09-25,Paid Search,E-commerce,Nordics,1-50,AE04,Unqualified,,,,,,
VAI-00149,2025-11-27,Outbound,SaaS,CEE,51-200,AE06,Unqualified,,,,,,
VAI-00150,2025-07-06,Outbound,Professional Services,CEE,201-500,AE05,Unqualified,,,,,,
VAI-00151,2025-08-25,LinkedIn,Media,UK & Ireland,201-500,AE06,Unqualified,,,,,,
VAI-00152,2025-11-26,Outbound,Fintech,DACH,51-200,AE08,Qualified,2025-12-04,,,,,
VAI-00153,2025-04-09,Referral,Fintech,Nordics,201-500,AE07,Unqualified,,,,,,
VAI-00154,2025-04-03,Events,Healthcare,DACH,51-200,AE04,Unqualified,,,,,,
VAI-00155,2025-09-16,Partners,E-commerce,Benelux,501-1000,AE03,Unqualified,,,,,,
VAI-00156,2025-07-24,Paid Search,Travel,Benelux,201-500,AE07,Unqualified,,,,,,
VAI-00157,2025-11-02,Outbound,Professional Services,Nordics,51-200,AE02,Closed Lost,2025-11-04,2025-11-15,2025-11-29,2025-12-26,11000.0,Missing feature
VAI-00158,2025-03-04,Organic Search,Professional Services,CEE,1000+,AE02,Unqualified,,,,,,
VAI-00159,2025-08-16,Outbound,Travel,Nordics,51-200,AE06,Demo Completed,2025-08-30,2025-09-04,,,,
VAI-00160,2025-06-28,Events,Professional Services,UK & Ireland,1-50,AE02,Qualified,2025-07-01,,,,,
VAI-00161,2025-07-10,Events,Media,Southern Europe,201-500,AE04,Closed Lost,2025-07-15,2025-07-22,2025-07-29,2025-08-19,24000.0,Price
VAI-00162,2025-11-06,Paid Search,HR Tech,Benelux,1000+,AE06,Qualified,2025-11-19,,,,,
VAI-00163,2025-08-08,Paid Search,Fintech,UK & Ireland,201-500,AE07,Unqualified,,,,,,
VAI-00164,2025-10-05,Paid Search,Media,CEE,501-1000,AE05,Unqualified,,,,,,
VAI-00165,2025-10-30,Outbound,Professional Services,UK & Ireland,201-500,AE01,Unqualified,,,,,,
VAI-00166,2025-12-23,Paid Search,Travel,UK & Ireland,1-50,AE05,Unqualified,,,,,,
VAI-00167,2025-11-13,Outbound,SaaS,Benelux,1000+,AE04,Qualified,2025-11-19,,,,,
VAI-00168,2025-07-13,LinkedIn,Professional Services,Southern Europe,51-200,AE06,Unqualified,,,,,,
VAI-00169,2025-07-11,LinkedIn,Media,DACH,201-500,AE03,Qualified,2025-07-17,,,,,
VAI-00170,2025-04-23,Paid Search,Fintech,CEE,1000+,AE08,Unqualified,,,,,,
VAI-00171,2025-06-16,LinkedIn,Professional Services,Nordics,501-1000,AE07,Qualified,2025-06-19,,,,,
VAI-00172,2025-07-26,Organic Search,Professional Services,Nordics,51-200,AE01,Unqualified,,,,,,
VAI-00173,2025-04-12,Partners,Healthcare,DACH,1000+,AE01,Unqualified,,,,,,
VAI-00174,2025-03-31,Referral,Professional Services,Nordics,1-50,AE07,Closed Won,2025-04-10,2025-04-17,2025-04-19,2025-05-04,8000.0,
VAI-00175,2025-06-10,Outbound,Professional Services,CEE,1-50,AE08,Closed Lost,2025-06-13,2025-06-15,2025-06-23,2025-07-05,7000.0,Competitor
VAI-00176,2025-02-16,Paid Search,Travel,Benelux,501-1000,AE02,Unqualified,,,,,,
VAI-00177,2025-09-07,Organic Search,E-commerce,UK & Ireland,201-500,AE04,Demo Completed,2025-09-15,2025-09-24,,,,
VAI-00178,2025-10-15,Organic Search,Professional Services,CEE,1-50,AE07,Unqualified,,,,,,
VAI-00179,2025-07-18,Outbound,HR Tech,Southern Europe,201-500,AE04,Qualified,2025-08-03,,,,,
VAI-00180,2025-04-13,Organic Search,Travel,Benelux,51-200,AE04,Unqualified,,,,,,
VAI-00181,2025-06-01,Events,HR Tech,Benelux,51-200,AE03,Unqualified,,,,,,
VAI-00182,2025-05-27,Referral,Professional Services,Southern Europe,1-50,AE01,Demo Completed,2025-05-30,2025-06-03,,,,
VAI-00183,2025-06-16,Outbound,Travel,UK & Ireland,501-1000,AE04,Unqualified,,,,,,
VAI-00184,2025-12-23,Events,Travel,CEE,51-200,AE04,Unqualified,,,,,,
VAI-00185,2025-08-11,Referral,Healthcare,Southern Europe,1-50,AE06,Unqualified,,,,,,
VAI-00186,2025-11-05,Organic Search,Fintech,DACH,201-500,AE08,Qualified,2025-11-06,,,,,
VAI-00187,2025-02-24,Referral,Fintech,Nordics,1-50,AE04,Qualified,2025-02-27,,,,,
VAI-00188,2025-09-24,Organic Search,Professional Services,Benelux,1000+,AE08,Unqualified,,,,,,
VAI-00189,2025-01-24,Outbound,E-commerce,UK & Ireland,1000+,AE05,Qualified,2025-01-26,,,,,
VAI-00190,2025-06-01,Partners,HR Tech,Nordics,201-500,AE03,Closed Lost,2025-06-08,2025-06-17,2025-06-21,2025-07-08,25500.0,Competitor
VAI-00191,2025-03-07,Partners,Media,Benelux,51-200,AE01,Unqualified,,,,,,
VAI-00192,2025-05-27,Paid Search,SaaS,DACH,51-200,AE03,Closed Lost,2025-05-30,2025-05-31,2025-06-06,2025-06-20,18500.0,Budget frozen
VAI-00193,2025-03-11,Partners,HR Tech,UK & Ireland,201-500,AE02,Closed Lost,2025-03-15,2025-03-19,2025-03-30,2025-04-11,33500.0,No executive buy-in
VAI-00194,2025-10-25,Partners,Healthcare,Benelux,1-50,AE08,Unqualified,,,,,,
VAI-00195,2025-11-29,Organic Search,E-commerce,Benelux,1000+,AE01,Unqualified,,,,,,
VAI-00196,2025-01-20,Outbound,HR Tech,UK & Ireland,201-500,AE05,Closed Lost,2025-01-24,2025-01-27,2025-01-30,2025-02-07,31500.0,No decision
VAI-00197,2025-05-31,Referral,Fintech,Nordics,201-500,AE03,Closed Won,2025-06-02,2025-06-09,2025-06-17,2025-07-02,28500.0,
VAI-00198,2025-10-10,Paid Search,Healthcare,Benelux,201-500,AE08,Demo Completed,2025-10-18,2025-10-23,,,,
VAI-00199,2025-07-23,Outbound,Healthcare,Nordics,501-1000,AE01,Unqualified,,,,,,
VAI-00200,2025-12-12,LinkedIn,Healthcare,Nordics,201-500,AE01,Demo Completed,2025-12-17,2025-12-21,,,,
VAI-00201,2025-10-05,Organic Search,Healthcare,Southern Europe,201-500,AE08,Closed Lost,2025-10-09,2025-10-21,2025-10-27,2025-10-31,36500.0,Price
VAI-00202,2025-07-29,Organic Search,Healthcare,CEE,201-500,AE03,Qualified,2025-08-02,,,,,
VAI-00203,2025-07-18,Events,Fintech,Nordics,1000+,AE01,Unqualified,,,,,,
VAI-00204,2025-07-13,Outbound,E-commerce,Benelux,51-200,AE08,Qualified,2025-07-19,,,,,
VAI-00205,2025-03-04,Outbound,SaaS,UK & Ireland,201-500,AE01,Unqualified,,,,,,
VAI-00206,2025-07-19,Referral,Fintech,Benelux,51-200,AE01,Demo Completed,2025-07-24,2025-08-01,,,,
VAI-00207,2025-03-26,LinkedIn,Media,Nordics,201-500,AE07,Qualified,2025-04-05,,,,,
VAI-00208,2025-09-13,Outbound,Travel,Nordics,201-500,AE01,Unqualified,,,,,,
VAI-00209,2025-03-11,Organic Search,E-commerce,DACH,1000+,AE08,Closed Won,2025-03-14,2025-03-28,2025-04-10,2025-05-10,118000.0,
VAI-00210,2025-02-04,Paid Search,SaaS,Nordics,1-50,AE03,Qualified,2025-02-15,,,,,
VAI-00211,2025-06-14,Partners,Media,Nordics,201-500,AE06,Unqualified,,,,,,
VAI-00212,2025-06-22,Partners,SaaS,Nordics,1000+,AE04,Closed Won,2025-06-24,2025-06-27,2025-07-07,2025-08-02,72000.0,
VAI-00213,2025-11-15,Paid Search,Travel,UK & Ireland,501-1000,AE02,Closed Lost,2025-11-20,2025-11-22,2025-12-01,2026-01-12,68000.0,Price
VAI-00214,2025-03-29,Organic Search,Fintech,Nordics,201-500,AE01,Qualified,2025-04-06,,,,,
VAI-00215,2025-09-01,Paid Search,E-commerce,Benelux,1-50,AE03,Unqualified,,,,,,
VAI-00216,2025-04-04,Paid Search,Healthcare,Nordics,201-500,AE01,Qualified,2025-04-06,,,,,
VAI-00217,2025-02-03,Paid Search,Professional Services,UK & Ireland,501-1000,AE03,Unqualified,,,,,,
VAI-00218,2025-12-11,Organic Search,SaaS,CEE,51-200,AE02,Unqualified,,,,,,
VAI-00219,2025-07-12,Organic Search,Media,Benelux,1-50,AE04,Unqualified,,,,,,
VAI-00220,2025-04-07,Outbound,E-commerce,UK & Ireland,51-200,AE07,Unqualified,,,,,,
VAI-00221,2025-08-27,Partners,Healthcare,UK & Ireland,201-500,AE05,Qualified,2025-08-31,,,,,
VAI-00222,2025-01-19,Organic Search,Media,Benelux,501-1000,AE06,Closed Lost,2025-01-23,2025-01-27,2025-02-02,2025-02-18,50000.0,No executive buy-in
VAI-00223,2025-11-27,Paid Search,Fintech,CEE,1-50,AE02,Unqualified,,,,,,
VAI-00224,2025-09-14,LinkedIn,SaaS,Benelux,1000+,AE01,Demo Completed,2025-09-15,2025-09-27,,,,
VAI-00225,2025-08-14,Organic Search,Media,Benelux,1000+,AE02,Unqualified,,,,,,
VAI-00226,2025-07-13,Partners,Travel,Benelux,51-200,AE05,Unqualified,,,,,,
VAI-00227,2025-04-12,LinkedIn,E-commerce,UK & Ireland,201-500,AE07,Unqualified,,,,,,
VAI-00228,2025-03-15,Outbound,Travel,UK & Ireland,1-50,AE08,Demo Completed,2025-03-16,2025-03-23,,,,
VAI-00229,2025-02-27,Outbound,SaaS,Nordics,1-50,AE01,Closed Lost,2025-03-05,2025-03-10,2025-03-20,2025-04-17,5500.0,Competitor
VAI-00230,2025-05-26,Paid Search,E-commerce,UK & Ireland,201-500,AE07,Unqualified,,,,,,
VAI-00231,2025-02-05,Outbound,E-commerce,UK & Ireland,1-50,AE05,Qualified,2025-02-07,,,,,
VAI-00232,2025-06-28,LinkedIn,Fintech,Nordics,51-200,AE04,Unqualified,,,,,,
VAI-00233,2025-10-17,Referral,Professional Services,DACH,51-200,AE08,Qualified,2025-10-21,,,,,
VAI-00234,2025-08-04,Outbound,E-commerce,Benelux,201-500,AE05,Qualified,2025-08-09,,,,,
VAI-00235,2025-01-21,Outbound,Media,DACH,501-1000,AE06,Qualified,2025-01-22,,,,,
VAI-00236,2025-10-10,Partners,Media,Nordics,501-1000,AE04,Unqualified,,,,,,
VAI-00237,2025-02-27,Outbound,Media,Southern Europe,201-500,AE01,Unqualified,,,,,,
VAI-00238,2025-10-24,LinkedIn,Fintech,CEE,501-1000,AE08,Unqualified,,,,,,
VAI-00239,2025-10-09,Paid Search,Fintech,Nordics,51-200,AE06,Unqualified,,,,,,
VAI-00240,2025-01-05,Referral,Healthcare,Nordics,501-1000,AE07,Unqualified,,,,,,
VAI-00241,2025-01-06,Paid Search,Fintech,DACH,51-200,AE06,Demo Completed,2025-01-12,2025-01-24,,,,
VAI-00242,2025-08-30,Events,Healthcare,DACH,201-500,AE02,Unqualified,,,,,,
VAI-00243,2025-07-25,LinkedIn,SaaS,DACH,51-200,AE03,Demo Completed,2025-08-04,2025-08-13,,,,
