account_id,company_name,industry,region,plan,arr_eur,seats_purchased,active_users_30d,weekly_logins_30d,onboarding_completion_pct,feature_adoption_pct,support_tickets_90d,unresolved_tickets,csat,nps,days_since_csm_contact,account_age_months,days_to_renewal,expanded_before,churned
FD-1032,Customer 032,Media,DACH,Enterprise,74600,181,119,222,82,80,4,0,3.4,20,10,32,186,Yes,No
FD-1033,Customer 033,Travel,Southern Europe,Growth,9800,24,19,55,71,73,2,0,4.8,83,38,15,227,Yes,No
FD-1034,Customer 034,Media,DACH,Growth,11500,32,23,56,63,89,4,1,3.8,66,31,33,66,No,No
FD-1035,Customer 035,E-commerce,Nordics,Growth,7300,22,18,32,76,70,6,0,3.4,49,60,42,249,Yes,No
FD-1036,Customer 036,Professional Services,Benelux,Starter,3200,9,9,34,62,77,1,0,5.0,62,12,36,217,Yes,No
FD-1037,Customer 037,Fintech,CEE,Starter,4000,7,5,11,88,75,2,0,4.2,65,41,33,192,No,No
FD-1038,Customer 038,Healthcare,Nordics,Growth,8300,22,8,19,61,66,2,1,5.0,70,14,54,306,Yes,No
FD-1039,Customer 039,Technology,Nordics,Starter,3100,8,4,9,95,56,5,0,4.9,38,26,16,253,No,No
FD-1040,Customer 040,Media,Nordics,Business,32000,41,41,65,61,100,2,0,3.7,50,48,39,341,Yes,No
FD-1041,Customer 041,Fintech,UK & Ireland,Growth,13800,16,10,33,72,58,4,0,4.1,49,7,21,357,Yes,Yes
FD-1042,Customer 042,Media,Benelux,Business,27300,68,36,88,71,53,1,1,4.1,100,26,59,302,Yes,No
FD-1043,Customer 043,Technology,UK & Ireland,Business,32100,68,60,63,100,78,4,0,5.0,100,18,17,112,No,No
FD-1044,Customer 044,E-commerce,Nordics,Growth,13900,27,21,86,88,74,1,0,4.4,69,22,53,73,Yes,No
FD-1045,Customer 045,Fintech,CEE,Business,20400,36,16,58,78,37,9,1,4.2,53,18,39,113,No,No
FD-1046,Customer 046,Technology,Benelux,Business,25500,51,51,169,91,93,9,0,4.1,49,42,15,262,Yes,No
FD-1047,Customer 047,Healthcare,Nordics,Growth,9800,18,15,57,44,66,10,4,3.6,11,32,47,317,Yes,No
FD-1048,Customer 048,Travel,DACH,Growth,7700,29,13,51,81,44,5,1,4.8,25,65,16,322,Yes,No
FD-1049,Customer 049,Fintech,CEE,Business,30700,78,78,162,100,94,3,0,4.3,31,50,18,251,No,Yes
FD-1050,Customer 050,E-commerce,CEE,Starter,3800,6,4,12,84,82,2,0,4.0,42,76,22,250,Yes,No
FD-1051,Customer 051,Healthcare,Southern Europe,Starter,3900,10,3,9,83,40,6,1,3.8,-8,34,42,348,No,Yes
FD-1052,Customer 052,E-commerce,UK & Ireland,Starter,3100,6,6,11,92,100,2,0,3.9,29,42,25,252,No,No
FD-1053,Customer 053,E-commerce,Nordics,Business,21000,49,40,68,98,82,3,0,3.5,25,84,36,55,Yes,No
FD-1054,Customer 054,Media,Nordics,Business,33200,42,31,42,46,68,5,1,3.5,26,22,35,185,No,Yes
FD-1055,Customer 055,Healthcare,CEE,Business,18800,49,48,149,52,100,1,0,4.9,51,10,14,134,No,No
FD-1056,Customer 056,Professional Services,CEE,Business,21900,69,42,147,86,72,3,0,4.1,38,15,16,234,No,No
FD-1057,Customer 057,E-commerce,DACH,Growth,9200,32,20,69,69,67,9,1,4.4,91,10,20,234,No,No
FD-1058,Customer 058,Media,DACH,Growth,10500,18,12,24,100,53,4,0,2.9,30,63,15,111,No,No
FD-1059,Customer 059,Fintech,CEE,Starter,4200,9,8,13,76,81,3,0,4.5,43,99,56,113,Yes,No
FD-1060,Customer 060,Technology,DACH,Starter,3900,10,5,12,47,78,4,2,3.8,36,33,25,37,No,No
FD-1061,Customer 061,Media,Southern Europe,Business,19400,82,51,140,59,68,4,0,3.8,37,49,26,110,No,No
FD-1062,Customer 062,Media,DACH,Growth,8800,26,17,67,33,51,4,2,3.9,24,57,41,303,No,No
FD-1063,Customer 063,Professional Services,Southern Europe,Growth,12900,19,12,46,78,71,4,0,3.9,24,87,48,241,No,No
FD-1064,Customer 064,Travel,Nordics,Business,28700,66,27,106,79,66,3,0,3.0,40,97,42,345,No,Yes
FD-1065,Customer 065,Travel,DACH,Business,28900,51,26,97,74,39,2,0,4.7,51,5,34,339,No,No
FD-1066,Customer 066,Travel,Southern Europe,Growth,11700,33,13,53,100,36,7,1,4.3,26,19,59,314,No,No
FD-1067,Customer 067,E-commerce,Southern Europe,Growth,12300,22,16,40,100,80,2,0,4.1,45,30,55,69,No,Yes
FD-1068,Customer 068,Travel,UK & Ireland,Growth,7600,27,3,3,79,11,6,0,3.6,36,17,14,125,No,Yes
FD-1069,Customer 069,Media,Benelux,Starter,3600,5,4,5,44,73,5,2,3.0,-25,25,12,25,No,No
FD-1070,Customer 070,Travel,CEE,Growth,10800,22,11,25,93,57,4,0,4.3,50,41,25,38,No,No
FD-1071,Customer 071,Fintech,Southern Europe,Starter,3600,11,11,20,92,97,5,0,5.0,87,40,51,88,Yes,No
FD-1072,Customer 072,Professional Services,DACH,Growth,12900,26,16,25,88,57,4,0,4.3,60,56,58,106,No,No
FD-1073,Customer 073,Professional Services,Nordics,Business,26100,57,47,190,100,83,5,0,3.5,80,31,43,10,Yes,No
FD-1074,Customer 074,Travel,Nordics,Starter,4600,11,6,10,61,59,6,0,4.2,76,3,43,309,No,No
FD-1075,Customer 075,Fintech,Nordics,Starter,4800,11,7,28,100,71,4,1,4.1,77,23,16,195,No,No
FD-1076,Customer 076,Travel,Nordics,Growth,10600,20,19,65,65,84,4,1,4.5,100,38,37,241,No,Yes
FD-1077,Customer 077,Fintech,Benelux,Growth,13300,25,12,37,95,58,2,0,4.6,75,59,13,240,No,No
FD-1078,Customer 078,Fintech,UK & Ireland,Business,27900,59,35,111,52,90,0,0,2.4,7,53,34,353,No,No
FD-1079,Customer 079,Technology,UK & Ireland,Growth,12900,26,13,27,65,46,5,1,4.3,72,28,14,58,Yes,No
FD-1080,Customer 080,E-commerce,UK & Ireland,Business,23700,52,41,126,100,74,3,0,3.7,23,18,7,128,No,No
FD-1081,Customer 081,Fintech,UK & Ireland,Business,26400,47,43,69,77,88,1,0,3.4,30,29,59,116,Yes,No
FD-1082,Customer 082,Technology,CEE,Growth,10800,32,27,108,97,83,3,1,4.0,29,6,54,204,Yes,Yes
FD-1083,Customer 083,Professional Services,Benelux,Business,19800,81,72,142,86,100,1,0,4.4,62,19,42,194,Yes,Yes
FD-1084,Customer 084,Healthcare,Nordics,Starter,3700,11,6,11,80,51,7,0,3.3,11,66,39,290,No,Yes
FD-1085,Customer 085,Professional Services,Benelux,Starter,5000,12,4,13,100,38,6,0,4.6,43,29,16,207,No,No
FD-1086,Customer 086,Healthcare,UK & Ireland,Starter,4300,10,4,12,78,46,6,0,4.6,67,39,36,89,Yes,Yes
FD-1087,Customer 087,Fintech,DACH,Business,21000,73,54,132,50,83,2,0,4.1,42,9,46,208,Yes,No
FD-1088,Customer 088,E-commerce,Benelux,Growth,9500,29,29,88,68,79,4,1,3.6,-9,59,34,353,No,No
FD-1089,Customer 089,Technology,Southern Europe,Starter,3200,8,4,6,92,70,9,0,3.7,3,27,19,213,Yes,No
FD-1090,Customer 090,E-commerce,Nordics,Growth,7400,23,10,32,89,43,5,0,4.8,38,38,25,218,No,No
FD-1091,Customer 091,Fintech,Benelux,Starter,5000,6,3,6,54,85,4,1,3.1,1,44,51,68,No,Yes
FD-1092,Customer 092,Healthcare,UK & Ireland,Business,25500,67,26,49,69,41,7,1,4.6,67,57,17,7,Yes,Yes
FD-1093,Customer 093,Professional Services,Benelux,Growth,9300,20,16,24,72,93,4,2,3.9,45,34,58,80,Yes,No
FD-1094,Customer 094,Technology,Benelux,Growth,11200,19,11,23,75,100,3,1,4.0,66,27,46,14,Yes,No
FD-1095,Customer 095,Travel,Southern Europe,Growth,7200,25,19,39,57,76,2,1,3.0,35,11,54,168,Yes,No
FD-1096,Customer 096,Travel,Southern Europe,Business,22700,56,40,98,71,81,1,0,4.1,69,8,32,323,Yes,No
FD-1097,Customer 097,Travel,UK & Ireland,Growth,11900,18,6,10,69,57,4,2,4.3,64,34,15,166,No,Yes
FD-1098,Customer 098,E-commerce,DACH,Starter,4300,11,3,5,96,28,4,0,3.5,35,38,4,237,No,Yes
FD-1099,Customer 099,Healthcare,DACH,Starter,5200,11,7,19,97,55,5,0,4.5,80,43,34,313,No,Yes
FD-1100,Customer 100,Technology,CEE,Enterprise,71100,112,60,85,79,44,6,1,4.1,66,16,26,280,Yes,No
FD-1101,Customer 101,Travel,UK & Ireland,Enterprise,65100,91,33,106,75,36,4,2,3.6,41,20,9,239,No,Yes
FD-1102,Customer 102,Technology,DACH,Business,30800,52,50,201,85,100,2,0,4.7,88,33,56,288,Yes,No
FD-1103,Customer 103,Fintech,UK & Ireland,Starter,5000,10,9,21,67,74,2,0,2.9,-36,22,59,106,No,No
FD-1104,Customer 104,Media,DACH,Enterprise,75300,196,187,600,61,76,2,1,4.2,42,125,24,156,No,Yes
FD-1105,Customer 105,Media,UK & Ireland,Business,34200,42,30,39,65,61,3,0,5.0,61,19,41,149,Yes,Yes
FD-1106,Customer 106,Travel,DACH,Business,31100,74,37,42,71,64,2,1,4.8,88,40,26,293,No,No
FD-1107,Customer 107,Fintech,Benelux,Growth,13000,16,14,46,61,89,3,0,4.3,85,52,31,152,No,No
FD-1108,Customer 108,Technology,Benelux,Growth,8000,22,15,52,85,67,4,0,4.0,11,54,39,343,No,No
FD-1109,Customer 109,Technology,Southern Europe,Starter,4500,12,6,22,95,80,1,0,3.9,72,21,27,72,No,No
FD-1110,Customer 110,Professional Services,Benelux,Enterprise,63500,115,76,90,53,64,6,1,3.8,12,44,49,67,No,No
FD-1111,Customer 111,Technology,Nordics,Growth,10900,17,14,49,82,60,3,0,4.5,30,40,13,263,No,No
FD-1112,Customer 112,Fintech,CEE,Starter,4300,8,3,7,78,37,4,0,3.7,30,45,41,280,No,No
FD-1113,Customer 113,Technology,Benelux,Growth,13700,26,8,16,88,24,5,0,4.6,51,33,60,250,Yes,No
FD-1114,Customer 114,Professional Services,DACH,Growth,13800,32,20,31,82,62,3,1,5.0,34,53,52,116,Yes,No
FD-1115,Customer 115,E-commerce,Nordics,Starter,3400,12,8,33,56,69,3,2,3.9,55,36,5,8,Yes,Yes
FD-1116,Customer 116,Media,Benelux,Business,30300,39,16,19,59,40,4,1,3.3,40,10,9,121,Yes,No
FD-1117,Customer 117,Healthcare,DACH,Business,30600,42,23,84,83,67,2,0,3.4,51,35,39,173,No,No
FD-1118,Customer 118,Technology,Nordics,Business,23800,74,40,122,100,69,4,0,4.7,51,38,56,154,Yes,No
FD-1119,Customer 119,Travel,Southern Europe,Growth,8000,19,5,17,42,21,4,2,3.8,37,50,51,337,Yes,No
FD-1120,Customer 120,Fintech,DACH,Growth,7500,31,18,59,88,48,6,1,4.6,57,34,55,316,No,Yes
FD-1121,Customer 121,E-commerce,DACH,Growth,12400,27,16,60,100,77,5,0,4.0,80,89,11,284,Yes,No
FD-1122,Customer 122,E-commerce,UK & Ireland,Business,26200,41,35,56,79,77,2,0,4.6,-4,28,33,12,Yes,No
FD-1123,Customer 123,Media,Benelux,Starter,5200,11,4,4,92,43,6,1,4.0,22,20,45,50,No,Yes
FD-1124,Customer 124,Fintech,Benelux,Growth,10300,17,12,35,69,71,5,2,3.5,31,72,39,161,No,No
FD-1125,Customer 125,Professional Services,Nordics,Starter,5200,8,7,15,80,90,2,0,3.9,17,28,48,229,Yes,No
FD-1126,Customer 126,E-commerce,DACH,Growth,10000,25,24,34,53,85,7,3,3.1,15,32,15,250,No,Yes
FD-1127,Customer 127,Technology,UK & Ireland,Growth,12500,24,15,24,40,66,6,1,5.0,65,38,29,111,No,No
FD-1128,Customer 128,Professional Services,Nordics,Starter,2900,10,7,14,99,58,4,0,4.2,34,36,28,44,No,No
FD-1129,Customer 129,E-commerce,DACH,Starter,4100,9,5,6,64,54,5,2,4.3,52,45,57,123,Yes,Yes
FD-1130,Customer 130,Professional Services,Nordics,Growth,12600,33,27,32,74,78,2,0,3.9,54,48,14,291,Yes,No
FD-1131,Customer 131,E-commerce,CEE,Starter,5000,12,7,28,57,72,4,1,3.4,23,19,21,361,No,Yes
FD-1132,Customer 132,Technology,UK & Ireland,Enterprise,79500,156,156,312,57,82,3,2,3.8,28,12,4,345,No,No
FD-1133,Customer 133,Healthcare,Nordics,Growth,7400,16,12,50,79,71,6,2,4.6,54,13,11,219,Yes,No
FD-1134,Customer 134,Technology,CEE,Growth,9700,28,26,106,69,86,1,0,3.8,38,67,59,37,No,Yes
FD-1135,Customer 135,Professional Services,Southern Europe,Growth,7500,33,15,22,89,70,4,0,3.7,-3,26,52,354,No,Yes
FD-1136,Customer 136,Travel,Benelux,Starter,3000,7,5,16,90,85,5,1,4.2,58,52,18,60,Yes,No
FD-1137,Customer 137,Technology,Benelux,Enterprise,73400,149,149,435,88,87,4,0,4.5,46,49,43,101,No,No
FD-1138,Customer 138,Professional Services,Southern Europe,Growth,12000,22,11,35,86,50,8,3,4.8,91,32,37,356,Yes,Yes
FD-1139,Customer 139,Fintech,DACH,Business,31000,38,6,8,100,28,6,0,4.4,66,15,55,186,No,Yes
FD-1140,Customer 140,E-commerce,Benelux,Starter,4900,10,10,16,63,100,6,0,4.5,81,50,20,76,No,No
FD-1141,Customer 141,E-commerce,Nordics,Growth,12200,21,13,16,81,74,6,0,4.6,36,31,60,186,No,No
FD-1142,Customer 142,Technology,Southern Europe,Growth,12600,29,10,29,100,30,4,0,3.6,25,11,24,33,No,Yes
FD-1143,Customer 143,E-commerce,DACH,Enterprise,47100,195,95,395,100,52,7,2,3.5,3,22,44,118,Yes,No
FD-1144,Customer 144,Media,Benelux,Growth,8800,30,25,79,56,85,3,0,3.5,15,8,26,348,No,No
FD-1145,Customer 145,Healthcare,DACH,Growth,11400,22,16,52,76,62,4,0,3.4,56,22,41,112,No,Yes
FD-1146,Customer 146,Travel,UK & Ireland,Starter,4900,7,3,12,100,57,5,0,4.7,93,33,22,327,No,Yes
FD-1147,Customer 147,Healthcare,UK & Ireland,Growth,7200,29,22,70,91,99,2,0,4.4,28,28,51,201,Yes,Yes
FD-1148,Customer 148,Media,Southern Europe,Growth,10700,30,12,14,86,45,3,0,4.2,38,26,39,241,Yes,No
FD-1149,Customer 149,Fintech,UK & Ireland,Growth,11800,24,13,49,78,50,5,2,2.6,6,32,19,258,No,Yes
FD-1150,Customer 150,Healthcare,Southern Europe,Starter,2800,11,6,13,75,73,6,2,5.0,81,43,58,204,Yes,No
FD-1151,Customer 151,Healthcare,DACH,Business,24700,42,21,21,87,77,7,1,3.6,-6,55,44,17,Yes,No
FD-1152,Customer 152,Media,Southern Europe,Enterprise,82600,201,174,456,77,79,4,1,5.0,33,60,27,336,Yes,No
FD-1153,Customer 153,Fintech,Benelux,Starter,4400,5,4,16,81,88,1,0,3.4,39,17,10,176,No,No
FD-1154,Customer 154,E-commerce,Southern Europe,Growth,8800,17,11,20,83,72,2,1,3.6,-10,63,59,241,No,No
FD-1155,Customer 155,Technology,Nordics,Starter,4800,9,4,10,70,79,5,0,2.9,6,31,46,204,No,No
FD-1156,Customer 156,Travel,UK & Ireland,Business,23800,39,20,31,92,62,3,0,4.4,57,24,41,242,Yes,No
FD-1157,Customer 157,Fintech,UK & Ireland,Growth,12900,15,10,12,100,69,3,1,3.6,42,14,51,133,Yes,No
FD-1158,Customer 158,Media,CEE,Business,23000,35,27,34,50,70,5,2,3.3,22,2,38,309,No,Yes
FD-1159,Customer 159,Healthcare,Nordics,Business,27900,57,34,113,88,73,3,1,3.4,20,41,16,85,Yes,No
FD-1160,Customer 160,Technology,UK & Ireland,Business,24700,74,74,279,68,85,2,0,4.5,74,40,16,240,No,No
FD-1161,Customer 161,Healthcare,Nordics,Starter,3400,5,3,4,92,80,2,1,4.5,62,20,7,213,No,No
FD-1162,Customer 162,Fintech,UK & Ireland,Enterprise,82200,173,99,190,83,69,4,0,5.0,54,21,6,186,Yes,No
FD-1163,Customer 163,Professional Services,UK & Ireland,Starter,3200,11,7,11,96,50,3,0,3.9,41,28,45,12,No,Yes
FD-1164,Customer 164,Professional Services,Southern Europe,Starter,2900,6,4,4,100,69,5,1,4.3,59,24,52,145,No,No
FD-1165,Customer 165,Healthcare,Nordics,Growth,9500,17,10,28,85,67,2,0,3.5,68,17,12,22,No,No
FD-1166,Customer 166,Technology,Nordics,Growth,12000,31,21,68,100,72,3,0,4.1,63,12,36,186,No,No
FD-1167,Customer 167,Healthcare,Benelux,Business,31600,76,76,234,40,100,3,1,3.6,60,64,10,253,Yes,No
FD-1168,Customer 168,Media,DACH,Business,34800,62,42,94,100,56,7,1,4.4,40,22,27,193,No,No
FD-1169,Customer 169,Technology,DACH,Growth,9200,30,19,53,89,77,1,0,4.8,51,40,48,278,Yes,No
FD-1170,Customer 170,Technology,Nordics,Enterprise,62100,102,88,114,100,92,3,0,4.8,58,45,50,135,No,No
FD-1171,Customer 171,Technology,CEE,Growth,8100,22,15,22,60,70,4,0,3.6,30,41,58,115,Yes,No
FD-1172,Customer 172,Media,Benelux,Growth,11100,28,22,88,67,100,0,0,4.7,38,47,21,166,Yes,No
FD-1173,Customer 173,Media,Benelux,Starter,5200,7,4,14,85,60,6,0,4.2,76,41,58,87,Yes,Yes
FD-1174,Customer 174,Travel,UK & Ireland,Enterprise,74400,185,132,522,82,75,8,2,3.8,57,19,48,294,No,No
FD-1175,Customer 175,Technology,CEE,Starter,4200,8,5,20,87,50,4,2,3.6,26,25,22,297,Yes,No
FD-1176,Customer 176,Fintech,CEE,Starter,3700,10,7,22,100,60,5,1,3.9,55,63,22,155,Yes,No
FD-1177,Customer 177,Technology,Nordics,Growth,13400,23,15,60,50,73,2,0,5.0,73,21,9,291,Yes,No
FD-1178,Customer 178,E-commerce,Southern Europe,Enterprise,65900,137,109,254,100,87,3,0,4.4,69,31,56,14,Yes,No
FD-1179,Customer 179,E-commerce,Nordics,Enterprise,50600,118,95,96,82,75,3,1,4.2,18,43,14,60,No,No
FD-1180,Customer 180,Healthcare,Nordics,Business,24100,46,37,44,78,96,2,0,4.0,40,78,18,107,No,No
FD-1181,Customer 181,Travel,CEE,Enterprise,47800,185,129,174,56,66,5,0,5.0,67,59,26,145,Yes,Yes
FD-1182,Customer 182,Media,UK & Ireland,Enterprise,53500,105,60,78,91,61,5,0,4.9,79,15,10,88,No,Yes
FD-1183,Customer 183,Technology,Nordics,Growth,7300,16,12,26,39,100,2,0,3.6,19,39,49,189,No,No
FD-1184,Customer 184,Professional Services,Benelux,Growth,10200,17,10,32,94,77,6,0,4.1,-9,36,43,291,No,No
FD-1185,Customer 185,Professional Services,Southern Europe,Business,28700,44,28,99,55,52,9,1,3.9,17,25,12,169,Yes,No
FD-1186,Customer 186,Professional Services,CEE,Business,23800,76,37,107,83,53,3,0,4.3,49,31,12,167,No,No
FD-1187,Customer 187,E-commerce,UK & Ireland,Growth,10000,22,13,19,80,47,6,0,3.8,39,19,4,26,No,No
FD-1188,Customer 188,Healthcare,UK & Ireland,Starter,5100,12,9,31,100,89,2,0,4.5,93,27,58,106,No,No
FD-1189,Customer 189,Media,Benelux,Business,30600,42,25,53,79,60,1,0,5.0,81,21,28,296,Yes,No
FD-1190,Customer 190,Travel,UK & Ireland,Starter,4100,9,9,9,70,71,1,1,3.3,27,33,41,297,Yes,No
FD-1191,Customer 191,Healthcare,Southern Europe,Enterprise,57000,147,75,142,73,67,4,0,3.5,30,24,11,42,No,No
FD-1192,Customer 192,E-commerce,DACH,Starter,5000,8,4,8,100,84,6,0,4.0,67,82,16,11,No,No
FD-1193,Customer 193,Professional Services,Benelux,Starter,3300,11,6,11,92,49,3,0,4.0,30,34,34,304,Yes,No
FD-1194,Customer 194,E-commerce,UK & Ireland,Business,23500,84,30,108,75,44,3,0,5.0,65,30,15,67,No,No
FD-1195,Customer 195,Media,Southern Europe,Starter,5000,11,8,27,78,73,6,0,4.7,37,26,38,212,Yes,No
FD-1196,Customer 196,Travel,CEE,Starter,4000,6,4,13,54,81,4,2,4.4,84,24,56,303,Yes,No
FD-1197,Customer 197,E-commerce,Southern Europe,Growth,12200,18,13,19,89,75,3,0,4.1,54,11,20,289,Yes,No
FD-1198,Customer 198,Professional Services,Nordics,Business,27900,68,26,93,50,50,2,1,3.8,22,52,38,203,No,Yes
FD-1199,Customer 199,Technology,CEE,Starter,4300,7,5,16,96,83,3,0,3.4,25,72,56,140,No,No
FD-1200,Customer 200,Technology,Nordics,Growth,9200,28,15,24,84,52,4,0,4.6,69,21,54,284,No,No
FD-1201,Customer 201,Healthcare,Benelux,Business,22100,63,28,86,100,57,3,0,4.5,50,63,3,255,No,Yes
FD-1202,Customer 202,Healthcare,CEE,Enterprise,58500,160,62,158,62,47,5,0,4.8,51,124,9,307,Yes,No
FD-1203,Customer 203,Healthcare,Nordics,Growth,8200,30,26,63,80,97,4,1,4.0,29,97,60,190,No,No
FD-1204,Customer 204,Technology,Benelux,Starter,4900,10,6,8,100,82,3,0,4.2,55,70,56,345,Yes,No
FD-1205,Customer 205,Fintech,Nordics,Starter,3400,5,4,11,100,81,5,0,4.3,43,13,21,282,No,No
FD-1206,Customer 206,Professional Services,Benelux,Starter,4100,5,5,7,69,95,4,0,4.6,48,12,33,27,Yes,No
FD-1207,Customer 207,E-commerce,Nordics,Starter,4700,9,8,12,86,100,3,2,3.2,-6,47,36,111,Yes,No
FD-1208,Customer 208,Healthcare,Southern Europe,Business,31200,59,16,23,82,30,4,2,4.4,55,31,41,293,No,Yes
FD-1209,Customer 209,Professional Services,Nordics,Starter,3800,7,3,12,87,52,3,0,4.2,44,5,46,46,No,No
FD-1210,Customer 210,Healthcare,Southern Europe,Growth,10400,22,10,19,69,54,1,1,3.5,23,23,24,260,Yes,No
FD-1211,Customer 211,E-commerce,Southern Europe,Business,34700,73,38,81,80,49,3,0,3.0,22,46,54,127,No,Yes
FD-1212,Customer 212,Fintech,DACH,Growth,11700,30,16,32,53,44,5,2,3.8,54,28,6,79,Yes,No
FD-1213,Customer 213,Fintech,Southern Europe,Starter,4800,9,5,19,84,61,2,1,4.9,81,31,4,199,Yes,No
FD-1214,Customer 214,E-commerce,Southern Europe,Business,33200,54,23,64,90,41,3,0,5.0,80,12,58,341,Yes,No
FD-1215,Customer 215,Technology,Nordics,Business,31200,49,33,130,78,75,5,1,4.3,45,23,13,329,Yes,No
FD-1216,Customer 216,Healthcare,Southern Europe,Business,21100,61,43,84,53,69,4,1,5.0,56,47,60,150,No,No
FD-1217,Customer 217,Travel,Southern Europe,Starter,4100,7,7,10,100,79,1,0,4.2,25,22,19,6,Yes,No
FD-1218,Customer 218,Healthcare,UK & Ireland,Starter,3000,9,7,19,89,79,3,0,4.7,47,66,24,325,Yes,No
FD-1219,Customer 219,Media,Southern Europe,Enterprise,72400,176,90,190,69,81,3,0,3.9,41,32,4,328,Yes,No
FD-1220,Customer 220,Media,Southern Europe,Growth,13600,15,9,32,77,60,7,0,3.9,23,41,57,223,No,No
FD-1221,Customer 221,Technology,CEE,Growth,10600,14,14,53,55,100,1,1,3.6,35,46,23,231,Yes,No
FD-1222,Customer 222,Media,Southern Europe,Growth,10100,18,12,30,64,73,5,1,2.9,-6,45,12,195,Yes,Yes
FD-1223,Customer 223,Professional Services,UK & Ireland,Business,18600,80,24,99,72,27,3,0,4.8,26,15,31,9,Yes,No
FD-1224,Customer 224,Healthcare,DACH,Enterprise,85300,172,65,180,100,46,5,1,3.8,56,17,11,62,No,No
FD-1225,Customer 225,Travel,Benelux,Growth,7900,17,3,6,70,30,3,1,3.6,23,5,48,56,No,Yes
FD-1226,Customer 226,Travel,UK & Ireland,Enterprise,46700,203,135,346,94,68,5,0,3.6,15,25,7,335,Yes,No
